run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,recovery_error,diagnostic_A_definition,sigma_update,update_rank_ceiling,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,layer,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,hidden_dim,target_relative_update_norm
1,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Muon,0,2,1024,128,2.2969094942970036,0.58984375,full_layer_input_activation,"[[0.010000000000000007,0.010000000000000007,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997]]",64.0,64.0,63.999999999999936,1.0,0.999999999999999,0.999999999999999,0.0026419410416134463,0.4712598829057638,0.03302426302016806,1,14.213496143126699,2.2911742156899897,6.20358593676225,1.2308769841813465e-07,7.635851148951732e-07,64,0.0001
1,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Muon,0,2,1024,128,2.2969094942970036,0.58984375,full_layer_input_activation,"[[0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998]]",10.0,9.999999999999998,9.999999999999996,0.9999999999999998,0.9999999999999997,0.9999999999999998,0.001816286521023157,0.7696347044445848,0.05743602289896474,2,5.923375782855036,1.817632371981533,3.258841487510224,3.204631475982577e-05,0.00010443386006113147,64,0.0001
0,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Adam,0,3,1024,128,2.292614616082495,0.47265625,full_layer_input_activation,"[[0.041519817532998306,0.03244367329038781,0.02972191041592796,0.025861238640915322,0.02138714725653361,0.018562379728457593,0.017163845396348163,0.014303552514034229,0.013197350683836479,0.010780323774200889,0.009417667020490537,0.008573732006814314,0.00819851031105902,0.008053591273395408,0.007788307761457222,0.007549054927026465,0.007191742803107557,0.006827332496367962,0.00647575490441377,0.006228838217212088,0.006083903166428804,0.006043996579309137,0.005900553057321523,0.005738594719142779,0.005606020427950189,0.005412537453610848,0.005322725104518383,0.005296708144953645,0.005105479252002388,0.004999104787547173,0.0048942983023852115,0.00485635267897549,0.004691899654500812,0.004586211080746321,0.004402700777998211,0.0043925769778114,0.004291336170520346,0.004127825258308883,0.004102152273527918,0.003965980858439107,0.003908687529736461,0.0038648760221360857,0.0037852982461684284,0.0036928138704905573,0.0036486350331591173,0.0035360146699332604,0.0034166206763921875,0.003394499750905935,0.0032829081881689945,0.0032095111651070786,0.0031062198631739897,0.003080675859739363,0.0030513416653785335,0.002982925580822955,0.0029672049674090923,0.0028453342326563457,0.00276894231681636,0.002725203876634921,0.002658436311056943,0.0026313396693475807,0.002514996894348202,0.0024504981454154585,0.0024185384413415215,0.0022624342247128636]]",64.0,31.143902610140145,4.2072483595720405,0.48662347828343977,0.06573825561831313,0.13509059581384006,0.0040502469204219994,0.6285666910434771,0.047558373066874646,1,13.33460213306237,2.2911742156899897,5.819986119670363,1.4348964999118784e-07,8.351077712650718e-07,64,0.0001
0,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Adam,0,3,1024,128,2.292614616082495,0.47265625,full_layer_input_activation,"[[0.006464386183722055,0.005868282294784288,0.00496930449379135,0.004130991981763659,0.0036024551129741917,0.0030167582977838007,0.002962069305755431,0.002611834418392766,0.0021426681786833024,0.0020156809961966705]]",10.0,8.688725891685612,3.9320143653981816,0.8688725891685612,0.39320143653981815,0.45254211197533484,0.0008923215542837391,0.7133300797146818,0.06961238962934634,2,6.519799791361155,1.7311688591918113,3.7661258500253383,3.309843511601854e-05,0.00012465287208582383,64,0.0001
1,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Muon,0,3,1024,128,2.294184016120816,0.4814453125,full_layer_input_activation,"[[0.010000000000000009,0.010000000000000007,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999995,0.009999999999999995]]",64.0,64.00000000000001,63.99999999999989,1.0000000000000002,0.9999999999999983,0.9999999999999981,0.0029755656452613685,0.4597821354735656,0.03719457056576707,1,13.529575174440524,2.2911742156899897,5.905083551390297,1.6403035907851426e-07,9.686129753231787e-07,64,0.0001
1,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Muon,0,3,1024,128,2.294184016120816,0.4814453125,full_layer_input_activation,"[[0.010000000000000005,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999995]]",10.0,10.000000000000002,9.99999999999999,1.0000000000000002,0.9999999999999989,0.9999999999999988,0.002074137726550152,0.8142980218443344,0.06558999396781975,2,6.630812683795963,1.8337442394297527,3.615996462984377,3.350448278972579e-05,0.0001211520912617694,64,0.0001
0,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Adam,0,4,1024,128,2.287899243207172,0.4169921875,full_layer_input_activation,"[[0.04376253787001442,0.03164900162888599,0.03131488130435819,0.02562875014835665,0.021524708890877264,0.019030693445974106,0.01724980968566093,0.01429203109867491,0.012436700764708137,0.010362060597859263,0.008954340074439881,0.008156477862171226,0.007706123638682512,0.007442232082916199,0.0071119743038998,0.006864710093418421,0.00676385700210535,0.006494852268347759,0.006180215518720867,0.005970575794391908,0.005792913455287856,0.005525330439476248,0.005382597843365728,0.005350528644925432,0.005215813404816792,0.005059495312154832,0.004881162648219136,0.004798770787445125,0.004616984290807226,0.004590210772606442,0.0044724048866722245,0.004345218551941068,0.00426094938748249,0.004103760203341806,0.004063784492464844,0.003997614783316509,0.0038667163733994894,0.003803409423894954,0.003733856844744805,0.0036870259178203163,0.0035560897775033158,0.003461109803417632,0.003443006489565101,0.003343907537853239,0.003306357399272487,0.003183483908900839,0.0031522834759323973,0.003041780708285405,0.0030001819759727113,0.002941709367780024,0.0029016842596911946,0.002785308899910854,0.002753960266323245,0.0026554381198137943,0.002587484944022933,0.0025729064273773083,0.0025123876276543773,0.002495580568975022,0.0023673247517377732,0.002230951792453049,0.002201641649543485,0.002135932015248152,0.0020817503716911647,0.002016103841247843]]",64.0,28.70090223669893,3.802431953914703,0.4484515974484208,0.059412999279917236,0.1324847533556856,0.004835862746986968,0.640142521524958,0.05666837263384926,1,11.480633885452983,2.2911742156899897,5.010807910997539,1.964253128776757e-07,9.842495116876243e-07,64,0.0001
0,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Adam,0,4,1024,128,2.287899243207172,0.4169921875,full_layer_input_activation,"[[0.006464006811252964,0.0060493783864530165,0.004563733692631212,0.004333256129238095,0.0036769614374342605,0.003140274018836238,0.002937914226228039,0.0022908278633353533,0.002161385883884579,0.0018230975129000897]]",10.0,8.587507402737716,3.90679243943529,0.8587507402737715,0.39067924394352904,0.4549390476437664,0.001156918410649079,0.6816664496587629,0.09055048016422476,2,5.745826713587933,1.628700169218135,3.5278603282433765,3.944217017567768e-05,0.00013914646742259739,64,0.0001
1,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Muon,0,4,1024,128,2.290709656246556,0.443359375,full_layer_input_activation,"[[0.010000000000000009,0.010000000000000007,0.010000000000000007,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999995,0.009999999999999993]]",64.0,64.00000000000001,63.99999999999991,1.0000000000000002,0.9999999999999986,0.9999999999999983,0.003273624813378254,0.433935108585135,0.040920310167228115,1,12.05117942161885,2.2911742156899897,5.2598267469545625,2.228935900873735e-07,1.1723816668662936e-06,64,0.0001
1,MNISTMLP,MNIST MLP hidden=64 target=1e-04,1.0,0.01,Muon,0,4,1024,128,2.290709656246556,0.443359375,full_layer_input_activation,"[[0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999995,0.009999999999999992]]",10.0,10.000000000000002,9.999999999999991,1.0000000000000002,0.9999999999999991,0.9999999999999989,0.0023675143562959383,0.7909545186568332,0.07486737759042565,2,6.256090505836636,1.815533977690992,3.4458680381146998,3.954670713654109e-05,0.00013627273413448947,64,0.0001
