problem_family,base_setting,setting,target_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,loss_Adam,loss_Muon,recovery_error_Adam,recovery_error_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_delta,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_delta,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_delta,update_grad_cosine_muon_higher,kappa,condition_score_Adam,condition_score_Muon,nrG_Adam,nrG_Muon,nrUpdateFrac_Adam,nrUpdateFrac_Muon,stA_Adam,stA_Muon,stUpdateFrac_Adam,stUpdateFrac_Muon,update_flatness_Adam,update_flatness_Muon,log10_kappa,log10_target_relative_update_norm,delta_stUpdateFrac,delta_update_flatness
SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 target=3e-03,0.003,0,1,5.8969923391938295e-05,4.389532534121443e-05,2.30303612953799,2.3030426771425745,0.9501953125,0.951171875,0.58709888166703,0.435451685584629,5.910786047847227e-05,4.391394423998032e-05,0.7443680238393409,-1.5074598050723864e-05,False,0.7429459277412733,-1.5193916238491946e-05,False,0.7417007580532119,-0.1516471960824009,False,1.0,5.085704600233235,5.08192054789933,7.022714901585264,7.019058181929104,0.6253886266951869,1.0,1.3772033341620848,1.3775596444767038,0.2344789447509137,0.999999999999982,0.3016772550095485,0.999999999999982,0.0,-2.5228787452803374,0.7655210552490683,0.6983227449904335
SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 target=3e-03,0.003,0,2,6.375744852515908e-05,4.429753471901776e-05,2.3028383272100688,2.3028652640093705,0.94140625,0.947265625,0.6038638746977646,0.4194756023597043,6.383063484931387e-05,4.429297240849994e-05,0.6947821116388885,-1.9459913806141316e-05,False,0.6939140197032845,-1.9537662440813927e-05,False,0.6946525863459756,-0.1843882723380602,False,1.0,4.708379626694902,4.71627667367176,6.525983514294355,6.537847332017607,0.6075217620149879,0.9999999999999998,1.3775379135351709,1.377627605998763,0.2208720415725304,0.9999999999999762,0.2929312637239755,0.9999999999999764,0.0,-2.5228787452803374,0.7791279584274459,0.7070687362760009
SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 target=3e-03,0.003,0,3,5.457057404578691e-05,4.159429322125874e-05,2.3026055749991823,2.302650972228282,0.9326171875,0.9462890625,0.6001538337438068,0.4555299431735555,5.447418006220236e-05,4.169229895365902e-05,0.7622110257876241,-1.2976280824528176e-05,False,0.7653589077623911,-1.2781881108543335e-05,False,0.7590219666379934,-0.1446238905702512,False,1.0,5.5900284581752375,5.5502073581196285,7.736848076865103,7.67789198084471,0.6043528156182707,1.0000000000000002,1.3781696726886032,1.377841048511765,0.238181200311374,0.9999999999999766,0.3148232064306275,0.9999999999999764,0.0,-2.5228787452803374,0.7618187996886026,0.6851767935693489
SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 target=3e-03,0.003,0,4,5.549330946230669e-05,4.017742894335541e-05,2.302489094323893,2.302562731724473,0.9306640625,0.94140625,0.6293920546543897,0.4541722439844141,5.552519146451703e-05,4.0211498210420176e-05,0.7240049175774164,-1.5315880518951275e-05,False,0.7242027834540119,-1.5313693254096856e-05,False,0.7216046669572402,-0.1752198106699756,False,1.0,5.579867016186876,5.566625162372472,7.708493768482531,7.685379707839122,0.607235121291676,1.0,1.3784021563603588,1.377661891959751,0.2347152020854135,0.9999999999999823,0.3125661351357002,0.9999999999999826,0.0,-2.5228787452803374,0.7652847979145688,0.6874338648642824
SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 target=3e-03,0.003,0,5,5.575281496161821e-05,4.436350008640843e-05,2.302693134469328,2.302761045244305,0.91796875,0.9384765625,0.5331764497701365,0.4224248157063396,5.5840792878893794e-05,4.439028398425091e-05,0.7957176712413445,-1.1389314875209776e-05,False,0.7949436549105512,-1.1450508894642884e-05,False,0.7922795837821716,-0.1107516340637968,False,1.0,4.764766304710828,4.775552323237611,6.590931056429294,6.602495559371281,0.6058032000565559,1.0,1.3783910513900106,1.3775553808702252,0.2423039973812144,0.9999999999999852,0.3227665560268304,0.9999999999999852,0.0,-2.5228787452803374,0.7576960026187709,0.6772334439731549
SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 target=3e-03,0.003,0,6,5.3045928124717534e-05,4.068363732612213e-05,2.3024864298033996,2.302568702666647,0.912109375,0.9345703125,0.5928940366331247,0.4515561494065936,5.319352009158464e-05,4.073134778789575e-05,0.7669511829535692,-1.236229079859541e-05,False,0.7657201049633029,-1.2462172303688892e-05,False,0.7616135793351062,-0.141337887226531,False,1.0,5.484533629177529,5.456458528232418,7.590521060560968,7.545935658088526,0.6042646503946215,1.0,1.3784789042504624,1.3775512013082318,0.2412041032543046,0.9999999999999796,0.3227174449464208,0.9999999999999796,0.0,-2.5228787452803374,0.7587958967456749,0.6772825550535588
SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 target=3e-03,0.003,0,7,5.6056141944260673e-05,4.1707073484165136e-05,2.3026562026578277,2.302769092995274,0.9052734375,0.9296875,0.6395285355645913,0.4716735930532104,5.629414296296411e-05,4.1735848078411154e-05,0.7440232602100317,-1.4349068460095538e-05,False,0.7413888174098173,-1.455829488455296e-05,False,0.7375333027740592,-0.1678549425113809,False,1.0,5.945554440055437,5.957759568078722,8.224561942018557,8.23595655803168,0.6013988853207319,1.0000000000000002,1.3785090814081673,1.3774026363234837,0.2424630490725638,0.999999999999978,0.3256290483930534,0.9999999999999778,0.0,-2.5228787452803374,0.7575369509274142,0.6743709516069244
SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 target=3e-03,0.003,0,8,5.529520261360332e-05,4.1286102323567775e-05,2.302422476015608,2.302576880929947,0.90234375,0.923828125,0.6031762661074597,0.4528975206954051,5.531669932856981e-05,4.127107391234566e-05,0.7466489021130898,-1.4009100290035548e-05,False,0.7460870661715366,-1.4045625416224152e-05,False,0.750854345808624,-0.1502787454120545,False,1.0,5.47002619917124,5.4966908948596895,7.565744568524425,7.598566225341518,0.606403545247619,1.0,1.3786830024658236,1.3774871338320838,0.2432716778165431,0.999999999999986,0.326573041001978,0.999999999999986,0.0,-2.5228787452803374,0.7567283221834429,0.673426958998008
SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 target=3e-03,0.003,0,9,5.359001160831767e-05,3.961119818685077e-05,2.3023200184619945,2.302484836272825,0.8984375,0.9208984375,0.6366580548341729,0.4621070304268957,5.3768558749819434e-05,3.968073198060347e-05,0.7391526330758015,-1.3978813421466896e-05,False,0.7379913634143435,-1.4087826769215965e-05,False,0.7258323788069537,-0.1745510244072772,False,1.0,5.7918367021280694,5.711802470279401,8.024241079797847,7.902023323393754,0.6055885344974061,0.9999999999999998,1.378745739072872,1.3774436309547915,0.2397915653557675,0.9999999999999808,0.3252109225719207,0.9999999999999812,0.0,-2.5228787452803374,0.7602084346442133,0.6747890774280605
SmallMLPDigits,Small MLP digits hidden=64,Small MLP digits hidden=64 target=3e-03,0.003,1,0,5.667882692383941e-05,4.099287443670718e-05,2.3028649017923835,2.3028649017923835,0.927734375,0.927734375,0.6068585565923331,0.4379106003650802,5.685618741734875e-05,4.102756218221416e-05,0.7232484626365011,-1.5685952487132226e-05,False,0.7216024156008614,-1.5828625235134592e-05,False,0.7216024156008624,-0.1689479562272529,False,1.0,5.301367660200972,5.301367660200972,7.115436295886248,7.115436295886248,0.631489940211201,1.0,1.3335063120966568,1.3335063120966568,0.2112643013453706,0.9999999999999848,0.2783084270739939,0.9999999999999848,0.0,-2.5228787452803374,0.7887356986546141,0.721691572925991
