group_type,problem_family,base_setting,eval_algo,metric,n_pairs,other_positive_pairs,other_better_pairs,mean_signed_other_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_other_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_other_minus_own,delta_ci95_low,delta_ci95_high
setting_eval,MatrixSensing,Matrix sensing kappa=1e+02,Muon,delta_loss,20,5,0,-0.1478025201258365,-0.46411409948471705,0.16850905923304405,1.0,1.0,1.0,5,False,False,-3.331631757054532e-05,-4.379372192041239e-05,-2.2838913220678244e-05
setting_eval,MatrixSensing,Matrix sensing kappa=1e+02,Muon,update_grad_cosine,20,5,0,-0.14520991540539052,-0.4608411688430655,0.17042133803228443,1.0,1.0,1.0,5,False,False,-0.9153281463649433,-1.1673579657823496,-0.663298326947537
setting_eval,SmallMLPDigits,Small MLP digits hidden=16,Adam,update_grad_inner,20,20,0,0.7724878700426753,0.7007427520863446,0.8442329879990059,0.7549408540862992,0.6793802243662429,0.8389053327247096,20,False,True,-4.0700361530863806e-05,-6.653694792767046e-05,-1.486377513405716e-05
setting_eval,SmallMLPDigits,Small MLP digits hidden=16,Adam,delta_loss,20,20,0,0.7725293943763012,0.7008185109087086,0.8442402778438938,0.7550048728679287,0.6794922197368174,0.8389093230163895,20,False,True,-4.071181910549893e-05,-6.654196419770555e-05,-1.4881674013292308e-05
setting_eval,SmallMLPDigits,Small MLP digits hidden=16,Adam,update_grad_cosine,20,20,0,0.7724878700426752,0.7007427520863445,0.8442329879990058,0.7549408540862992,0.679380224366243,0.8389053327247096,20,False,True,-0.10913627113391211,-0.14578481131923193,-0.0724877309485923
setting_eval,SmallMLPDigits,Small MLP digits hidden=16,Muon,update_grad_inner,20,20,0,0.731163991371941,0.6537451587529373,0.8085828239909447,0.7116370447410938,0.6366297022164633,0.7954817088877277,20,False,True,-5.112050998892637e-06,-7.45974879179572e-06,-2.764353205989555e-06
setting_eval,SmallMLPDigits,Small MLP digits hidden=16,Muon,delta_loss,20,20,0,0.7308750066737297,0.6533763993794257,0.8083736139680338,0.7113056025132592,0.6362465831392259,0.7952194535495614,20,False,True,-5.119625988436738e-06,-7.4692622954666964e-06,-2.769989681406779e-06
setting_eval,SmallMLPDigits,Small MLP digits hidden=16,Muon,update_grad_cosine,20,20,0,0.731163991371941,0.6537451587529373,0.8085828239909447,0.7116370447410938,0.6366297022164633,0.7954817088877277,20,False,True,-0.1740529200602027,-0.22278177210286432,-0.1253240680175411
setting_eval,SmallMLPDigits,Small MLP digits hidden=64,Adam,update_grad_inner,20,20,0,0.7102893642135737,0.6270687077454108,0.7935100206817366,0.6875104039141696,0.608851490537571,0.7763314417985433,20,False,True,-0.00018804621772057227,-0.0003034894446814088,-7.260299075973571e-05
setting_eval,SmallMLPDigits,Small MLP digits hidden=64,Adam,delta_loss,20,20,0,0.7105439512169712,0.6273432203781792,0.7937446820557632,0.687772709877817,0.6091009326361292,0.7766057727172453,20,False,True,-0.00018759004466591955,-0.00030270483029216,-7.247525903967912e-05
setting_eval,SmallMLPDigits,Small MLP digits hidden=64,Adam,update_grad_cosine,20,20,0,0.7102893642135737,0.6270687077454108,0.7935100206817366,0.6875104039141695,0.6088514905375709,0.7763314417985432,20,False,True,-0.08136556594785666,-0.10566915122362047,-0.05706198067209284
setting_eval,SmallMLPDigits,Small MLP digits hidden=64,Muon,update_grad_inner,20,20,0,0.6882193880908523,0.599810136666917,0.7766286395147876,0.6620694613365168,0.5801535911576212,0.7555515958451329,20,False,True,-1.1394427042685207e-05,-1.5002415627961159e-05,-7.786438457409255e-06
setting_eval,SmallMLPDigits,Small MLP digits hidden=64,Muon,delta_loss,20,20,0,0.6884123845436435,0.6000576671498461,0.7767671019374409,0.6623043950713872,0.5804368147313503,0.7557189699173368,20,False,True,-1.1390453597814875e-05,-1.4998274266697767e-05,-7.782632928931983e-06
setting_eval,SmallMLPDigits,Small MLP digits hidden=64,Muon,update_grad_cosine,20,20,0,0.6882193880908523,0.599810136666917,0.7766286395147876,0.6620694613365167,0.5801535911576211,0.7555515958451328,20,False,True,-0.12724102920110686,-0.16267833774432644,-0.09180372065788728
setting_all_eval,MatrixFactorizationInput,MF input kappa=1e+02,All,update_grad_inner,40,40,0,0.7127816379063392,0.6343011109164909,0.7912621648961875,0.6585169133647601,0.572467778708064,0.7575003193473928,40,False,True,-4.0746174180591205e-08,-5.9389219768867745e-08,-2.2103128592314662e-08
setting_all_eval,MatrixFactorizationInput,MF input kappa=1e+02,All,delta_loss,40,40,0,0.710317797337866,0.6310603200191433,0.7895752746565888,0.6549172828604612,0.5684547045516081,0.7545309132900131,40,False,True,-4.106581285107722e-08,-5.988052478320991e-08,-2.225110091894452e-08
setting_all_eval,MatrixFactorizationInput,MF input kappa=1e+02,All,update_grad_cosine,40,40,0,0.7127816379063392,0.6343011109164909,0.7912621648961875,0.6585169133647601,0.572467778708064,0.7575003193473928,40,False,True,-0.0522262330648338,-0.07109452036516913,-0.03335794576449848
setting_all_eval,MatrixSensing,Matrix sensing kappa=1e+02,All,update_grad_inner,40,10,0,-0.1428569350490309,-0.3624168003646461,0.07670293026658428,1.0,1.0,1.0,10,False,False,-4.433793041838981e-05,-5.622543643980417e-05,-3.245042439697546e-05
setting_all_eval,MatrixSensing,Matrix sensing kappa=1e+02,All,delta_loss,40,10,0,-0.1463208847287309,-0.36652478553556234,0.07388301607810055,1.0,1.0,1.0,10,False,False,-4.4332385111646615e-05,-5.621778597432311e-05,-3.244698424897012e-05
setting_all_eval,MatrixSensing,Matrix sensing kappa=1e+02,All,update_grad_cosine,40,10,0,-0.14285693504903096,-0.3624168003646462,0.07670293026658423,1.0,1.0,1.0,10,False,False,-0.9363753242573616,-1.1159228490290178,-0.7568277994857053
