problem_family,base_setting,seed,step,eval_algo,vector_source,source_algo,target_relative_op_norm,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm
MatrixFactorizationInput,MF input kappa=1e+02,0,10,Muon,other_vectors,Adam,0.001,0.00013824134428778065,0.0001381519413543606,8.940293342004691e-08,8.893337156522488e-08,0.10078459767951313,0.006968287683056493
MatrixFactorizationInput,MF input kappa=1e+02,1,0,Adam,own_vectors,Adam,0.001,0.0001604720091443568,0.00016046248564688105,9.52349747576197e-09,9.514747076520008e-09,0.05299718067224329,0.006331631879611549
MatrixFactorizationInput,MF input kappa=1e+02,1,0,Adam,other_vectors,Muon,0.001,0.0001604720091443568,0.00016046248564688105,9.52349747576197e-09,9.514747076520008e-09,0.05299718067224329,0.006331631879611549
MatrixFactorizationInput,MF input kappa=1e+02,1,0,Muon,own_vectors,Muon,0.001,0.0001604720091443568,0.00016046248564688105,9.52349747576197e-09,9.514747076520008e-09,0.05299718067224329,0.006331631879611549
MatrixFactorizationInput,MF input kappa=1e+02,1,0,Muon,other_vectors,Adam,0.001,0.0001604720091443568,0.00016046248564688105,9.52349747576197e-09,9.514747076520008e-09,0.05299718067224329,0.006331631879611549
MatrixFactorizationInput,MF input kappa=1e+02,1,1,Adam,own_vectors,Adam,0.001,0.00015500910432133258,0.00015493507647947144,7.402784186114043e-08,7.376236440381954e-08,0.17005977103652944,0.006472481130173729
MatrixFactorizationInput,MF input kappa=1e+02,1,1,Adam,other_vectors,Muon,0.001,0.00015500910432133258,0.00015497088745816033,3.8216863172251545e-08,3.818791727504852e-08,0.08804257456557882,0.006472481130173729
MatrixFactorizationInput,MF input kappa=1e+02,1,1,Muon,own_vectors,Muon,0.001,0.00015994931251431103,0.00015993772463743515,1.1587876875879168e-08,1.1540591258543818e-08,0.059924882450971176,0.006368786147092367
MatrixFactorizationInput,MF input kappa=1e+02,1,1,Muon,other_vectors,Adam,0.001,0.00015994931251431103,0.0001599415971483206,7.715365990431907e-09,7.68798065325937e-09,0.03992008092226977,0.006368786147092367
MatrixFactorizationInput,MF input kappa=1e+02,1,3,Adam,own_vectors,Adam,0.001,0.00010820946606687405,0.00010775584932435363,4.536167425204206e-07,4.5255335704258475e-07,0.29952864625688375,0.0069676479139332516
MatrixFactorizationInput,MF input kappa=1e+02,1,3,Adam,other_vectors,Muon,0.001,0.00010820946606687405,0.00010778853232105035,4.2093374582370267e-07,4.2009554900950626e-07,0.27804600084210457,0.0069676479139332516
MatrixFactorizationInput,MF input kappa=1e+02,1,3,Muon,own_vectors,Muon,0.001,0.00015852310925605132,0.0001584985603593625,2.4548896688814667e-08,2.4430790392986506e-08,0.08785955887093194,0.006488633585797641
MatrixFactorizationInput,MF input kappa=1e+02,1,3,Muon,other_vectors,Adam,0.001,0.00015852310925605132,0.00015850095713936167,2.2152116689654142e-08,2.2052789591419276e-08,0.07930764147245113,0.00648863358579764
MatrixFactorizationInput,MF input kappa=1e+02,1,10,Adam,own_vectors,Adam,0.001,1.910486870719081e-05,1.8834140882958565e-05,2.707278242322445e-07,2.7730046375446825e-07,0.2738187682814613,0.007321194757860242
MatrixFactorizationInput,MF input kappa=1e+02,1,10,Adam,other_vectors,Muon,0.001,1.910486870719081e-05,1.900685637693236e-05,9.80123302584486e-08,1.1061585973606124e-07,0.1092270025633346,0.007321194757860242
MatrixFactorizationInput,MF input kappa=1e+02,1,10,Muon,own_vectors,Muon,0.001,0.00014488404970030894,0.00014473020973493223,1.5383996537670958e-07,1.5322454652611325e-07,0.17290132027474922,0.00693921198513805
MatrixFactorizationInput,MF input kappa=1e+02,1,10,Muon,other_vectors,Adam,0.001,0.00014488404970030894,0.00014486240005064552,2.1649649663415616e-08,2.1405548456566622e-08,0.0241544039336722,0.006939211985138051
MatrixFactorizationInput,MF input kappa=1e+02,2,0,Adam,own_vectors,Adam,0.001,0.0001493490238905777,0.00014934199534621899,7.028544358718761e-09,7.024096586266962e-09,0.04872962045482085,0.006331238136703492
MatrixFactorizationInput,MF input kappa=1e+02,2,0,Adam,other_vectors,Muon,0.001,0.0001493490238905777,0.00014934199534621899,7.028544358718761e-09,7.024096586266962e-09,0.04872962045482085,0.006331238136703492
MatrixFactorizationInput,MF input kappa=1e+02,2,0,Muon,own_vectors,Muon,0.001,0.0001493490238905777,0.00014934199534621899,7.028544358718761e-09,7.024096586266962e-09,0.04872962045482085,0.006331238136703492
MatrixFactorizationInput,MF input kappa=1e+02,2,0,Muon,other_vectors,Adam,0.001,0.0001493490238905777,0.00014934199534621899,7.028544358718761e-09,7.024096586266962e-09,0.04872962045482085,0.006331238136703492
