group_type,group,predictor,outcome,points,spearman,spearman_ci95_low,spearman_ci95_high,ci95_excludes_zero
family,SmallMLPDigits,relative_update_fro_norm,norm_condition_movement,300,-0.04791119901332237,-0.1607357774341997,0.06614933888338781,False
family,SmallMLPDigits,update_grad_inner,delta_loss,300,0.9989568772986366,0.998689415822213,0.9991697784286936,True
family,SmallMLPDigits,update_grad_inner,relative_loss_decrease,300,0.9976501961132902,0.9970481902922332,0.9981295410564461,True
family,SmallMLPDigits,update_grad_inner,norm_rank_movement,300,0.1031375904176713,-0.010687933000108429,0.21432444687708999,False
family,SmallMLPDigits,update_grad_inner,norm_condition_movement,300,-0.06307447860531783,-0.17551594053254857,0.05099139885191568,False
family,SmallMLPDigits,update_grad_cosine,delta_loss,300,0.1920117103536396,0.08005935912664375,0.29918026487426247,True
family,SmallMLPDigits,update_grad_cosine,relative_loss_decrease,300,0.18360517156914874,0.07139542991241943,0.2912257481153624,True
family,SmallMLPDigits,update_grad_cosine,norm_rank_movement,300,0.06145891192778979,-0.05260890184011522,0.1739436017497934,False
family,SmallMLPDigits,update_grad_cosine,norm_condition_movement,300,-0.014128380774050996,-0.1276235549072811,0.09973201724979937,False
family,SmallMLPDigits,update_grad_per_update_norm,delta_loss,300,0.915541283792042,0.8950090457262422,0.9322018540354152,True
family,SmallMLPDigits,update_grad_per_update_norm,relative_loss_decrease,300,0.9171328570317447,0.8969667249787806,0.9334903699091496,True
family,SmallMLPDigits,update_grad_per_update_norm,norm_rank_movement,300,-0.028743430482560915,-0.1419796107207546,0.08523531846960299,False
family,SmallMLPDigits,update_grad_per_update_norm,norm_condition_movement,300,-0.10391937688196533,-0.21507827522412212,0.00989776017059664,False
algo,Adam,nrUpdateFrac,delta_loss,1275,0.47460479974602526,0.43089097085292694,0.5160964453116149,True
algo,Adam,nrUpdateFrac,relative_loss_decrease,1275,0.33534300004764445,0.28565536204366865,0.3832325221599448,True
algo,Adam,nrUpdateFrac,norm_rank_movement,1275,0.30207051386651573,0.25129015359809137,0.35119256848480995,True
algo,Adam,nrUpdateFrac,norm_condition_movement,1275,0.23604752605392731,0.1834758358060155,0.28727284589739155,True
algo,Adam,stUpdateFrac,delta_loss,1275,-0.09648308010239563,-0.15063601281661687,-0.041752859950310826,True
algo,Adam,stUpdateFrac,relative_loss_decrease,1275,0.1418572990155163,0.08758848656737711,0.19528657427565685,True
algo,Adam,stUpdateFrac,norm_rank_movement,1275,0.20670549006823788,0.15349744655314113,0.25871835087463213,True
algo,Adam,stUpdateFrac,norm_condition_movement,1275,0.09879455312676086,0.04408228263018012,0.15291597446342808,True
algo,Adam,update_flatness,delta_loss,1275,-0.5674700014299381,-0.6035993247351489,-0.5290148832467049,True
algo,Adam,update_flatness,relative_loss_decrease,1275,-0.169874256759773,-0.2227465384924861,-0.11600556291703483,True
algo,Adam,update_flatness,norm_rank_movement,1275,-0.3035091071876155,-0.35258025472501775,-0.25277334935258844,True
algo,Adam,update_flatness,norm_condition_movement,1275,-0.21649275690024616,-0.2682530416804151,-0.1634860995025847,True
algo,Adam,relative_update_fro_norm,delta_loss,1275,0.6005985553131309,0.5642700470805202,0.6346057160082889,True
algo,Adam,relative_update_fro_norm,relative_loss_decrease,1275,0.3735961633266763,0.3253233658355887,0.4199267808022346,True
