problem_family,setting,kappa,lr,seed_count,mean_delta_nrG,delta_nrG_ci95_low,delta_nrG_ci95_high,nrG_muon_higher_seed_count,mean_delta_stA,delta_stA_ci95_low,delta_stA_ci95_high,stA_muon_higher_seed_count,stA_ci95_excludes_zero,mean_delta_loss,delta_loss_ci95_low,delta_loss_ci95_high,mean_delta_recovery,delta_recovery_ci95_low,delta_recovery_ci95_high,centroid_distance_std,nearest_centroid_balanced_accuracy,delta_stA_95ci
MatrixSensing,Matrix sensing kappa=1e+01 lr=3e-03,10.0,0.003,5,-1.1509038477428266,-1.429431486230263,-0.8723762092553902,0,0.0,0.0,0.0,0,False,0.007697787321817801,0.007361991705868141,0.00803358293776746,0.032639137869938925,0.030673090861765846,0.034605184878112004,1.2981479294217326,0.8166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+02 lr=1e-02,100.0,0.01,5,-3.180104773155677,-3.494618870263019,-2.8655906760483347,0,0.0,0.0,0.0,0,False,0.0011247670202996695,0.0009530245922923838,0.0012965094483069553,-0.03622263349453679,-0.04315028220716227,-0.029294984781911306,1.5959364516424972,0.9,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,5,0.7859140529048212,0.3634324444710164,1.208395661338626,5,0.0,0.0,0.0,0,False,-0.028341134709077315,-0.029250530179931414,-0.027431739238223216,-0.35220919284346136,-0.36257649542661696,-0.34184189026030576,0.32325824967766703,0.6,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+02 lr=3e-03,100.0,0.003,5,-1.2957410005452048,-1.5060561078121417,-1.0854258932782679,0,0.0,0.0,0.0,0,False,0.006103993876905279,0.0058957265353997215,0.006312261218410836,0.02942479773833772,0.026042746317665146,0.0328068491590103,1.370403392993349,0.7833333333333333,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+03 lr=1e-02,1000.0,0.01,5,-3.359256428707866,-3.5299972197055993,-3.1885156377101325,0,0.0,0.0,0.0,0,False,0.0008574383549289185,0.0007047220350447664,0.0010101546748130705,-0.03760444284674696,-0.0439054877098213,-0.03130339798367262,1.6040539900912107,0.9166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+03 lr=3e-02,1000.0,0.03,5,0.8926856053602711,0.5826666072298401,1.202704603490702,5,0.0,0.0,0.0,0,False,-0.02914889937413053,-0.030267695322122624,-0.028030103426138438,-0.3692045958015742,-0.3786593869140747,-0.35974980468907375,0.3777367721845926,0.6333333333333333,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+03 lr=3e-03,1000.0,0.003,5,-1.375218238348348,-1.5477395484266878,-1.2026969282700082,0,0.0,0.0,0.0,0,False,0.005713354187551785,0.005534055886749455,0.005892652488354116,0.02798967189071581,0.02449737867454906,0.03148196510688256,1.3871984055603481,0.8166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+04 lr=1e-02,10000.0,0.01,5,-3.401664147742411,-3.541003341745216,-3.262324953739606,0,0.0,0.0,0.0,0,False,0.000781831309580934,0.0006355833150999515,0.0009280793040619165,-0.038980912334418735,-0.045676847869679765,-0.032284976799157705,1.6112715842731768,0.9166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+04 lr=3e-02,10000.0,0.03,5,1.030725227969919,0.6470710257629559,1.4143794301768822,5,0.0,0.0,0.0,0,False,-0.029343504957249206,-0.03040251750667099,-0.028284492407827422,-0.3777382759497652,-0.3883971975793519,-0.3670793543201785,0.4207122909117549,0.6333333333333333,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+04 lr=3e-03,10000.0,0.003,5,-1.3768234261558343,-1.5100591051083916,-1.243587747203277,0,0.0,0.0,0.0,0,False,0.005590640187715575,0.0054133558143113865,0.005767924561119763,0.027453955483787984,0.02354492997033332,0.03136298099724265,1.3801871592678638,0.8,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+05 lr=1e-02,100000.0,0.01,5,-3.451877081383381,-3.600358988077069,-3.303395174689693,0,0.0,0.0,0.0,0,False,0.0007464277106551996,0.0005935464204220542,0.0008993090008883451,-0.038748154906618724,-0.046474399698240035,-0.031021910114997418,1.6166919590757531,0.9166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+05 lr=3e-02,100000.0,0.03,5,1.0003767497823186,0.733969880841389,1.2667836187232482,5,0.0,0.0,0.0,0,False,-0.02952179676250504,-0.03059190724137329,-0.02845168628363679,-0.38107570119325557,-0.3896270637540508,-0.3725243386324603,0.4184122016370112,0.65,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+05 lr=3e-03,100000.0,0.003,5,-1.4122307158660898,-1.5251614695461415,-1.2992999621860382,0,0.0,0.0,0.0,0,False,0.005546346254076243,0.005365428629407163,0.005727263878745324,0.027746443150300948,0.023107198447531195,0.0323856878530707,1.3780505229252689,0.8,"[0, 0]"
SmallMLPDigits,Small MLP digits lr=1e-02,1.0,0.01,5,1.278500632172902,1.0131573567795775,1.5438439075662265,5,0.03689316868926412,0.010339886142847043,0.0634464512356812,5,True,0.19877389078141017,0.16741623210215376,0.23013154946066658,-0.13689630681818182,-0.1910786934167024,-0.08271392021966126,1.734828845036923,0.8999999999999999,"[0.01034, 0.06345]"
SmallMLPDigits,Small MLP digits lr=3e-02,1.0,0.03,5,1.8034799322692645,1.5483353150564092,2.05862454948212,5,0.038699582315981265,0.020550918648672964,0.056848245983289566,5,True,0.6840327460793815,0.59894101316936,0.769124478989403,-0.10387073863636365,-0.15994492314652148,-0.04779655412620582,1.652564291479948,0.9090909090909091,"[0.02055, 0.05685]"
SmallMLPDigits,Small MLP digits lr=3e-03,1.0,0.003,5,0.9563209091697089,0.6762756121407474,1.2363662061986704,5,0.019025849059913707,-0.0023675654525125087,0.04041926357233992,4,False,0.031095626530116854,0.0258517556338372,0.036339497426396514,0.12121803977272727,0.015951291410393476,0.22648478813506107,1.5799643906923648,0.8636363636363636,"[-0.002368, 0.04042]"
