metric,problem_family,n_pairs,muon_lower_pairs,muon_higher_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_below_one,delta_ci95_below_zero
median_mean_relative_layer_update_norm,MatrixSensing,75,75,0,0.38958414718324036,0.3401221836270193,0.44623907243560224,-0.16532902986449027,-0.1757829825658912,-0.15487507716308935,True,True
median_mean_relative_layer_update_norm,SmallMLPDigits,15,10,5,0.5603466487825987,0.4035327869655653,0.7780987739880539,-0.05232989568467584,-0.08109831875215964,-0.023561472617192034,True,True
relative_update_fro_norm_mean_abs_speed,All,165,165,0,0.014752037071948904,0.012651858658216312,0.017200840101926632,-0.14780521770622856,-0.1821701939622369,-0.11344024145022022,True,True
relative_update_fro_norm_mean_abs_speed,MatrixFactorizationInput,75,75,0,0.02098343508070039,0.017437890661007004,0.025249874330875124,-0.004088370468776351,-0.004932877620298224,-0.0032438633172544784,True,True
relative_update_fro_norm_mean_abs_speed,MatrixSensing,75,75,0,0.00954140224515532,0.007631239795771401,0.011929694157206395,-0.29676888688099967,-0.3552129828942248,-0.23832479086777453,True,True
relative_update_fro_norm_mean_abs_speed,SmallMLPDigits,15,15,0,0.02238349980486566,0.011567516730127828,0.043312758926857806,-0.12157110801963422,-0.17552491825206007,-0.06761729778720837,True,True
mean_relative_layer_update_norm_mean_abs_speed,All,165,165,0,0.023253682502668738,0.01936438126502443,0.027924142916540537,-0.1581018548359559,-0.19162029035898162,-0.12458341931293018,True,True
mean_relative_layer_update_norm_mean_abs_speed,MatrixFactorizationInput,75,75,0,0.053727311072206484,0.0457114207103784,0.0631488566793606,-0.025711095058829216,-0.03068900168036777,-0.02073318843729066,True,True
mean_relative_layer_update_norm_mean_abs_speed,MatrixSensing,75,75,0,0.00954140224515532,0.007631239795771401,0.011929694157206395,-0.29676888688099967,-0.3552129828942248,-0.23832479086777453,True,True
mean_relative_layer_update_norm_mean_abs_speed,SmallMLPDigits,15,15,0,0.03036494990525293,0.017783632201124944,0.051847123935131474,-0.12672049349637085,-0.18277923868465806,-0.07066174830808364,True,True
update_normalized_rank_plane_mean_speed,All,165,47,118,1.512235691028679,1.3359476785892899,1.7117861888392367,1.0897738627047386,-1.0286129694657158,3.2081606948751933,False,False
update_normalized_rank_plane_mean_speed,MatrixFactorizationInput,75,41,34,0.8898748540356393,0.7870565965869293,1.006124920722253,-0.8083201827579298,-5.377950402513451,3.7613100369975916,False,False
update_normalized_rank_plane_mean_speed,MatrixSensing,75,0,75,2.7508432074849543,2.419270757031369,3.127859223765251,2.521622845649393,2.2119697106774474,2.8312759806213386,False,False
update_normalized_rank_plane_mean_speed,SmallMLPDigits,15,6,9,1.076069849069009,0.6334142564899009,1.8280711370345704,3.4209991752948072,-0.4005910101098493,7.242589360699464,False,False
update_normalized_condition_mean_speed,All,165,71,94,1.2674163960327958,1.0927390679170723,1.4700163727052409,-1.902352810906661,-3.2379393563837136,-0.5667662654296082,False,True
update_normalized_condition_mean_speed,MatrixFactorizationInput,75,66,9,0.5703432596631195,0.5013602907336553,0.6488177062589939,-7.536093782523767,-9.771311304749076,-5.300876260298456,True,True
update_normalized_condition_mean_speed,MatrixSensing,75,0,75,2.7508432074849534,2.419270757031369,3.12785922376525,2.3944188534653197,2.1159545234184276,2.6728831835122118,False,False
update_normalized_condition_mean_speed,SmallMLPDigits,15,5,10,1.4259417315981373,0.8316605640112437,2.444879449502916,4.782493725318962,0.9583271102973252,8.606660340340598,False,False
per_update_rank_plane_mean_speed,All,165,45,120,1.6630146399908603,1.4579622987846188,1.89690617866415,1.3015817629772335,-0.7721653834899982,3.375328909444465,False,False
per_update_rank_plane_mean_speed,MatrixFactorizationInput,75,40,35,0.9038339977805777,0.799984413001802,1.021164765546727,-0.6605739396928445,-5.130367392093526,3.8092195127078368,False,False
per_update_rank_plane_mean_speed,MatrixSensing,75,0,75,3.2219686733259927,2.820909209838199,3.6800482963751584,2.667708992463435,2.438570370710679,2.8968476142161914,False,False
per_update_rank_plane_mean_speed,SmallMLPDigits,15,5,10,1.284715200812735,0.753876246917695,2.189342287872216,4.281724128896616,0.4796924134505156,8.083755844342715,False,False
per_update_condition_mean_speed,All,165,71,94,1.3787356283277115,1.1754986693608724,1.617111088567841,-1.8499434669897548,-3.235710890381867,-0.46417604359764253,False,True
per_update_condition_mean_speed,MatrixFactorizationInput,75,66,9,0.5799813223575828,0.5056646958386353,0.6652201291723031,-7.613307417071457,-9.964352705497433,-5.262262128645481,True,True
per_update_condition_mean_speed,MatrixSensing,75,0,75,3.2219686733259922,2.820909209838199,3.6800482963751566,2.5440155657153176,2.343814057389698,2.7442170740409373,False,False
per_update_condition_mean_speed,SmallMLPDigits,15,5,10,1.501807871891151,0.8442766309061935,2.6714311417732763,4.997081119893399,1.0748593441788996,8.919302895607899,False,False
