metric,problem_family,layer_group,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_7,750,74,676,0.4544510001449063,0.43782332992082695,0.4717101566288219,-0.013587730057222363,-0.014746818217078834,-0.012428641897365892,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_8,750,68,682,0.4499879939939587,0.43389955791286855,0.46667296853842133,-0.013933268036653916,-0.015096537351277566,-0.012769998722030267,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_9,750,45,705,0.4405984829466486,0.4256679894112888,0.4560526701652419,-0.01463924814199661,-0.015796778151119552,-0.013481718132873667,False,True
relative_activation_delta_op_norm,MatrixFactorizationInput,layer_10,750,61,689,0.3490293602332962,0.3282350547728922,0.3711410238895814,-0.33970186674038544,-0.39534107736556123,-0.28406265611520964,False,True
relative_activation_delta_op_norm,SmallMLPDigits,layer_1,150,34,116,0.39118027170802133,0.32558828763182635,0.46998620892222603,-0.598460863303651,-0.9160314751994126,-0.28089025140788937,False,True
relative_activation_delta_op_norm,SmallMLPDigits,layer_2,150,57,93,0.6274068279952734,0.5538228671837511,0.7107675597015142,-0.38326165615031166,-0.5853153748911039,-0.18120793740951946,False,True
max_relative_sample_activation_delta,All,all_layers,7800,226,7574,0.3059674675067657,0.30137201454757967,0.3106329939528074,-0.03304004665735246,-0.03427650242399538,-0.03180359089070954,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,all_layers,7500,226,7274,0.32064445131154334,0.3159880279324584,0.3253694920962534,-0.028493177538268296,-0.029435510447555123,-0.02755084462898147,False,True
max_relative_sample_activation_delta,SmallMLPDigits,all_layers,300,0,300,0.09483383752140714,0.08992656584665462,0.10000889786420344,-0.14671177463445664,-0.16424392418794131,-0.12917962508097197,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_1,750,0,750,0.1074049635041392,0.10384494537726763,0.11108702636816777,-0.10166100425276473,-0.10763942248645025,-0.0956825860190792,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_2,750,38,712,0.4041283834224383,0.3905109371404115,0.4182206815603485,-0.017383718198299633,-0.01867203320890003,-0.016095403187699236,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_3,750,36,714,0.4044080161517455,0.3908290542355927,0.41845876542536825,-0.017340675757290366,-0.018623757591405395,-0.016057593923175337,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_4,750,30,720,0.4036305282397084,0.3902033409737224,0.417519755009062,-0.017356017402471953,-0.01863315436439087,-0.016078880440553035,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_5,750,27,723,0.40263158689298295,0.3893011520424825,0.4164184819732339,-0.01745478866239721,-0.018735335087601293,-0.016174242237193125,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_6,750,25,725,0.401731698321098,0.3884829983299564,0.4154322277416094,-0.01754608135157559,-0.018829775933767976,-0.016262386769383203,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_7,750,25,725,0.39949970056574335,0.38647432841693546,0.41296406777098843,-0.017785277931560577,-0.01907113510368652,-0.016499420759434634,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_8,750,23,727,0.3969752336618425,0.38424648083808294,0.4101256459061255,-0.018031067068788823,-0.01931308583443263,-0.016749048303145015,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_9,750,22,728,0.39382023211930334,0.3814347898001367,0.4066078380206692,-0.018375100978362046,-0.019659216546749625,-0.017090985409974467,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_10,750,0,750,0.16049739341573724,0.15615733270965074,0.16495807687200567,-0.041998043779172045,-0.0446016501500492,-0.03939443740829489,False,True
max_relative_sample_activation_delta,SmallMLPDigits,layer_1,150,0,150,0.06300630238422664,0.060460940117862946,0.06565882257857487,-0.21216035650549628,-0.24221895981997366,-0.1821017531910189,False,True
max_relative_sample_activation_delta,SmallMLPDigits,layer_2,150,0,150,0.14273900226984482,0.13838345889952497,0.14723163397573308,-0.08126319276341694,-0.09171457142935537,-0.07081181409747851,False,True
mean_relative_sample_activation_delta,All,all_layers,7800,1070,6730,0.4752343688606916,0.4676787512887194,0.4829120517536488,-0.0168326052478993,-0.017774118326242053,-0.015891092169556545,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,all_layers,7500,1070,6430,0.503199277790885,0.4956318946835654,0.510882200853779,-0.012672864011032785,-0.01327118388143788,-0.01207454414062769,False,True
mean_relative_sample_activation_delta,SmallMLPDigits,all_layers,300,0,300,0.1137898809998945,0.10778792537411112,0.12012604355292732,-0.12082613616956218,-0.1360642055557963,-0.10558806678332809,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_1,750,0,750,0.15536713594654528,0.15039452495992756,0.16050416023232283,-0.06678060097409566,-0.0704983569013919,-0.06306284504679942,False,True
