run_id,problem_family,setting,kappa,lr,algo,seed,steps,median_relative_update_fro_norm,median_mean_relative_layer_update_norm,nrG_mean_abs_speed,nrG_std_speed,nrG_mean_rel_speed,nrG_path_length,stA_mean_abs_speed,stA_std_speed,stA_mean_rel_speed,stA_path_length,condition_score_mean_abs_speed,condition_score_std_speed,condition_score_mean_rel_speed,condition_score_path_length,delta_gd_pred_mean_abs_speed,delta_gd_pred_std_speed,delta_gd_pred_mean_rel_speed,delta_gd_pred_path_length,delta_spec_pred_mean_abs_speed,delta_spec_pred_std_speed,delta_spec_pred_mean_rel_speed,delta_spec_pred_path_length,loss_mean_abs_speed,loss_std_speed,loss_mean_rel_speed,loss_path_length,relative_update_fro_norm_mean_abs_speed,relative_update_fro_norm_std_speed,relative_update_fro_norm_mean_rel_speed,relative_update_fro_norm_path_length,mean_relative_layer_update_norm_mean_abs_speed,mean_relative_layer_update_norm_std_speed,mean_relative_layer_update_norm_mean_rel_speed,mean_relative_layer_update_norm_path_length,rank_plane_mean_speed,rank_plane_path_length,rank_plane_net_distance,rank_plane_tortuosity,norm_rank_plane_mean_speed,norm_rank_plane_path_length,norm_condition_mean_speed,norm_condition_path_length,per_update_rank_plane_mean_speed,per_update_condition_mean_speed,update_normalized_rank_plane_mean_speed,update_normalized_condition_mean_speed
10,MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Adam,0,10,0.026806701765110387,0.04761887299163621,0.21798713911436346,0.32106340109948495,0.13306323458460328,2.1798713911436347,0.22670457985815276,0.3215100423547235,0.03901032079400173,2.2670457985815275,0.14706931434139084,0.16305794209944846,0.17006621172284833,1.4706931434139083,3.621961372781627e-09,5.098872134967508e-09,0.688071527374364,3.621961372781627e-08,2.711112700716713e-09,3.471682320644187e-09,0.8648690073554404,2.711112700716713e-08,1.6848636084371568e-05,1.995769195843017e-05,0.12125118716745434,0.0001684863608437157,0.003208608109526767,0.004311541585345565,0.10570231991934888,0.028877472985740903,0.020761341417613734,0.027052338586670933,0.2049066241552566,0.1868520727585236,0.36332768854122244,3.6332768854122244,2.1210460320369413,1.7129646554266509,0.5726600448510081,5.726600448510081,0.7407919510962223,7.407919510962223,20.343826903652474,31.892813128540023,21.362570071799727,27.63458024740597
11,MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Adam,1,10,0.030666948021211067,0.05268185647351099,0.2879838064467076,0.3457968647095653,0.1604972867995264,2.8798380644670765,0.21060837852637668,0.3208214879280499,0.03532680687014432,2.106083785263767,0.1220726443784016,0.1442533848063375,0.13996633807281142,1.220726443784016,4.3993843356008e-09,5.78510326577673e-09,0.9687665660165727,4.3993843356008004e-08,2.9146542228275116e-09,3.593780251959715e-09,1.0957177912132692,2.9146542228275117e-08,1.8940460768578702e-05,1.5212564558283072e-05,0.16253438438963988,0.00018940460768578703,0.0026360402166019314,0.002231522442347089,0.08883750488588121,0.02372436194941738,0.019832472701237766,0.02327191940538976,0.20436992979108123,0.1784922543111399,0.3956317209349275,3.9563172093492747,1.6483811422775774,2.4001228283179756,0.6574531631737641,6.574531631737641,0.6148830761163132,6.148830761163132,23.67932753820572,25.019400520205718,21.438493413789686,20.050351136703394
12,MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Adam,2,10,0.03140150888094997,0.058558066308648085,0.20828444879880587,0.2602676827440374,0.1272416774092274,2.0828444879880585,0.2539225004417502,0.28605388631910933,0.04226945455847773,2.539225004417502,0.11446775651304493,0.12639632262048384,0.15427763401476055,1.1446775651304493,7.54511157235388e-09,1.1623507300178437e-08,1.8837676171171587,7.54511157235388e-08,4.620451374257493e-09,6.589252747872164e-09,2.035047099778777,4.620451374257493e-08,1.7362618265722606e-05,1.6922316608687155e-05,0.1525583513545002,0.00017362618265722606,0.0025661093514739793,0.003490531295939459,0.08301075056822083,0.023094984163265813,0.020548122069364374,0.024441656920802458,0.2035491229733101,0.18493309862427937,0.3711078186056872,3.7110781860568722,1.5174517317588623,2.4455988341424217,0.5751178945205375,5.751178945205375,0.5765770586790645,5.765770586790645,20.59151538673064,20.947281877082975,18.314976414061377,18.361444377242986
13,MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Adam,3,10,0.030973414538533296,0.061098754164369315,0.24155011820192662,0.2803240918779382,0.15072620725861946,2.4155011820192662,0.23427583468796537,0.2415506608467107,0.040482792511792064,2.342758346879654,0.11400136991971772,0.1362377185987194,0.14282157984334912,1.1400136991971772,6.528339341510115e-09,9.307185879344508e-09,0.8737694802550738,6.528339341510115e-08,4.219094082533251e-09,5.557771294025412e-09,0.9481087430950044,4.219094082533251e-08,2.70848857819683e-05,2.564078100606085e-05,0.21726054963972272,0.000270848857819683,0.002739230008271787,0.00391210407661107,0.08333496563756936,0.024653070074446084,0.02049665765033974,0.0250419858139148,0.19634544699403675,0.18446991885305764,0.3748719066578983,3.748719066578983,1.9210527227068368,1.9513879146934054,0.5982234542702545,5.982234542702545,0.5742278573111026,5.742278573111026,21.53421991704441,21.417453143173553,19.314094464012637,18.539378556300896
14,MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Adam,4,10,0.031812396853407865,0.05847529565004372,0.2289526733954655,0.25642364400061135,0.13878673598713073,2.289526733954655,0.26371399339642404,0.350390476445694,0.04501092111109149,2.6371399339642405,0.12272209809501425,0.13079817540240274,0.1620753259593562,1.2272209809501424,4.654278557454969e-09,6.1320828906469545e-09,1.2484398005822226,4.654278557454969e-08,3.006283967998023e-09,3.770182569904045e-09,1.3398154513731853,3.006283967998023e-08,2.463137938206499e-05,2.496995442223361e-05,0.19059697756490956,0.0002463137938206499,0.0026357764618279954,0.0036432996194018076,0.08178468611639032,0.02372198815645196,0.019099980887642667,0.020473475202624113,0.1912650902382649,0.171899827988784,0.38782829949353753,3.8782829949353754,1.3096581007803967,2.9612942436078478,0.6071622231554924,6.071622231554924,0.6181543913327516,6.181543913327516,21.573949508873742,21.71518842041889,19.085711333016107,19.431242297812986
15,MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Muon,0,10,0.010948523830310952,0.029291440026387703,0.20655456177169484,0.25689353151438166,0.1002986544521564,2.0655456177169484,0.05844671078563417,0.06800529904131128,0.00879309940998212,0.5844671078563417,0.05916606443685456,0.07566715784429277,0.10874130566482468,0.5916606443685456,1.053342125656601e-09,1.3389417292172543e-09,0.25007495494566234,1.053342125656601e-08,6.565475574628857e-10,6.55915852102728e-10,0.24091120884131123,6.5654755746288575e-09,1.2589941291470444e-05,1.4815787124662478e-05,0.06295263071444868,0.00012589941291470444,7.632818861038669e-05,3.745012294842675e-05,0.007012022067919103,0.0006869536974934802,0.0011820575710343789,0.00039735557662463216,0.04053914015632483,0.01063851813930941,0.22727171064170135,2.2727171064170135,0.3861634858105911,5.8853754690099205,0.41493001388311834,4.149300138831183,0.2980210012478922,2.980210012478922,37.96146388488842,27.31569037260693,37.89826101801834,27.22019934987236
16,MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Muon,1,10,0.010940602109730049,0.029046776637904354,0.2116891420603686,0.2649897946420366,0.08514644791646862,2.116891420603686,0.058019860407427085,0.08142781933047923,0.00879812470845877,0.5801986040742708,0.07008193459581193,0.0833961159587129,0.10399620106549483,0.7008193459581192,9.939413302414016e-10,1.0549074783682958e-09,0.38367296135631107,9.939413302414016e-09,6.509937546540953e-10,6.909610443814091e-10,0.3514105419056385,6.509937546540953e-09,1.6656734241119887e-05,1.794421689955083e-05,0.081646348075924,0.00016656734241119887,7.682273231514691e-05,3.891558704432662e-05,0.007066855192351553,0.0006914045908363222,0.0011178615869663479,0.00034386567244269674,0.03879390880277316,0.010060754282697131,0.2267705659844413,2.267705659844413,0.19310188902688308,11.743570564080343,0.41689111105874,4.1689111105874,0.3530045223799498,3.530045223799498,37.96999626799915,32.12339557441082,38.10495134339791,32.26554798716283
17,MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Muon,2,10,0.010863936707955272,0.02910621080864516,0.2744990267662319,0.3520172371438489,0.09774722104401984,2.744990267662319,0.04502318643946692,0.04650770695793389,0.0067696588462515025,0.4502318643946692,0.07534479743685416,0.10358687869121849,0.09803514969852635,0.7534479743685416,1.1414156910009965e-09,1.497155022041112e-09,0.5061264417500595,1.1414156910009965e-08,8.190839121721599e-10,9.648173853733974e-10,0.5298190963572356,8.1908391217216e-09,2.2428710457658334e-05,2.605511846451006e-05,0.12273849439088125,0.00022428710457658333,9.008292793241032e-05,3.881206870548515e-05,0.008297184011710802,0.0008107463513916929,0.001362891674566316,0.0005906930793652761,0.0458947093241873,0.012266025071096844,0.2873518305167403,2.8735183051674027,0.37023893133165114,7.761253779639327,0.5347748056304175,5.347748056304175,0.37951369902109094,3.7951369902109096,49.09686134425228,34.841182780251586,49.224771830529995,34.933349597221664
18,MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Muon,3,10,0.010978885144161158,0.030581182838217078,0.26419947846451486,0.30125356931891023,0.11570171481604667,2.641994784645149,0.05536408880505857,0.061319097058480786,0.008357193773543993,0.5536408880505856,0.0724634656805778,0.08413719696685747,0.12239698304286195,0.724634656805778,7.355545564141144e-10,6.040717737464114e-10,0.37456986030242756,7.3555455641411445e-09,4.981766227042483e-10,4.545231646882237e-10,0.3330260600457518,4.981766227042483e-09,1.7571002930873417e-05,2.174458334023556e-05,0.09339376541206008,0.0001757100293087342,8.075349318462543e-05,4.7068538906590296e-05,0.007391984894763852,0.0007267814386616289,0.0012833202591854707,0.0006490898683130589,0.042161806548956925,0.011549882332669237,0.2734168060924543,2.7341680609245427,0.5295499050639042,5.163192429606031,0.5113399704599408,5.113399704599408,0.36500035622727933,3.650003562272793,46.612647387666236,33.32382692692189,46.57485379851014,33.24566669880826
19,MatrixFactorizationInput,MF input kappa=1e+01 lr=1e-02,10.0,0.01,Muon,4,10,0.011016807518099445,0.02982826010791039,0.21732556503937847,0.23701059310609623,0.08606711417017766,2.1732556503937848,0.04306429152811644,0.03923400557450868,0.006606716238311297,0.4306429152811644,0.05944501175867063,0.06579285032703247,0.08449370975899849,0.5944501175867063,5.626004635255862e-10,4.702924965872021e-10,0.32070102593395744,5.626004635255862e-09,4.918883411117728e-10,4.0225161341833936e-10,0.35527042083505617,4.918883411117729e-09,1.417461310624948e-05,2.1574357435136153e-05,0.07815538388554685,0.0001417461310624948,7.621219090668791e-05,4.854046085290255e-05,0.006969551495828184,0.0006859097181601912,0.0010946465100202891,0.0005920007387172076,0.03744065693746762,0.009851818590182602,0.22416241671760012,2.2416241671760013,0.6050689716285185,3.7047415621772197,0.4200143666583303,4.200143666583303,0.29942606614335726,2.9942606614335725,38.11983849950068,27.142889927909216,38.124871108829964,27.17902311095406
20,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,Adam,0,10,0.04878779313914791,0.060468189246845855,0.27783545845104646,0.37281073400662823,0.1683145580060119,2.7783545845104647,0.2574900763053237,0.4515379561824213,0.04409411601834053,2.574900763053237,0.1254317331391973,0.13412643050669046,0.1464666996743624,1.254317331391973,6.916661377261959e-09,1.1639230315737235e-08,1.0634761925200364,6.916661377261959e-08,3.603530467700352e-09,5.5326785989443686e-09,0.9965709134670065,3.603530467700352e-08,1.7901431574601438e-05,1.8372792072531217e-05,0.1601562117318233,0.0001790143157460144,0.010012460263206605,0.009379174785990025,0.12858921096435705,0.09011214236885945,0.06559947678003025,0.13457359138834815,0.23947842134523237,0.5903952910202723,0.4118857638379665,4.118857638379665,1.7816770247690041,2.3117869182343407,0.8367018440340331,8.367018440340331,0.6315442338723671,6.315442338723671,12.682095123903762,11.570407633627651,17.14981945683978,12.944718201766918
21,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,Adam,1,10,0.04804556269923004,0.05902406564031622,0.41261933792412187,0.5058211166332278,0.21856581508186598,4.126193379241219,0.3339357946720246,0.5127312173400952,0.05760415656358383,3.339357946720246,0.1465129187685717,0.1818840146256994,0.1719792240013269,1.4651291876857169,1.3747525868478105e-08,2.114548645110051e-08,2.14919671157302,1.3747525868478105e-07,8.291263781949054e-09,1.2472684945359343e-08,2.049856247540719,8.291263781949054e-08,2.8459673079351667e-05,3.201781190443976e-05,0.2503065760073529,0.00028459673079351665,0.010235150518812757,0.008231017379221066,0.13853160179076474,0.09211635466931481,0.06425312694872863,0.12944721085309402,0.2511220976028591,0.5782781425385577,0.5576956642158425,5.576956642158425,1.4248195127617584,3.9141495411924065,1.1775406582488483,11.775406582488483,0.7376872400656206,7.376872400656206,18.38440337785133,14.449559204897852,24.508832701583056,15.353909885156625
22,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,Adam,2,10,0.056596304807151165,0.06776043046342363,0.4392598297776158,0.5907348299592486,0.26654597845585143,4.392598297776158,0.21547171559588305,0.24726892900023734,0.037471878401700784,2.1547171559588305,0.21569480279606398,0.2750221476925732,0.25832932452318996,2.15694802796064,3.662596150154433e-08,7.818450242830514e-08,5.586151212023635,3.6625961501544335e-07,1.822734800818416e-08,3.7704820148556696e-08,5.640906232287333,1.8227348008184162e-07,4.953128772867706e-05,6.42267411912558e-05,0.410385048610478,0.0004953128772867706,0.009824548374641915,0.005784963654143449,0.14103405654367565,0.08842093537177724,0.06616993300468439,0.13308582023239948,0.2551328255495642,0.5955293970421596,0.5318687123284216,5.3186871232842154,1.5544431280809434,3.4216029053764516,1.1971335608852283,11.971335608852282,1.0860155207368543,10.860155207368543,19.291362910106137,18.806943453369573,21.15215056821105,19.18880613208571
23,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,Adam,3,10,0.06223988906070463,0.06807290222527136,0.20553541099346012,0.25795842541240066,0.1108715918596253,2.0553541099346013,0.24508384978692402,0.3285699450791744,0.04090984191572287,2.45083849786924,0.10991462528862961,0.1296650818189719,0.14159751848510577,1.099146252886296,2.0860008761473085e-09,3.097001944747185e-09,0.5214940908040157,2.0860008761473086e-08,1.3612445298857166e-09,1.991112525285938e-09,0.6352977150314353,1.3612445298857165e-08,2.234364800767882e-05,2.2348996250254036e-05,0.1867460193663431,0.0002234364800767882,0.009766534360353716,0.008378091197959554,0.12717402033916927,0.08789880924318344,0.06683977053222254,0.1364348372959371,0.2514766249538581,0.6015579347900029,0.3717335194124374,3.7173351941243737,1.9647102206681955,1.892052657444879,0.7160384280403863,7.160384280403863,0.5534161577935135,5.5341615779351345,10.857348950511023,9.725501052560357,11.504493964345121,8.891663628348507
24,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,Adam,4,10,0.054423424978656765,0.061130570268879345,0.26008713035602427,0.33359580947762607,0.1541302948533111,2.600871303560243,0.22739288195042287,0.2824218704182794,0.04055014972422339,2.2739288195042286,0.07864577858091823,0.10103845254307843,0.11380158897786227,0.7864577858091824,6.18949352146352e-09,1.1003262755518115e-08,1.6758508898234314,6.18949352146352e-08,3.3430020549914803e-09,5.882071172491884e-09,1.7365167826848649,3.34300205499148e-08,1.534113412081784e-05,2.0139160799879337e-05,0.14630986023707976,0.0001534113412081784,0.009722098875557745,0.007126852758610265,0.13006267421051057,0.0874988898800197,0.062352459779395755,0.12147226437917023,0.24288720634506772,0.5611721380145618,0.3680028370695785,3.680028370695785,1.3096284833884815,2.809978873683492,0.7644305242523959,7.644305242523958,0.3959786470148081,3.959786470148081,11.216626259171155,6.895784201728171,14.045983407920074,7.275886204701359
25,MatrixFactorizationInput,MF input kappa=1e+01 lr=3e-02,10.0,0.03,Muon,0,10,0.03055130369166588,0.06025019954461071,0.27797138393114273,0.33648587526514023,0.14095531090290017,2.779713839311427,0.13522720996402313,0.12646032364372378,0.021446560554902842,1.3522720996402313,0.09775598242549523,0.10629602667767094,0.1663376726518911,0.9775598242549522,1.882249913180785e-09,1.8911379359166594e-09,0.30575484830882477,1.8822499131807847e-08,1.087428934970485e-09,1.2341477701111457e-09,0.32618425530313216,1.087428934970485e-08,2.1760572335273475e-05,1.4917820203021293e-05,0.1812470286986538,0.00021760572335273475,0.0006285262121278478,0.00029603742532112177,0.020227710994497,0.005656735909150629,0.006397922582414141,0.0038269935012188415,0.08697557082515739,0.057581303241727264,0.34553135546075253,3.455313554607525,1.045891458464566,3.3037018580112907,0.7808846850790578,7.808846850790578,0.4921978313002926,4.921978313002926,25.306460508192437,16.19516518757819,25.559782749699032,16.11053447236557
