search_id,setting_id,phase,multiplicity_family,planned_family_size,dataset,model,partition_id,warmup_steps,target_head_gain_fraction_registered,seed,frobenius_tail_output_drift_fro,spectral_tail_output_drift_fro,tail_output_drift_sq_ratio_spectral_over_fro,log_tail_output_drift_sq_ratio_spectral_over_fro
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,5000,0.005,3,1.2181586027145386,0.9585198163986206,0.6191480630940794,-0.47941083765657044
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_mod5_01_vs_34_w5000_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_mod5_01_vs_34,5000,0.005,4,1.3048536777496338,0.9589970707893372,0.5401457127437472,-0.6159163374093073
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,500,0.002,0,0.9197195172309875,0.7826385498046875,0.7241218732233052,-0.3227955675815001
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,500,0.002,1,0.909269154071808,0.7837473154067993,0.7429630505145597,-0.29710896562941436
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,500,0.002,2,0.8572303056716919,0.7398333549499512,0.7448567918234985,-0.29456330482058357
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,500,0.002,3,0.9424047470092772,0.7829888463020325,0.6902973736440683,-0.37063279793869
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,500,0.002,4,0.8713197708129883,0.7614771723747253,0.7637630431354681,-0.2694976908870415
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,500,0.005,0,1.288867712020874,0.8684409260749817,0.45400838655372827,-0.7896396085261006
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,500,0.005,1,1.20096755027771,0.8645408749580383,0.5182132539162938,-0.6573684343454435
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,500,0.005,2,1.2659001350402832,0.874782145023346,0.477530293994569,-0.7391276781532058
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,500,0.005,3,1.4593108892440796,0.9153265953063964,0.39342007434061865,-0.9328773465186343
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w500_rho0p005_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,500,0.005,4,1.1615692377090454,0.8286114931106567,0.5088756870962771,-0.6755515219338638
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,2000,0.002,0,1.0983370542526243,0.9787248969078064,0.7940539329783539,-0.23060389437641174
NNS-P1-cifar100lt-resnet18-new-partitions,cifar100_decade_even_vs_odd_w2000_rho0p002_tail30,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,CIFAR100,resnet18_cifar_stem,cifar100_decade_even_vs_odd,2000,0.002,1,1.1237581968307495,0.9908880591392516,0.7775054549598966,-0.2516646189277695
