seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank,tail_train_per_class,imbalance_ratio
0,spectral,layer1.1.conv1.weight,64x64x3x3,26.94906631429025,63.99999999841989,30,10.0
0,spectral,layer1.1.conv2.weight,64x64x3x3,28.21157303844583,63.999999998196785,30,10.0
0,spectral,layer2.0.conv1.weight,128x64x3x3,40.25645011132552,127.99999994850488,30,10.0
0,spectral,layer2.0.conv2.weight,128x128x3x3,49.332314390130314,127.9999999528653,30,10.0
0,spectral,layer2.0.downsample.0.weight,128x64x1x1,19.07365426755289,63.99999999791995,30,10.0
0,spectral,layer2.1.conv1.weight,128x128x3x3,53.77833421362586,127.99999994260799,30,10.0
0,spectral,layer2.1.conv2.weight,128x128x3x3,45.57630558599542,127.99999994812525,30,10.0
0,spectral,layer3.0.conv1.weight,256x128x3x3,67.37229236322133,255.9999999175528,30,10.0
0,spectral,layer3.0.conv2.weight,256x256x3x3,67.67158720356701,255.9999998916286,30,10.0
0,spectral,layer3.0.downsample.0.weight,256x128x1x1,26.06765308109117,127.99999994553335,30,10.0
0,spectral,layer3.1.conv1.weight,256x256x3x3,58.957144919794366,255.99999990045276,30,10.0
0,spectral,layer3.1.conv2.weight,256x256x3x3,41.05650171554845,255.99999989861195,30,10.0
0,spectral,layer4.0.conv1.weight,512x256x3x3,37.74489723823362,511.9999995124966,30,10.0
0,spectral,layer4.0.conv2.weight,512x512x3x3,38.650548216629666,511.99999948595223,30,10.0
0,spectral,layer4.0.downsample.0.weight,512x256x1x1,16.011013326740816,255.99999989848746,30,10.0
0,spectral,layer4.1.conv1.weight,512x512x3x3,27.21766346402152,511.9999994780363,30,10.0
0,spectral,layer4.1.conv2.weight,512x512x3x3,18.698821199729167,511.99999946944814,30,10.0
0,spectral,fc.weight,100x512,25.058018135549975,99.9999999942378,30,10.0
1,frobenius,conv1.weight,64x3x3x3,5.621498755099576,5.621504190684665,30,10.0
1,frobenius,layer1.0.conv1.weight,64x64x3x3,18.227749529351772,18.22777819632247,30,10.0
1,frobenius,layer1.0.conv2.weight,64x64x3x3,28.121887102549156,28.12187531733821,30,10.0
1,frobenius,layer1.1.conv1.weight,64x64x3x3,25.70704687347425,25.707117899801958,30,10.0
1,frobenius,layer1.1.conv2.weight,64x64x3x3,29.236861673492847,29.236794848252337,30,10.0
1,frobenius,layer2.0.conv1.weight,128x64x3x3,44.93379090409773,44.93422227858642,30,10.0
1,frobenius,layer2.0.conv2.weight,128x128x3x3,52.02492572624931,52.02512826976455,30,10.0
1,frobenius,layer2.0.downsample.0.weight,128x64x1x1,19.113945454894026,19.113924213636775,30,10.0
1,frobenius,layer2.1.conv1.weight,128x128x3x3,51.780503515394514,51.78059559337516,30,10.0
1,frobenius,layer2.1.conv2.weight,128x128x3x3,44.2831025518093,44.28249950757436,30,10.0
1,frobenius,layer3.0.conv1.weight,256x128x3x3,68.07960987631944,68.07933869331293,30,10.0
1,frobenius,layer3.0.conv2.weight,256x256x3x3,69.3230982555055,69.32220153932523,30,10.0
1,frobenius,layer3.0.downsample.0.weight,256x128x1x1,25.51007106303359,25.509892800516365,30,10.0
1,frobenius,layer3.1.conv1.weight,256x256x3x3,58.27032750047325,58.27014117145043,30,10.0
1,frobenius,layer3.1.conv2.weight,256x256x3x3,38.75618308032906,38.755574113980536,30,10.0
1,frobenius,layer4.0.conv1.weight,512x256x3x3,42.64711130200518,42.6471238402771,30,10.0
1,frobenius,layer4.0.conv2.weight,512x512x3x3,42.976729452767906,42.9791703970654,30,10.0
1,frobenius,layer4.0.downsample.0.weight,512x256x1x1,17.731694408206884,17.732174402561768,30,10.0
1,frobenius,layer4.1.conv1.weight,512x512x3x3,27.82617581633706,27.82646071031144,30,10.0
1,frobenius,layer4.1.conv2.weight,512x512x3x3,18.60379083197134,18.60385953907215,30,10.0
1,frobenius,fc.weight,100x512,24.934489525722434,24.93455746421314,30,10.0
1,spectral,conv1.weight,64x3x3x3,5.621498755099576,26.999999999867896,30,10.0
1,spectral,layer1.0.conv1.weight,64x64x3x3,18.227749529351772,63.999999998429644,30,10.0
1,spectral,layer1.0.conv2.weight,64x64x3x3,28.121887102549156,63.99999999811044,30,10.0
1,spectral,layer1.1.conv1.weight,64x64x3x3,25.70704687347425,63.99999999869114,30,10.0
1,spectral,layer1.1.conv2.weight,64x64x3x3,29.236861673492847,63.99999999823633,30,10.0
1,spectral,layer2.0.conv1.weight,128x64x3x3,44.93379090409773,127.99999994564055,30,10.0
1,spectral,layer2.0.conv2.weight,128x128x3x3,52.02492572624931,127.99999994929242,30,10.0
1,spectral,layer2.0.downsample.0.weight,128x64x1x1,19.113945454894026,63.99999999799573,30,10.0
1,spectral,layer2.1.conv1.weight,128x128x3x3,51.780503515394514,127.99999994729406,30,10.0
1,spectral,layer2.1.conv2.weight,128x128x3x3,44.2831025518093,127.99999995056193,30,10.0
1,spectral,layer3.0.conv1.weight,256x128x3x3,68.07960987631944,255.9999999119771,30,10.0
1,spectral,layer3.0.conv2.weight,256x256x3x3,69.3230982555055,255.9999998954234,30,10.0
1,spectral,layer3.0.downsample.0.weight,256x128x1x1,25.51007106303359,127.99999994547358,30,10.0
1,spectral,layer3.1.conv1.weight,256x256x3x3,58.27032750047325,255.99999988785802,30,10.0
1,spectral,layer3.1.conv2.weight,256x256x3x3,38.75618308032906,255.99999988654673,30,10.0
1,spectral,layer4.0.conv1.weight,512x256x3x3,42.64711130200518,511.9999995136997,30,10.0
1,spectral,layer4.0.conv2.weight,512x512x3x3,42.976729452767906,511.99999950678534,30,10.0
1,spectral,layer4.0.downsample.0.weight,512x256x1x1,17.731694408206884,255.9999999062976,30,10.0
1,spectral,layer4.1.conv1.weight,512x512x3x3,27.82617581633706,511.9999995067961,30,10.0
1,spectral,layer4.1.conv2.weight,512x512x3x3,18.60379083197134,511.99999949348523,30,10.0
1,spectral,fc.weight,100x512,24.934489525722434,99.99999999522626,30,10.0
2,frobenius,conv1.weight,64x3x3x3,5.34009781134096,5.340096071536466,30,10.0
2,frobenius,layer1.0.conv1.weight,64x64x3x3,20.34231371023245,20.342402486016994,30,10.0
2,frobenius,layer1.0.conv2.weight,64x64x3x3,24.66267584242774,24.662613071147362,30,10.0
2,frobenius,layer1.1.conv1.weight,64x64x3x3,26.047102661997485,26.047161153035216,30,10.0
2,frobenius,layer1.1.conv2.weight,64x64x3x3,31.074576898820954,31.074551717251307,30,10.0
2,frobenius,layer2.0.conv1.weight,128x64x3x3,44.427420836542154,44.427203280780176,30,10.0
2,frobenius,layer2.0.conv2.weight,128x128x3x3,53.30401292350208,53.3038014349147,30,10.0
2,frobenius,layer2.0.downsample.0.weight,128x64x1x1,19.336386802589324,19.336504249096322,30,10.0
2,frobenius,layer2.1.conv1.weight,128x128x3x3,49.42805927399839,49.42788402009416,30,10.0
2,frobenius,layer2.1.conv2.weight,128x128x3x3,42.316872868771156,42.31644602854006,30,10.0
2,frobenius,layer3.0.conv1.weight,256x128x3x3,58.22601012429952,58.22579207616919,30,10.0
2,frobenius,layer3.0.conv2.weight,256x256x3x3,61.05657057029407,61.056080504097636,30,10.0
2,frobenius,layer3.0.downsample.0.weight,256x128x1x1,23.173618685860404,23.173761513723385,30,10.0
2,frobenius,layer3.1.conv1.weight,256x256x3x3,59.94022080320427,59.93862945634467,30,10.0
2,frobenius,layer3.1.conv2.weight,256x256x3x3,41.2327609346531,41.23270429144883,30,10.0
2,frobenius,layer4.0.conv1.weight,512x256x3x3,47.446709803611,47.44117229432509,30,10.0
2,frobenius,layer4.0.conv2.weight,512x512x3x3,44.35228248990918,44.35358042479176,30,10.0
2,frobenius,layer4.0.downsample.0.weight,512x256x1x1,17.851266234536187,17.851107374036403,30,10.0
2,frobenius,layer4.1.conv1.weight,512x512x3x3,29.155133913378343,29.1548896110385,30,10.0
2,frobenius,layer4.1.conv2.weight,512x512x3x3,18.471980316007333,18.471607591714406,30,10.0
2,frobenius,fc.weight,100x512,25.00499725002354,25.004904656710334,30,10.0
2,spectral,conv1.weight,64x3x3x3,5.34009781134096,26.99999999983291,30,10.0
2,spectral,layer1.0.conv1.weight,64x64x3x3,20.34231371023245,63.99999999826515,30,10.0
2,spectral,layer1.0.conv2.weight,64x64x3x3,24.66267584242774,63.99999999822679,30,10.0
2,spectral,layer1.1.conv1.weight,64x64x3x3,26.047102661997485,63.999999997970534,30,10.0
2,spectral,layer1.1.conv2.weight,64x64x3x3,31.074576898820954,63.999999997994685,30,10.0
2,spectral,layer2.0.conv1.weight,128x64x3x3,44.427420836542154,127.99999994659774,30,10.0
2,spectral,layer2.0.conv2.weight,128x128x3x3,53.30401292350208,127.9999999471895,30,10.0
2,spectral,layer2.0.downsample.0.weight,128x64x1x1,19.336386802589324,63.999999998015184,30,10.0
2,spectral,layer2.1.conv1.weight,128x128x3x3,49.42805927399839,127.9999999479032,30,10.0
2,spectral,layer2.1.conv2.weight,128x128x3x3,42.316872868771156,127.99999994958283,30,10.0
2,spectral,layer3.0.conv1.weight,256x128x3x3,58.22601012429952,255.9999999021655,30,10.0
2,spectral,layer3.0.conv2.weight,256x256x3x3,61.05657057029407,255.99999989387098,30,10.0
2,spectral,layer3.0.downsample.0.weight,256x128x1x1,23.173618685860404,127.99999994976567,30,10.0
2,spectral,layer3.1.conv1.weight,256x256x3x3,59.94022080320427,255.99999989465996,30,10.0
2,spectral,layer3.1.conv2.weight,256x256x3x3,41.2327609346531,255.99999989373984,30,10.0
2,spectral,layer4.0.conv1.weight,512x256x3x3,47.446709803611,511.9999994913878,30,10.0
2,spectral,layer4.0.conv2.weight,512x512x3x3,44.35228248990918,511.99999952232406,30,10.0
2,spectral,layer4.0.downsample.0.weight,512x256x1x1,17.851266234536187,255.99999990021843,30,10.0
2,spectral,layer4.1.conv1.weight,512x512x3x3,29.155133913378343,511.99999956082996,30,10.0
2,spectral,layer4.1.conv2.weight,512x512x3x3,18.471980316007333,511.9999995057922,30,10.0
2,spectral,fc.weight,100x512,25.00499725002354,99.99999999584388,30,10.0
0,frobenius,conv1.weight,64x3x3x3,5.033637551102479,5.033615281585235,100,3.0
0,frobenius,layer1.0.conv1.weight,64x64x3x3,20.812106485135804,20.812124704583773,100,3.0
0,frobenius,layer1.0.conv2.weight,64x64x3x3,24.918525760113763,24.918611055735973,100,3.0
0,frobenius,layer1.1.conv1.weight,64x64x3x3,22.908930047307926,22.908837776161345,100,3.0
0,frobenius,layer1.1.conv2.weight,64x64x3x3,26.0664201164929,26.0665441270084,100,3.0
0,frobenius,layer2.0.conv1.weight,128x64x3x3,42.382238882224506,42.3817794350776,100,3.0
0,frobenius,layer2.0.conv2.weight,128x128x3x3,47.874359029495814,47.87430656041312,100,3.0
0,frobenius,layer2.0.downsample.0.weight,128x64x1x1,18.36654196186692,18.36650320511019,100,3.0
0,frobenius,layer2.1.conv1.weight,128x128x3x3,48.15386285932113,48.15405927097965,100,3.0
0,frobenius,layer2.1.conv2.weight,128x128x3x3,36.93910497515901,36.93880439222616,100,3.0
