group_type,problem_family,base_setting,target_relative_update_norm,metric,n_pairs,muon_higher_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.0001,update_grad_cosine,50,0,0.0,0.4179396963054823,0.415344805410095,0.42055079893307684,False,True,-0.28778964671153395,-0.29423572436624623,-0.2813435690568217
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,update_grad_inner,50,0,0.0,0.4018560909373767,0.3976111280851873,0.406146373722394,False,True,-1.4568649152958188e-08,-1.498291561872732e-08,-1.4154382687189054e-08
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,delta_loss,50,0,0.0,0.4001211544512026,0.39560533137081466,0.4046885255176167,False,True,-1.4680738334854073e-08,-1.510293671268998e-08,-1.4258539957018165e-08
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.0003,update_grad_cosine,50,0,0.0,0.40957015444135714,0.4063317867638867,0.4128343311388356,False,True,-0.2975595918197187,-0.30368661870075403,-0.29143256493868336
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.001,update_grad_inner,50,0,0.0,0.3451765333252092,0.3306391800658884,0.3603530565696001,False,True,-6.429885117951918e-08,-6.892396286936626e-08,-5.96737394896721e-08
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.001,delta_loss,50,0,0.0,0.33856272228629886,0.32370767608692996,0.3540994711880965,False,True,-6.660558450803037e-08,-7.157049553380969e-08,-6.164067348225106e-08
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.001,update_grad_cosine,50,0,0.0,0.37485280313186775,0.36582719572196676,0.3841010883253515,False,True,-0.3461384624351602,-0.3588817300388541,-0.33339519483146635
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.003,update_grad_inner,50,0,0.0,0.2474217207329887,0.22614370445479462,0.27070180015871387,False,True,-3.8613226987168854e-07,-4.4038016357828653e-07,-3.3188437616509056e-07
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.003,delta_loss,50,0,0.0,0.23716472283294146,0.2168529452316898,0.2593790261706175,False,True,-4.175387172151713e-07,-4.751371484306562e-07,-3.5994028599968645e-07
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.003,update_grad_cosine,50,0,0.0,0.3287695294983897,0.31638155228583786,0.3416425602114062,False,True,-0.44043870693118053,-0.4647811541241168,-0.41609625973824427
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.01,update_grad_inner,50,0,0.0,0.18134806509605844,0.1635590749653647,0.20107181898068593,False,True,-4.146856971916277e-06,-4.934398425817052e-06,-3.3593155180155023e-06
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.01,delta_loss,50,0,0.0,0.17579833391702102,0.15954520458164081,0.1937071959576573,False,True,-4.547118427864121e-06,-5.353136510964371e-06,-3.7411003447638717e-06
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.01,update_grad_cosine,50,0,0.0,0.3307959114340507,0.3209618679248789,0.3409312630467848,False,True,-0.4903360519736523,-0.5130278949803271,-0.4676442089669775
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.03,update_grad_inner,50,10,0.2,0.4690446959060456,0.32670150701017003,0.6734065256416041,False,True,-8.311884794752348e-06,-1.3239165873927554e-05,-3.3846037155771418e-06
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.03,delta_loss,50,18,0.36,0.7603381607969679,0.4933944762217895,1.1717077239921174,False,False,-7.956354802952894e-07,-5.676586106717377e-06,4.085315146126798e-06
target_setting,MatrixFactorizationInput,MF input kappa=1e+05,0.03,update_grad_cosine,50,6,0.12,0.564627035480142,0.46578528703853683,0.6844434508055153,False,True,-0.2450578924451718,-0.3302838861306738,-0.1598318987596698
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.001,update_grad_inner,25,25,1.0,1.0356961785123917,1.0343167329172251,1.0370774638439655,True,False,9.261271777183991e-07,8.890410019716019e-07,9.632133534651962e-07
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.001,delta_loss,25,25,1.0,1.0356757739764653,1.0342984058452762,1.0370549763393984,True,False,9.250155129280486e-07,8.88007522377512e-07,9.620235034785851e-07
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.001,update_grad_cosine,25,25,1.0,1.0358317386610338,1.034440355525591,1.0372249932886501,True,False,0.02859309230255837,0.027552863414874562,0.02963332119024218
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.003,update_grad_inner,25,25,1.0,1.0348562679864535,1.0334334309872801,1.0362810639556634,True,False,2.6999695735602446e-06,2.585236498614684e-06,2.814702648505805e-06
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.003,delta_loss,25,25,1.0,1.03479642585643,1.0333796711206704,1.0362151229508767,True,False,2.6902277509335825e-06,2.5761877349443297e-06,2.8042677669228354e-06
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.003,update_grad_cosine,25,25,1.0,1.035261278852323,1.033821736641943,1.036702825549262,True,False,0.02814468672887742,0.027068366169374424,0.029221007288380414
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.01,update_grad_inner,25,25,1.0,1.0319335160569802,1.0301704244361376,1.033699625132013,True,False,8.115919055307523e-06,7.631979986562864e-06,8.599858124052182e-06
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.01,delta_loss,25,25,1.0,1.031739038326469,1.029990460921916,1.0334905842273874,True,False,8.015005121028776e-06,7.537852659538692e-06,8.49215758251886e-06
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.01,update_grad_cosine,25,25,1.0,1.0332555815830953,1.0315947906785399,1.0349190462375122,True,False,0.026565835590122235,0.025324056613381555,0.027807614566862916
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.03,update_grad_inner,25,25,1.0,1.0246456693753683,1.0213139690440116,1.0279882382813594,True,False,1.8155360133849e-05,1.545337005546812e-05,2.085735021222988e-05
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.03,delta_loss,25,25,1.0,1.0241382311002087,1.0208519746916722,1.0274350663991725,True,False,1.7433563789780795e-05,1.4818770707459847e-05,2.0048356872101744e-05
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.03,update_grad_cosine,25,25,1.0,1.0284902395791757,1.0260165662295029,1.0309698768284994,True,False,0.022793632461736556,0.02093113739840301,0.024656127525070102
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.1,update_grad_inner,25,11,0.44,1.0017871997977545,0.992859863508187,1.0107948065626995,False,False,1.2189139966882505e-05,-6.703621466240945e-06,3.108190140000596e-05
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.1,delta_loss,25,12,0.48,1.0038401207164303,0.9963010230074443,1.0114362674426842,False,False,1.403848142421638e-05,-1.392603424345474e-06,2.9469566272778233e-05
target_setting,MatrixSensing,Matrix sensing kappa=1e+02,0.1,update_grad_cosine,25,19,0.76,1.0124132505340604,1.0060991318134043,1.0187669956632461,True,False,0.010019803685453917,0.005200698701302401,0.014838908669605431
