problem_family,base_setting,setting,target_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,loss_Adam,loss_Muon,recovery_error_Adam,recovery_error_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_delta,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_delta,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_delta,update_grad_cosine_muon_higher
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,1,1.6902488793077528e-06,5.436778059471771e-07,0.00015942822117642308,0.00016000528297121307,0.9964740028577234,0.9981732494356311,0.6308389102945219,0.26191099465644474,1.3550736631695525e-06,4.957036387574377e-07,0.321655474884765,-1.1465710733605757e-06,False,0.3658130566850321,-8.593700244121149e-07,False,0.4151788838360739,-0.36892791563807714,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,2,2.4993629661391775e-06,6.730873835091998e-07,0.00015773797229711532,0.0001594616051652659,0.9914702039751108,0.9966074100999618,0.7034763899006925,0.2764901891526962,2.0760915060454834e-06,6.036258936895391e-07,0.26930357560227963,-1.8262755826299777e-06,False,0.2907511022186682,-1.4724656123559443e-06,False,0.39303407068391794,-0.4269862007479963,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,3,3.466921071439426e-06,8.386593293372151e-07,0.00015523860933097614,0.0001587885177817567,0.9840255352517306,0.9946610281258087,0.74247683072455,0.2916093525911814,2.9657280285256647e-06,7.526981171976642e-07,0.2419032080788079,-2.628261742102211e-06,False,0.2537987671013275,-2.2130299113280004e-06,False,0.3927521244085326,-0.4508674781333685,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,4,4.570913988830114e-06,1.038364831683282e-06,0.00015177168825953672,0.00015794985845241948,0.9736062522007569,0.9922275106878773,0.7631566952589277,0.30596415392230025,4.002072096974063e-06,9.373817731795174e-07,0.22716787807005806,-3.5325491571468323e-06,False,0.2342241095277281,-3.064690323794546e-06,False,0.4009191766554458,-0.45719254133662746,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,5,5.802896022661893e-06,1.2707856524777467e-06,0.0001472007742707066,0.0001569114936207362,0.9596904770208373,0.9892013119808842,0.7754574414598404,0.31859655337894366,5.180060649644803e-06,1.1542143516265773e-06,0.21899162892372737,-4.532110370184146e-06,False,0.2228186945466984,-4.025846298018225e-06,False,0.4108498240460089,-0.45686088808089675,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,6,7.140143865015999e-06,1.5376881858463853e-06,0.0001413978782480447,0.00015564070796825845,0.9417079660005534,0.985479162324477,0.7834684000162155,0.32973342572417974,6.4858978880700505e-06,1.4050351975737435e-06,0.21535815172863323,-5.602455679169614e-06,False,0.21662925038615233,-5.080862690496307e-06,False,0.42086372049894444,-0.4537349742920358,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,7,8.50701920700913e-06,1.8357270824621342e-06,0.0001342577343830287,0.00015410301978241206,0.9190399161223861,0.980949718803109,0.7866531554300453,0.339447343389017,7.86553237490539e-06,1.6859385424270978e-06,0.21578969528476394,-6.671292124546996e-06,False,0.21434512783978935,-6.179593832478292e-06,False,0.43150827152463256,-0.4472058120410283,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,8,9.834311565550189e-06,2.176828960141606e-06,0.00012575071517601958,0.00015226729269994993,0.8911645336723569,0.97550563164569,0.7878502875132637,0.34784244405472553,9.267569202271057e-06,2.008745747141871e-06,0.22135041641014164,-7.657482605408583e-06,False,0.21675001322349116,-7.258823455129186e-06,False,0.44150830375735506,-0.44000784345853816,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,1,9,1.1016575704004777e-05,2.5583588576678093e-06,0.00011591640361046939,0.00015009046373980832,0.8576393529122842,0.9689987091371671,0.788038061424435,0.3551260205264633,1.0604678872265905e-05,2.3719907369861032e-06,0.23222813752714352,-8.458216846336968e-06,False,0.22367398066050814,-8.232688135279802e-06,False,0.4506457719625213,-0.4329120408979717,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,2,0,7.418664460504172e-07,3.58676709890488e-07,0.0001493490238905777,0.0001493490238905777,0.9992393357981618,0.9992393357981618,0.5057510247853764,0.2458705537511032,7.287374067955543e-07,3.542752480313841e-07,0.4834788145494754,-3.8318973615992916e-07,False,0.48614939308416105,-3.744621587641702e-07,False,0.486149393084161,-0.25988047103427314,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,2,1,1.4733504892951838e-06,4.31238556212988e-07,0.0001486071574445273,0.00014899034718068722,0.9968868807508348,0.9981026129860071,0.6265563726106465,0.25561232492049296,1.1758864548815021e-06,3.855944941401164e-07,0.2926924444293512,-1.0421119330821958e-06,False,0.3279181357514438,-7.902919607413857e-07,False,0.40796380995287573,-0.3709440476901535,False
MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 target=1e-02,0.01,2,2,2.1324012869572352e-06,5.517353556856882e-07,0.0001471338069552321,0.00014855910862447423,0.9921315128206486,0.9966945518701034,0.6840453101270065,0.2737378005854513,1.8039992583232715e-06,4.879439735143586e-07,0.2587389901986835,-1.580665931271547e-06,False,0.2704790322186044,-1.3160552848089129e-06,False,0.4001749541044678,-0.41030750954155526,False
