run_id,problem_family,base_setting,setting,target_relative_update_norm,algo,seed,final_step,final_loss,recovery_error,initial_loss,total_loss_decrease
65,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-03,0.001,Muon,2,5,0.011963545172583129,1.1446758323759039,0.012096481701537817,0.0001329365289546875
66,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-03,0.001,Adam,3,5,0.012139714543405166,1.1329943469039965,0.012269097258227316,0.0001293827148221502
67,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-03,0.001,Muon,3,5,0.01213540920577032,1.1333107561478721,0.012269097258227316,0.0001336880524569952
68,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-03,0.001,Adam,4,5,0.012638367850449205,1.1552018988117199,0.012768712634677852,0.00013034478422864655
69,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-03,0.001,Muon,4,5,0.012633226012691585,1.1554784577129094,0.012768712634677852,0.00013548662198626694
70,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-03,0.003,Adam,0,5,0.0122036672460448,1.1505385559082435,0.012595069754438687,0.0003914025083938868
71,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-03,0.003,Muon,0,5,0.012188571306107333,1.1513700272520127,0.012595069754438687,0.0004064984483313546
72,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-03,0.003,Adam,1,5,0.012375474449215742,1.1712026297440081,0.012757591945778827,0.0003821174965630853
73,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-03,0.003,Muon,1,5,0.012363778032086827,1.1720368378780455,0.012757591945778827,0.00039381391369200033
74,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-03,0.003,Adam,2,5,0.011713515748822427,1.142795963860102,0.012096481701537817,0.00038296595271538995
75,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-03,0.003,Muon,2,5,0.0117005203160317,1.1435398581991616,0.012096481701537817,0.00039596138550611684
76,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-03,0.003,Adam,3,5,0.011883388693356083,1.1312542438490367,0.012269097258227316,0.00038570856487123335
77,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-03,0.003,Muon,3,5,0.011870916769576337,1.132208677118286,0.012269097258227316,0.00039818048865097877
78,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-03,0.003,Adam,4,5,0.012380066519142833,1.1535661556943981,0.012768712634677852,0.0003886461155350185
79,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-03,0.003,Muon,4,5,0.012365070539006349,1.15439561708221,0.012768712634677852,0.0004036420956715029
80,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-02,0.01,Adam,0,5,0.01131856392797429,1.1447719580813787,0.012595069754438687,0.0012765058264643976
81,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-02,0.01,Muon,0,5,0.01127376148041642,1.1475499986619002,0.012595069754438687,0.0013213082740222669
82,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-02,0.01,Adam,1,5,0.011510537916976768,1.1657954720216575,0.012757591945778827,0.0012470540288020589
83,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-02,0.01,Muon,1,5,0.011475756528918532,1.1686239926870154,0.012757591945778827,0.0012818354168602948
84,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-02,0.01,Adam,2,5,0.010848463528195811,1.137275594329808,0.012096481701537817,0.0012480181733420057
85,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-02,0.01,Muon,2,5,0.010809314284859354,1.1397912086133317,0.012096481701537817,0.001287167416678463
86,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-02,0.01,Adam,3,5,0.011011459517405564,1.125322744235501,0.012269097258227316,0.0012576377408217519
87,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-02,0.01,Muon,3,5,0.010974940899384207,1.1285691521578738,0.012269097258227316,0.0012941563588431092
88,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-02,0.01,Adam,4,5,0.011500729013356907,1.1480672710256479,0.012768712634677852,0.0012679836213209447
89,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=1e-02,0.01,Muon,4,5,0.011455605582305108,1.1508265251762555,0.012768712634677852,0.0013131070523727442
90,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-02,0.03,Adam,0,5,0.008998008607663336,1.1300979429365843,0.012595069754438687,0.003597061146775351
91,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-02,0.03,Muon,0,5,0.008906516135728107,1.1385804768995316,0.012595069754438687,0.00368855361871058
92,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-02,0.03,Adam,1,5,0.009242490000076447,1.1517905548896403,0.012757591945778827,0.0035151019457023806
93,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-02,0.03,Muon,1,5,0.009165203571936403,1.1604983044579775,0.012757591945778827,0.003592388373842424
94,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-02,0.03,Adam,2,5,0.008588890575409326,1.123199164442363,0.012096481701537817,0.0035075911261284905
95,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-02,0.03,Muon,2,5,0.008502414404406222,1.1310474244173105,0.012096481701537817,0.0035940672971315948
96,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 target=3e-02,0.03,Adam,3,5,0.008735955961565362,1.1100664803275655,0.012269097258227316,0.0035331412966619537
