metric,problem_family,layer_group,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_2,750,214,536,0.9276844823621431,0.9155630970782617,0.9399663459152657,-0.0011788608585522658,-0.0014391809276951871,-0.0009185407894093446,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_3,750,213,537,0.9290362098605868,0.916714685482398,0.9415233473410924,-0.001149471963502947,-0.0014127391895653611,-0.0008862047374405327,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_4,750,213,537,0.929724416075224,0.9172822073021866,0.9423353935847741,-0.0011387580678413362,-0.0014033939445659471,-0.0008741221911167253,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_5,750,213,537,0.9303040924419852,0.9178204655904012,0.9429575138723698,-0.0011271844039668312,-0.0013913223204978017,-0.0008630464874358607,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_6,750,212,538,0.9308202586577886,0.9183704989424419,0.9434387917790191,-0.0011127539111949196,-0.0013746945457428382,-0.0008508132766470012,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_7,750,217,533,0.931055986193484,0.9186777637109973,0.9436009922837583,-0.0011049966946953063,-0.0013637919395323073,-0.0008462014498583053,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_8,750,216,534,0.9310592405331933,0.9187528253436132,0.9435304964183782,-0.0011054047898532066,-0.001361387211535533,-0.0008494223681708804,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_9,750,215,535,0.9314061078753312,0.919135569577107,0.9438404589070757,-0.0010976639381507659,-0.0013526986005227013,-0.0008426292757788304,False,True
max_relative_sample_activation_delta,MatrixFactorizationInput,layer_10,750,0,750,0.3826467148484477,0.3788960726684676,0.3864344841399947,-0.014725788226124515,-0.015612654782246384,-0.013838921670002646,False,True
max_relative_sample_activation_delta,SmallMLPDigits,layer_1,150,0,150,0.26352176120794624,0.2578594245624236,0.269308437137719,-0.04370244826960924,-0.05029283244008323,-0.037112064099135256,False,True
max_relative_sample_activation_delta,SmallMLPDigits,layer_2,150,3,147,0.6777008224376,0.6447915207918813,0.7122897710698034,-0.011565623124119715,-0.014352499947367278,-0.008778746300872152,False,True
mean_relative_sample_activation_delta,All,all_layers,7800,5753,2047,1.2059755349976042,1.1903964015976984,1.2217585579566235,-0.00038184085387332365,-0.000710232999849531,-5.34487078971163e-05,True,False
mean_relative_sample_activation_delta,MatrixFactorizationInput,all_layers,7500,5707,1793,1.247881676565681,1.2321347481808718,1.2638298538430504,0.00037584091669264595,6.660079007409674e-05,0.0006850810433111952,True,False
mean_relative_sample_activation_delta,SmallMLPDigits,all_layers,300,46,254,0.5134116789845549,0.4826367358873924,0.546148961564418,-0.01932388511802256,-0.02221880930405801,-0.01642896093198711,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_1,750,0,750,0.3868886417715323,0.37969243278493137,0.3942212385797155,-0.027657147129765594,-0.02964199925753075,-0.02567229500200044,False,True
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_2,750,683,67,1.5338471580526158,1.499909194711405,1.5685530247841188,0.0038085390892706817,0.003474481361612939,0.004142596816928424,True,False
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_3,750,697,53,1.5470918565831815,1.5135692386118824,1.5813569354125516,0.003933877444543097,0.003600409373745539,0.004267345515340655,True,False
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_4,750,702,48,1.5608699912052677,1.5276846739117036,1.5947761806151008,0.004058791029274296,0.0037260320380525435,0.004391550020496048,True,False
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_5,750,711,39,1.5758935278694706,1.5429964916640972,1.6094919363702085,0.004192563502853232,0.0038596673708213686,0.004525459634885096,True,False
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_6,750,721,29,1.5916916953600122,1.559125733953762,1.6249378724917922,0.004331720185768157,0.0039984882561120635,0.00466495211542425,True,False
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_7,750,726,24,1.6082232606167857,1.5760447207203971,1.6410587986403529,0.004475493078244265,0.0041416997704712254,0.004809286386017304,True,False
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_8,750,730,20,1.6258814220731854,1.5941487355779465,1.6582457707024094,0.004628099826812659,0.004293156928309776,0.004963042725315543,True,False
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_9,750,737,13,1.6456926627590716,1.6144459824100914,1.6775441047683792,0.004799897450703594,0.004461981615351792,0.005137813286055396,True,False
mean_relative_sample_activation_delta,MatrixFactorizationInput,layer_10,750,0,750,0.5919887003905032,0.5874462675407205,0.5965662576377585,-0.002813425310777926,-0.0029854999992699302,-0.002641350622285922,False,True
mean_relative_sample_activation_delta,SmallMLPDigits,layer_1,150,0,150,0.31121876083935573,0.3065456577538133,0.3159631025541063,-0.032972624941991775,-0.03762022446199756,-0.02832502542198599,False,True
mean_relative_sample_activation_delta,SmallMLPDigits,layer_2,150,46,104,0.846965495932296,0.8090365810566352,0.8866725783436771,-0.005675145294053342,-0.007233570586933341,-0.004116720001173343,False,True
