metric,problem_family,n_pairs,muon_lower_pairs,muon_higher_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_below_one,delta_ci95_below_zero
delta_gd_pred_mean_rel_speed,MatrixFactorizationInput,75,58,17,0.6862212111243421,0.6157583286477084,0.7647473508496755,-0.35178696264283565,-0.4647822938358517,-0.2387916314498196,True,True
delta_gd_pred_mean_rel_speed,MatrixSensing,75,54,21,0.8532257167257546,0.8128038774655988,0.8956577888778459,-0.040084561244432784,-0.05289038772536952,-0.02727873476349605,True,True
delta_gd_pred_mean_rel_speed,SmallMLPDigits,15,9,6,0.9656608393903384,0.8901332865143017,1.0475968833652538,-0.004162607426437387,-0.01553256214962763,0.007207347296752855,False,False
delta_spec_pred_mean_rel_speed,All,165,130,35,0.7439305251935289,0.6981041899205473,0.7927650833576962,-0.27845940437956773,-0.36891819584171887,-0.1880006129174166,True,True
delta_spec_pred_mean_rel_speed,MatrixFactorizationInput,75,67,8,0.611692415464612,0.5450014242591537,0.6865442813210171,-0.5722105867084292,-0.7496694852064714,-0.394751688210387,True,True
delta_spec_pred_mean_rel_speed,MatrixSensing,75,55,20,0.8529304556781869,0.8109409941021963,0.8970940765287293,-0.040490968782780246,-0.05373269903487555,-0.027249238530684942,True,True
delta_spec_pred_mean_rel_speed,SmallMLPDigits,15,8,7,0.9991313417907008,0.9233018824146452,1.0811885659084757,0.0004543292808014326,-0.007717284405434326,0.008625942967037191,False,False
loss_mean_rel_speed,All,165,127,38,0.7950226797345309,0.755160392401654,0.8369891583986763,-0.035427728004981,-0.04430081720601567,-0.02655463880394633,True,True
loss_mean_rel_speed,MatrixFactorizationInput,75,52,23,0.8530479717224771,0.8040090458959976,0.9050779288793753,-0.038559201390985454,-0.053478885015317335,-0.02363951776665357,True,True
loss_mean_rel_speed,MatrixSensing,75,60,15,0.8532021769437701,0.8134969544684932,0.8948453349984632,-0.03824952203819358,-0.050522609943326635,-0.025976434133060528,True,True
loss_mean_rel_speed,SmallMLPDigits,15,15,0,0.3926880183511877,0.3171767099767453,0.4861765536564417,-0.005661390908895795,-0.009378414996530924,-0.001944366821260667,True,True
median_relative_update_fro_norm,All,165,55,64,1.0,1.0,1.0000000000000002,1.441397506402547e-17,1.651747181919508e-18,2.717620294613143e-17,False,False
median_relative_update_fro_norm,MatrixFactorizationInput,75,22,21,1.0,0.9999999999999999,1.0,-3.9320398788807625e-19,-1.0949185833795116e-18,3.085106076033591e-19,False,False
median_relative_update_fro_norm,MatrixSensing,75,27,37,1.0,1.0,1.0000000000000002,2.8403205713326924e-17,2.469526282456855e-18,5.4336885144196993e-17,False,False
median_relative_update_fro_norm,SmallMLPDigits,15,6,6,1.0,0.9999999999999998,1.0000000000000004,1.850371707708594e-17,-3.274015508101965e-17,6.974758923519154e-17,False,False
median_mean_relative_layer_update_norm,All,165,92,62,0.9344246342560787,0.9090166819047989,0.9605427650403133,-0.0007551682131254133,-0.001757243650309011,0.0002469072240581844,True,False
median_mean_relative_layer_update_norm,MatrixFactorizationInput,75,50,25,0.8704076336801938,0.8221746867978408,0.9214701704323306,-1.9846868847556756e-05,-0.0019496254480929835,0.0019099317103978698,True,False
median_mean_relative_layer_update_norm,MatrixSensing,75,27,37,1.0,1.0,1.0000000000000002,2.8403205713326924e-17,2.469526282456855e-18,5.4336885144196993e-17,False,False
median_mean_relative_layer_update_norm,SmallMLPDigits,15,15,0,0.9492347209596664,0.9393521300257339,0.9592212831312698,-0.008207616000141906,-0.011976861739509391,-0.004438370260774422,True,True
relative_update_fro_norm_mean_abs_speed,All,165,77,71,1.0000000000000089,0.9999999999999876,1.0000000000000302,-1.629778660578506e-18,-6.028679262824402e-18,2.76912194166739e-18,False,False
relative_update_fro_norm_mean_abs_speed,MatrixFactorizationInput,75,36,27,1.000000000000016,0.9999999999999746,1.0000000000000573,-2.3186115209507716e-20,-3.126938422722867e-19,2.6632161185327125e-19,False,False
relative_update_fro_norm_mean_abs_speed,MatrixSensing,75,35,37,1.0000000000000058,0.9999999999999841,1.0000000000000275,-3.261280134836397e-18,-1.2879603827072551e-17,6.357043557399757e-18,False,False
relative_update_fro_norm_mean_abs_speed,SmallMLPDigits,15,6,7,0.9999999999999899,0.9999999999999434,1.0000000000000364,-1.505234016134042e-18,-7.754324906363086e-18,4.743856874095002e-18,False,False
mean_relative_layer_update_norm_mean_abs_speed,All,165,115,47,0.5749088915751794,0.517332288385203,0.6388934946316317,-0.0014326803546816419,-0.0018332912013967815,-0.0010320695079665022,True,True
mean_relative_layer_update_norm_mean_abs_speed,MatrixFactorizationInput,75,75,0,0.29779148217336,0.26675025383830736,0.33244492021649763,-0.003306306553739489,-0.003967084475320024,-0.002645528632158954,True,True
mean_relative_layer_update_norm_mean_abs_speed,MatrixSensing,75,35,37,1.0000000000000058,0.9999999999999841,1.0000000000000275,-3.261280134836397e-18,-1.2879603827072551e-17,6.357043557399757e-18,False,False
