problem_family,setting,kappa,lr,seed_count,mean_delta_nrG,delta_nrG_ci95_low,delta_nrG_ci95_high,nrG_muon_higher_seed_count,mean_delta_stA,delta_stA_ci95_low,delta_stA_ci95_high,stA_muon_higher_seed_count,stA_ci95_excludes_zero,mean_delta_loss,delta_loss_ci95_low,delta_loss_ci95_high,mean_delta_recovery,delta_recovery_ci95_low,delta_recovery_ci95_high,centroid_distance_std,nearest_centroid_balanced_accuracy,delta_stA_95ci
MatrixFactorizationInput,MF input kappa=1e+04 lr=3e-02,10000.0,0.03,5,-0.04507293548778334,-0.08717912132592212,-0.002966749649644558,1,0.44676594576617906,0.29216475484724,0.6013671366851181,5,True,2.999114885888632e-05,2.452900027683827e-05,3.545329744093437e-05,0.16741693871537677,0.13428180094582695,0.2005520764849266,0.7517002190297256,0.7363636363636363,"[0.2922, 0.6014]"
MatrixFactorizationInput,MF input kappa=1e+04 lr=3e-03,10000.0,0.003,5,0.06113559803301022,0.015090164046915593,0.10718103201910484,5,0.3432357137112866,0.04642266439012527,0.6400487630324478,5,True,1.8766595833290503e-06,1.5989776650297409e-06,2.15434150162836e-06,0.006263722702456907,0.005394820339190434,0.00713262506572338,1.0615928336401188,0.6818181818181819,"[0.04642, 0.64]"
MatrixFactorizationInput,MF input kappa=1e+05 lr=1e-02,100000.0,0.01,5,0.03470795183268425,0.020440407301944095,0.0489754963634244,5,0.533591441139057,0.42734020814518964,0.6398426741329243,5,True,1.90311421238776e-05,1.699383517645148e-05,2.106844907130372e-05,0.06946523624437902,0.06327046266595414,0.0756600098228039,1.0532822573027871,0.6909090909090909,"[0.4273, 0.6398]"
MatrixFactorizationInput,MF input kappa=1e+05 lr=3e-02,100000.0,0.03,5,-0.07058117624336949,-0.11233194216514103,-0.028830410321597937,0,0.33938222741638235,0.22514060305496383,0.45362385177780085,5,True,3.0398079959844e-05,2.476836060227159e-05,3.602779931741641e-05,0.1716808581682335,0.1377300873763047,0.2056316289601623,0.7261258189097417,0.7636363636363637,"[0.2251, 0.4536]"
MatrixFactorizationInput,MF input kappa=1e+05 lr=3e-03,100000.0,0.003,5,0.02956016115601867,0.004580734914436745,0.0545395873976006,5,0.3116206299173935,0.07340199916474083,0.5498392606700462,5,True,1.9213161630456136e-06,1.6338469361990959e-06,2.2087853898921313e-06,0.006457862869020845,0.005534408019173564,0.007381317718868126,0.8302040813360814,0.6,"[0.0734, 0.5498]"
MatrixSensing,Matrix sensing kappa=1e+01 lr=1e-02,10.0,0.01,5,-1.8090798328099158,-1.9745456815340041,-1.6436139840858275,0,0.0,0.0,0.0,0,False,-0.00011516168019053133,-0.0001587776325051795,-7.154572787588316e-05,0.015622983770462815,0.014148767038160485,0.017097200502765145,1.3564430396633735,0.85,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+01 lr=3e-02,10.0,0.03,5,0.8168727509668171,0.5220577746622495,1.1116877272713848,5,0.0,0.0,0.0,0,False,-0.001790165527431197,-0.0018726332476329175,-0.0017076978072294766,0.005741147848821471,0.0027651892936730246,0.008717106403969917,0.3444227711905482,0.6166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+01 lr=3e-03,10.0,0.003,5,-0.503104677436013,-0.5602036754979245,-0.4460056793741014,0,0.0,0.0,0.0,0,False,-7.643519019651142e-05,-9.783920929911962e-05,-5.503117109390323e-05,0.004492753391503508,0.003933238727550691,0.005052268055456325,1.0086103032935947,0.7,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+02 lr=1e-02,100.0,0.01,5,-2.1086569241185513,-2.206198136430069,-2.0111157118070335,0,0.0,0.0,0.0,0,False,-7.935287946777193e-05,-9.786656853607824e-05,-6.083919039946563e-05,0.019140457693108095,0.01728530259770164,0.02099561278851455,1.3797780096372354,0.85,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,5,1.3192792910475686,1.170322296943169,1.4682362851519681,5,0.0,0.0,0.0,0,False,-0.0020127242980551145,-0.0021055897778600725,-0.0019198588182501566,-0.0018870427554673534,-0.006610142371746857,0.0028360568608121503,0.5307580645716461,0.6166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+02 lr=3e-03,100.0,0.003,5,-0.5715304003683421,-0.6177681227300897,-0.5252926780065945,0,0.0,0.0,0.0,0,False,-5.948510106183027e-05,-6.763362246412463e-05,-5.1336579659535904e-05,0.005559387155282969,0.004880526364169999,0.006238247946395938,1.0719023712788431,0.75,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+03 lr=1e-02,1000.0,0.01,5,-2.1961525912197226,-2.3333974646267777,-2.0589077178126676,0,0.0,0.0,0.0,0,False,-7.319717765358783e-05,-8.656316569802394e-05,-5.983118960915172e-05,0.020458591559068467,0.01840948617706511,0.022507696941071825,1.3954993864017402,0.85,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+03 lr=3e-02,1000.0,0.03,5,1.388897993127693,1.1876760751918456,1.5901199110635404,5,0.0,0.0,0.0,0,False,-0.002036732216185317,-0.0021185343612111236,-0.0019549300711595103,-0.003805961632742353,-0.008406791792625538,0.0007948685271408321,0.5725502983725623,0.6166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+03 lr=3e-03,1000.0,0.003,5,-0.6002212473751045,-0.6619985889377196,-0.5384439058124895,0,0.0,0.0,0.0,0,False,-5.513657855467193e-05,-6.309513724304446e-05,-4.71780198662994e-05,0.006025570268100192,0.005427752643986884,0.006623387892213501,1.1894769125665565,0.7666666666666666,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+04 lr=1e-02,10000.0,0.01,5,-2.178457265891907,-2.307017379171558,-2.0498971526122562,0,0.0,0.0,0.0,0,False,-7.082021897599629e-05,-8.580572818658213e-05,-5.583470976541044e-05,0.020921541624787692,0.018700214804298274,0.02314286844527711,1.3912148736737204,0.8333333333333333,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+04 lr=3e-02,10000.0,0.03,5,1.5842820346486428,1.2288808102505593,1.9396832590467263,5,0.0,0.0,0.0,0,False,-0.0020476518997013023,-0.002120169371564644,-0.0019751344278379607,-0.004349175723910093,-0.009938023456318251,0.0012396720084980658,0.624849349274348,0.6166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+04 lr=3e-03,10000.0,0.003,5,-0.5988384595836521,-0.6494506631951342,-0.54822625597217,0,0.0,0.0,0.0,0,False,-5.353665628019212e-05,-6.202099328554865e-05,-4.505231927483558e-05,0.006145087860576192,0.0054506271561527,0.006839548564999685,1.251071411574466,0.8166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+05 lr=1e-02,100000.0,0.01,5,-2.1814247261267385,-2.3061976822692576,-2.0566517699842195,0,0.0,0.0,0.0,0,False,-7.11655800548839e-05,-8.434657005083356e-05,-5.798459005893425e-05,0.021187804687195038,0.01875046794288619,0.023625141431503887,1.393628052041926,0.8333333333333333,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+05 lr=3e-02,100000.0,0.03,5,1.5238345243435598,1.276691553507806,1.7709774951793136,5,0.0,0.0,0.0,0,False,-0.0020445652025401296,-0.002115603849914334,-0.001973526555165925,-0.0032781170236630226,-0.009064135542478901,0.002507901495152856,0.6150151486611146,0.6166666666666667,"[0, 0]"
MatrixSensing,Matrix sensing kappa=1e+05 lr=3e-03,100000.0,0.003,5,-0.6009513540484615,-0.6414865056715171,-0.5604162024254058,0,0.0,0.0,0.0,0,False,-5.337365653923992e-05,-6.177884354013616e-05,-4.496846953834368e-05,0.006192496503328241,0.005416584399939354,0.006968408606717128,1.2749500721932638,0.8333333333333333,"[0, 0]"
SmallMLPDigits,Small MLP digits lr=1e-02,1.0,0.01,5,0.6827545643066071,0.48059185905285495,0.8849172695603592,5,0.04294588230722467,0.025999869478176448,0.05989189513627288,5,True,0.009666996565312386,0.008515346178448052,0.01081864695217672,-0.11111505681818183,-0.15112082081991893,-0.07110929281644474,1.7246006541650152,0.8181818181818181,"[0.026, 0.05989]"
SmallMLPDigits,Small MLP digits lr=3e-02,1.0,0.03,5,1.136663850799274,0.8861340230660407,1.387193678532507,5,0.06884494442911912,0.05365370420959677,0.08403618464864147,5,True,0.09975395856457789,0.08968130206222832,0.10982661506692745,-0.22178622159090908,-0.2591961037943296,-0.18437633938748854,2.028167997297069,0.9272727272727272,"[0.05365, 0.08404]"
SmallMLPDigits,Small MLP digits lr=3e-03,1.0,0.003,5,0.1075223879652945,-0.012964019093498286,0.22800879502408727,4,-0.0006947139082353328,-0.01220615807348435,0.010816730257013686,2,False,0.0013914514370880113,0.0011868087563887653,0.0015960941177872573,0.061097301136363635,0.0036719976318868724,0.1185226046408404,0.2320254347741413,0.5545454545454545,"[-0.01221, 0.01082]"
