seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,head_train_per_class,tail_train_per_class,imbalance_ratio
10,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1310010190222358,0.1284179006659184,0.0025831183563174,0.0026200203804447,9.6224352924968,9.624256549505096,0.0018212570082951,0.255,0.255,0.0,-8.87548740760059,-8.881346778997484,0.0058593713968946,0.255,0.9803921568627452,0.0,0.0,0.4533878101001257,0.0101380596355364,0.4534298833218254,0.0002185493950628,0.0004819916002486,0.0139898142378643,0.0021586752022498,0.0021586752022498,1.213716810066677,2.252491315494167,1.2029682942410236,1.8637602058562284,100,80,1.25
11,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1999884270134771,0.1960622414772365,0.0039261855362405,0.0039997685402695,9.091171831577244,9.109023643515783,0.017851811938538,0.185,0.185,0.0,-8.424065498828861,-8.452621045787941,0.0285555469590796,0.185,0.945945945945946,0.0,0.0,0.9726879445840116,0.0217499636498439,0.9727229959870493,0.0001125661791572,0.0001157227490473,0.0075522594591761,0.0065577614027847,0.0075522594591761,0.5296121726074617,3.4755085930609684,1.2074292766260872,2.8574829193264435,100,80,1.25
11,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1999884270134771,0.1960485118437167,0.0039399151697603,0.0039997685402695,9.091171831577244,9.1031765321951,0.0120047006178545,0.185,0.185,0.0,-8.424065498828861,-8.443326689984984,0.0192611911561222,0.185,0.972972972972973,0.0,0.0,0.6485506009879171,0.0145020323065732,0.648534712561624,0.0005147854992773,0.0007937670710701,0.0219711478025674,0.0033902217084484,0.0033902217084484,1.179795566261094,3.4755085930609684,1.2074292766260872,2.8574829193264435,100,80,1.25
12,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1240667547807349,0.1216464966277867,0.0024202581529481,0.0024813350956146,9.184056443690745,9.19081358146773,0.0067571377769866,0.185,0.18,0.005,-8.472081150608595,-8.483161312491378,0.0110801618827824,0.185,0.918918918918919,0.005,0.027027027027027,0.6216391737100284,0.0139002744989242,0.6215829471518793,6.946818891356351e-05,0.0001117601266763,0.0047710883401149,0.0042918086214377,0.0047710883401149,0.5200773741185694,2.4327687326460783,1.2135803108525105,1.997101407247314,100,80,1.25
12,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1240667547807349,0.1216231225113328,0.002443632269402,0.0024813350956146,9.184056443690745,9.188381488527725,0.00432504483698,0.185,0.18,0.005,-8.472081150608595,-8.47964482592319,0.0075636753145946,0.185,0.945945945945946,0.005,0.027027027027027,0.502454215405293,0.0112352178122755,0.5024593614344102,0.0002687208090927,0.000534811030937,0.0157910064922426,0.0024366052010261,0.0024366052010261,1.018357464955618,2.4327687326460783,1.2135803108525105,1.997101407247314,100,80,1.25
13,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.3283125210619796,0.3218522303900172,0.0064602906719623,0.0065662504212395,8.79052582769444,8.805970650397759,0.0154448227033192,0.22,0.22,0.0,-8.060590515557934,-8.083179038035176,0.0225885224772426,0.22,0.9545454545454546,0.01,0.0,0.9639605086711934,0.0215548122501406,0.963868170809727,0.000116580079584,0.0001209502327337,0.0072739024572376,0.0063102761211846,0.0072739024572376,0.9027135653580328,2.777155895741063,1.210495430366922,2.2959739370962744,100,80,1.25
13,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.3283125210619796,0.3218285257841488,0.0064839952778307,0.0065662504212395,8.79052582769444,8.803537065330977,0.0130112376365367,0.22,0.22,0.0,-8.060590515557934,-8.079205391262315,0.0186148757043813,0.22,0.9545454545454546,0.005,0.0,0.7134783798609545,0.0159538615784551,0.7133737302834967,0.0005670016047451,0.0007948170512527,0.0224619983455258,0.0034659615915576,0.0034659615915576,1.894496014391413,2.777155895741063,1.210495430366922,2.2959739370962744,100,80,1.25
14,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1186911863482368,0.1163712762992366,0.0023199100490002,0.0023738237269647,9.35927249944914,9.361382763903876,0.0021102644547372,0.145,0.145,0.0,-8.765228366801912,-8.766770665165286,0.0015422983633737,0.145,0.7586206896551724,0.0,0.0,0.5244821949891209,0.0117277784098397,0.5244189950074606,0.0003188316220734,0.0006079711549519,0.0040799150885693,0.0037990028457003,0.0040799150885693,0.5818316497849364,2.286246125508401,1.2147058245912663,1.8740751083017688,100,80,1.25
14,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1186911863482368,0.1163525031603365,0.0023386831879003,0.0023738237269647,9.35927249944914,9.362537880098213,0.0032653806490738,0.145,0.145,0.0,-8.765228366801912,-8.769446668531875,0.0042183017299635,0.145,0.8620689655172413,0.0,0.0,0.4573387502858804,0.0102264053438403,0.457266821864856,0.002013757588432,0.0044039005065345,0.0147063023363626,0.0022692317160561,0.0022692317160561,1.046091375406306,2.286246125508401,1.2147058245912663,1.8740751083017688,100,80,1.25
15,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.2138259103448161,0.2096228987668315,0.0042030115779845,0.0042765182068963,8.651043766597024,8.670892592476408,0.019848825879384,0.165,0.165,0.0,-8.00458119942738,-8.033489385873876,0.0289081864464968,0.165,0.9696969696969696,0.005,0.0,0.8354649775521075,0.0186815648262684,0.8353758303815678,0.0001132374636989,0.0001355527172089,0.0063982962421755,0.0055922811171401,0.0063982962421755,0.6683839017497937,2.4909840575009587,1.2183031889322966,2.043556621486726,100,80,1.25
15,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.2138259103448161,0.209600561894807,0.0042253484500091,0.0042765182068963,8.651043766597024,8.665267639850674,0.0142238732536501,0.165,0.165,0.0,-8.00458119942738,-8.02448001549473,0.0198988160673501,0.165,0.9696969696969696,0.0,0.0,0.6204026306257675,0.013872624554989,0.6203263924242433,0.000458728202363,0.0007394948981137,0.0202382464282048,0.0031228292212303,0.0031228292212303,1.3694371046045994,2.4909840575009587,1.2183031889322966,2.043556621486726,100,80,1.25
16,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.2381400256843756,0.2334427526383605,0.0046972730460151,0.0047628005136875,9.1795729556028,9.185845015867068,0.0062720602642691,0.095,0.095,0.0,-8.621043804043794,-8.629886407349343,0.008842603305549,0.095,0.8947368421052632,0.01,0.0,1.065484352408143,0.0238249544094695,1.06561105201211,0.0002511278857485,0.0002356656167128,0.0088152636072447,0.0075408015179286,0.0088152636072447,0.5402901973088168,2.9200096383615195,1.2077011955268522,2.416332552582218,100,80,1.25
16,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.2381400256843756,0.2334361225795808,0.0047039031047948,0.0047628005136875,9.1795729556028,9.18750774214286,0.007934786540062,0.095,0.095,0.0,-8.621043804043794,-8.631980314647063,0.010936510603269,0.095,0.9473684210526316,0.005,0.0,0.7848061469975601,0.0175487989384623,0.7847767289722527,0.0007615918451056,0.0009704567133419,0.0261842911421795,0.004040323839621,0.004040323839621,1.1788165262847468,2.9200096383615195,1.2077011955268522,2.416332552582218,100,80,1.25
17,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1199594426682245,0.1176084098558745,0.00235103281235,0.0023991888533644,9.16731698036441,9.172392518059498,0.0050755376950881,0.06,0.05,0.0099999999999999,-8.540104561163437,-8.546817050987318,0.0067124898238812,0.06,0.75,0.02,0.1666666666666666,0.7434364541031403,0.0166237444832602,0.7434113730892272,5.406483667947231e-05,7.272532898549459e-05,0.0064040690531993,0.0053634306488657,0.0064040690531993,0.3746350692714497,3.964369473665123,1.2056992463934224,3.2717081137006057,100,80,1.25
17,spectral,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1199594426682245,0.1175958624154987,0.0023635802527257,0.0023991888533644,9.16731698036441,9.170346677191665,0.0030296968272534,0.06,0.055,0.0049999999999999,-8.540104561163437,-8.544185818301646,0.0040812571382087,0.06,0.75,0.02,0.0833333333333333,0.5055716589892567,0.0113049259699732,0.5056008013945062,0.0003441510966657,0.00068067751419,0.0175426192827494,0.0027068849224378,0.0027068849224378,0.8863283523718393,3.964369473665123,1.2056992463934224,3.2717081137006057,100,80,1.25
18,frobenius,"0,1,2,3,4","5,6,7,8,9",500,400,200,80,32,0.1761339571308291,0.172656804272676,0.003477152858153,0.0035226791426165,9.226573609702903,9.222682486312095,-0.0038911233908081,0.05,0.05,0.0,-8.705412612264313,-8.702878899064999,-0.0025337131993143,0.05,0.7,0.0,0.0,0.7332007140781543,0.0163948663783014,0.733148989823711,0.0010601932949241,0.0014460816418489,0.0058706689328427,0.0043981846941244,0.0058706689328427,0.600047317079893,2.852870551696573,1.2145074357759258,2.356728300247384,100,80,1.25
