problem_family,setting,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,nrG_std,stA_std,condition_score_std,mean_grad_rank_fraction_std,distance_to_MatrixFactorizationInput,distance_to_MatrixSensing,distance_to_SmallMLPDigits,inside_global_feature_fraction,nearest_current_family_distance,second_nearest_current_family_distance,bridge_score
MatrixSensing,scan MS d=40 r=5 kappa=1e+00 measurement_mult=0.5,40,5,1.0,10,10,0.5,64,1024,0.06986711103292569,1.0201235452628732,28.448615117997736,64.61943298932864,0.4404699746487773,0.7112153779499434,0.4104674158481293,1.4501172780673517,0.015267749296360473,0.010261685396203223,2.752348564234152,1.90653846455262,3.6037264036876144,1.0,1.90653846455262,2.752348564234152,0.2664997621840332
MatrixSensing,scan MS d=40 r=5 kappa=1e+02 measurement_mult=0.5,40,5,100.0,10,10,0.5,64,1024,0.015884766633131344,1.0774676363488083,28.47807696233663,64.61943298932864,0.44102196749127853,0.7119519240584157,0.7956828329573712,1.4501172780673517,0.02166754112972442,0.019892070823934294,2.756480987290713,1.9063567347346113,3.6056098637983593,1.0,1.9063567347346113,2.756480987290713,0.26620659159018667
MatrixSensing,scan MS d=40 r=2 kappa=1e+02 measurement_mult=0.5,40,2,100.0,10,10,0.5,64,1024,0.017128888289013423,1.0791800273476182,28.58855262116604,30.307270855842457,0.943302602781563,0.714713815529151,0.3904183145145561,0.2910985020242245,0.01092414228816666,0.009760457862863904,2.7565220171056755,2.1826391222121124,3.3520565335312926,1.0,2.1826391222121124,2.7565220171056755,0.2662036840051532
MatrixFactorizationInput,scan MF d=20 r=10 factors=5 kappa=1e+01 input_mult=10,20,10,10.0,5,10,2.0,64,1024,0.0031684832744919562,1.0002437342661634,4.812590583035886,5.8792265337613046,0.960983657133283,0.48125905830358867,0.04746474065838808,0.1708488989503225,0.03812007393403841,0.004746474065838711,1.0642769194317399,3.203970060816526,2.7641479231747654,1.0,1.0642769194317399,2.7641479231747654,0.265664373560691
MatrixFactorizationInput,scan MF d=40 r=10 factors=5 kappa=1e+01 input_mult=2,40,10,10.0,5,2,2.0,64,1024,0.000833719012742169,1.0004114218203493,4.476884832708465,6.052147103803069,0.9395641297397006,0.4476884832708465,0.1462528048752762,0.3587662963779803,0.10063199227542212,0.014625280487527613,0.888665711258715,3.275464447801993,2.7675940986477303,1.0,0.888665711258715,2.7675940986477303,0.26542137337961147
MatrixSensing,scan MS d=40 r=5 kappa=1e+01 measurement_mult=1,40,5,10.0,10,10,1.0,64,1024,0.020645974703749334,1.0607811006801795,28.022829472641106,109.9400449974515,0.2548920291765107,0.7005707368160277,0.3710915257875984,0.530079254832933,0.0031481711592887002,0.009277288144689933,2.7685560566842526,1.6009961312409735,3.7202530382109766,1.0,1.6009961312409735,2.7685560566842526,0.2653536221721604
MatrixFactorizationInput,scan MF d=40 r=10 factors=10 kappa=1e+01 input_mult=2,40,10,10.0,10,2,2.0,64,1024,0.0008326791147477958,0.9997584338879921,4.663401104554105,5.545247812880096,0.9421811728999253,0.4663401104554105,0.3393515217899429,0.19587183894934945,0.03003620226963376,0.03393515217899425,0.9846249994742615,3.23599639203706,2.7694346456451076,1.0,0.9846249994742615,2.7694346456451076,0.26529177290693107
MatrixSensing,scan MS d=40 r=10 kappa=1e+02 measurement_mult=0.5,40,10,100.0,10,10,0.5,64,1024,0.022148914393675573,1.0493878204635048,28.03737029160234,109.9400449974515,0.25503615425173176,0.7009342572900584,0.3969721731865837,0.530079254832933,0.004556163665815064,0.009924304329664593,2.7705341545846793,1.6007933421210838,3.7211752013385753,1.0,1.6007933421210838,2.7705341545846793,0.26521441233573684
SmallMLPDigits,scan MLP hidden=32 samples=512,64,10,1.0,10,10,2.0,32,512,2.3026790369389842,0.91015625,7.16127669112835,1.3979414349935337,5.1320583828735495,0.45441440591073845,0.3017190605680827,0.053966566627993796,0.4142436627583551,0.016310385529296072,2.7956091276826114,4.243319226612834,0.39876021031375475,1.0,0.39876021031375475,2.7956091276826114,0.2634623235323877
MatrixFactorizationInput,scan MF d=40 r=10 factors=10 kappa=1e+00 input_mult=2,40,10,1.0,10,2,2.0,64,1024,0.0031923494244433716,0.9997936184081594,6.505785670166534,5.545247812880096,1.299942003033573,0.6505785670166533,0.3878456083742901,0.19587183894934945,0.008966275180585018,0.03878456083742897,1.9892635722757321,3.0096330523732173,2.8015784494394054,1.0,1.9892635722757321,2.8015784494394054,0.2630486292207027
