problem_family,setting,seed,d,rank,kappa,num_factors,input_columns_multiplier,measurement_multiplier,hidden_dim,num_samples,loss,recovery_error,nrG,stA,condition_score,mean_grad_rank_fraction,min_grad_rank_fraction,max_grad_rank_fraction
MatrixFactorizationInput,scan MF d=20 r=5 factors=2 kappa=1e+02 input_mult=2,2,20,5,100.0,2,2,2.0,64,1024,0.0015218378375458006,1.0003998340497313,1.6522819309540546,5.373198814040947,0.38362241990724644,0.33045638619081097,0.3170318184819256,0.3438809538996963
MatrixFactorizationInput,scan MF d=20 r=5 factors=2 kappa=1e+02 input_mult=10,0,20,5,100.0,2,10,2.0,64,1024,0.0014542818487973004,0.9990941843683832,1.8996882304894276,7.243483929378577,0.44765151443646917,0.3799376460978855,0.37351236755299405,0.386362924642777
MatrixFactorizationInput,scan MF d=20 r=5 factors=2 kappa=1e+02 input_mult=10,1,20,5,100.0,2,10,2.0,64,1024,0.0015404374584567543,1.0002515207417866,1.8268312124904678,7.6765619938336265,0.38819363672109203,0.3653662424980936,0.31691483685753663,0.41381764813865046
MatrixFactorizationInput,scan MF d=20 r=5 factors=2 kappa=1e+02 input_mult=10,2,20,5,100.0,2,10,2.0,64,1024,0.0012995387381984414,1.0003998340497313,1.9778383532509194,7.300195599454605,0.4464241703925182,0.3955676706501839,0.38127214047761515,0.4098632008227526
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+00 input_mult=2,0,20,5,1.0,5,2,2.0,64,1024,0.005975821056693409,1.00013042725287,3.428123245859767,3.6969854285731976,1.090577221588342,0.6856246491719535,0.637909685115996,0.8138649849702174
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+00 input_mult=2,1,20,5,1.0,5,2,2.0,64,1024,0.006914766489651503,1.0002612396630595,3.25060297125032,3.7153275752950767,0.99746720775189,0.650120594250064,0.5957178957210642,0.7539732904595153
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+00 input_mult=2,2,20,5,1.0,5,2,2.0,64,1024,0.00612381717791126,1.0001758205430316,3.2013579774589447,3.501909297306754,1.1063285985163127,0.6402715954917888,0.5937569995356509,0.7668920808219216
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+00 input_mult=10,0,20,5,1.0,5,10,2.0,64,1024,0.006291704274567619,1.00013042725287,3.6796547516827802,4.487555522765812,1.1288060395525445,0.7359309503365561,0.6855982194540886,0.9195103966661353
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+00 input_mult=10,1,20,5,1.0,5,10,2.0,64,1024,0.006489571175754526,1.0002612396630595,3.117638847866864,4.99219084648414,0.8116514129547342,0.623527769573373,0.5473801418099687,0.8467211691500088
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+00 input_mult=10,2,20,5,1.0,5,10,2.0,64,1024,0.006718901611880636,1.0001758205430316,3.2127670513715216,4.752332012805599,0.8501722705532947,0.6425534102743043,0.5548822521911236,0.897490834534767
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+01 input_mult=2,0,20,5,10.0,5,2,2.0,64,1024,0.0021605469144928826,1.0000321388542424,2.347478570742379,3.6969854285731976,0.7562716311449856,0.4694957141484758,0.4566207390325442,0.519569187051751
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+01 input_mult=2,1,20,5,10.0,5,2,2.0,64,1024,0.0025528067741958553,1.0005205502721826,2.555038968968163,3.7153275752950767,0.8008176253335932,0.5110077937936326,0.502256207107892,0.5304755649570685
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+01 input_mult=2,2,20,5,10.0,5,2,2.0,64,1024,0.0019287633800880715,1.0003909206309671,2.732971599375701,3.501909297306754,0.9860839699279168,0.5465943198751402,0.5096934090681504,0.5787192975290388
MatrixFactorizationInput,scan MF d=20 r=5 factors=5 kappa=1e+01 input_mult=10,0,20,5,10.0,5,10,2.0,64,1024,0.001898110489435874,1.0000321388542424,2.5856708980834346,4.487555522765812,0.8023462437616067,0.517134179616687,0.49107618263875735,0.615389418880751
