scan,claim_boundary,source_id,family,setting_id,setting_values,metric_id,metric_role,estimate,ci95_low,ci95_high,boundary_status,interpretation
secondary_outcome,secondary_outcome_tradeoff,digits_checkpoint_sweep,sklearn_digits_mlp,digits_checkpoint_sweep::warmup_steps=40,warmup_steps=40,tail_loss_increase,secondary_tail_loss_tradeoff,0.0017377786170917,0.000946083709465,0.0025294735247183,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_checkpoint_sweep,sklearn_digits_mlp,digits_checkpoint_sweep::warmup_steps=120,warmup_steps=120,tail_loss_increase,secondary_tail_loss_tradeoff,0.0014324972224716,0.0004178464861417,0.0024471479588016,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_checkpoint_sweep,sklearn_digits_mlp,digits_checkpoint_sweep::warmup_steps=80,warmup_steps=80,tail_loss_increase,secondary_tail_loss_tradeoff,0.0013986466365935,0.0002379149447671,0.0025593783284198,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_checkpoint_sweep,sklearn_digits_mlp,digits_checkpoint_sweep::warmup_steps=20,warmup_steps=20,tail_margin_drop,secondary_tail_margin_tradeoff,0.0080724717894796,0.0059186714734218,0.0102262721055373,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_checkpoint_sweep,sklearn_digits_mlp,digits_checkpoint_sweep::warmup_steps=120,warmup_steps=120,tail_margin_drop,secondary_tail_margin_tradeoff,0.0022498597414376,0.0006885762826928,0.0038111432001823,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_checkpoint_sweep,sklearn_digits_mlp,digits_checkpoint_sweep::warmup_steps=80,warmup_steps=80,tail_margin_drop,secondary_tail_margin_tradeoff,0.001892420311793,9.141655772597476e-05,0.0036934240658601,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_checkpoint_sweep,sklearn_digits_mlp,digits_checkpoint_sweep::warmup_steps=160,warmup_steps=160,tail_margin_drop,secondary_tail_margin_tradeoff,0.0016714934575991,0.0003781618532576,0.0029648250619405,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_class_partition_sweep,sklearn_digits_mlp,"digits_class_partition_sweep::partition_name=mixed_c;head_classes=0,2,3,5,9;tail_classes=1,4,6,7,8","partition_name=mixed_c;head_classes=0,2,3,5,9;tail_classes=1,4,6,7,8",tail_loss_increase,secondary_tail_loss_tradeoff,0.0023706712152813,0.0014078012446539,0.0033335411859088,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_class_partition_sweep,sklearn_digits_mlp,"digits_class_partition_sweep::partition_name=low_vs_high;head_classes=0,1,2,3,4;tail_classes=5,6,7,8,9","partition_name=low_vs_high;head_classes=0,1,2,3,4;tail_classes=5,6,7,8,9",tail_loss_increase,secondary_tail_loss_tradeoff,0.0013986466365935,0.0002379149447671,0.0025593783284198,spectral_worse,diff_ci_strictly_above_zero
secondary_outcome,secondary_outcome_tradeoff,digits_class_partition_sweep,sklearn_digits_mlp,"digits_class_partition_sweep::partition_name=mixed_b;head_classes=0,3,4,7,9;tail_classes=1,2,5,6,8","partition_name=mixed_b;head_classes=0,3,4,7,9;tail_classes=1,2,5,6,8",tail_loss_increase,secondary_tail_loss_tradeoff,0.0007635064611542,0.0002565065542828,0.0012705063680256,spectral_worse,diff_ci_strictly_above_zero
