source_id,family,natural_task,source_path,row_index,setting_id,setting_axes,setting_values,metric_id,metric_role,estimate_column,mean_diff_spectral_minus_fro,ci95_low,ci95_high,boundary_status,interpretation,positive_means,claim_boundary
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,2,digits_checkpoint_sweep::warmup_steps=80,warmup_steps,warmup_steps=80,tail_loss_increase,secondary_tail_loss_tradeoff,mean_tail_loss_increase_diff_spectral_minus_fro,0.0013986466365935,0.0002379149447671,0.0025593783284198,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_loss_increase,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,2,digits_checkpoint_sweep::warmup_steps=80,warmup_steps,warmup_steps=80,tail_margin_drop,secondary_tail_margin_tradeoff,mean_tail_margin_drop_diff_spectral_minus_fro,0.001892420311793,9.141655772597476e-05,0.0036934240658601,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_margin_drop,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,2,digits_checkpoint_sweep::warmup_steps=80,warmup_steps,warmup_steps=80,tail_accuracy_drop,secondary_tail_accuracy_tradeoff,mean_tail_accuracy_drop_diff_spectral_minus_fro,0.0,0.0,0.0,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_accuracy_drop,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,3,digits_checkpoint_sweep::warmup_steps=120,warmup_steps,warmup_steps=120,tail_loss_increase,secondary_tail_loss_tradeoff,mean_tail_loss_increase_diff_spectral_minus_fro,0.0014324972224716,0.0004178464861417,0.0024471479588016,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_loss_increase,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,3,digits_checkpoint_sweep::warmup_steps=120,warmup_steps,warmup_steps=120,tail_margin_drop,secondary_tail_margin_tradeoff,mean_tail_margin_drop_diff_spectral_minus_fro,0.0022498597414376,0.0006885762826928,0.0038111432001823,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_margin_drop,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,3,digits_checkpoint_sweep::warmup_steps=120,warmup_steps,warmup_steps=120,tail_accuracy_drop,secondary_tail_accuracy_tradeoff,mean_tail_accuracy_drop_diff_spectral_minus_fro,0.0,0.0,0.0,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_accuracy_drop,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,4,digits_checkpoint_sweep::warmup_steps=160,warmup_steps,warmup_steps=160,tail_loss_increase,secondary_tail_loss_tradeoff,mean_tail_loss_increase_diff_spectral_minus_fro,0.0009910109880138,-1.6360919250240366e-05,0.0019983828952779,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_loss_increase,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,4,digits_checkpoint_sweep::warmup_steps=160,warmup_steps,warmup_steps=160,tail_margin_drop,secondary_tail_margin_tradeoff,mean_tail_margin_drop_diff_spectral_minus_fro,0.0016714934575991,0.0003781618532576,0.0029648250619405,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_margin_drop,secondary_outcome_tradeoff
digits_checkpoint_sweep,sklearn_digits_mlp,digits long-tail checkpoint sweep,results/e11_long_tail_checkpoint_sweep/summary.csv,4,digits_checkpoint_sweep::warmup_steps=160,warmup_steps,warmup_steps=160,tail_accuracy_drop,secondary_tail_accuracy_tradeoff,mean_tail_accuracy_drop_diff_spectral_minus_fro,0.0,0.0,0.0,mixed_or_uncertain,diff_ci_crosses_or_touches_zero,spectral_higher_accuracy_drop,secondary_outcome_tradeoff
digits_class_partition_sweep,sklearn_digits_mlp,digits long-tail class partitions,results/e11_long_tail_class_partition_sweep/summary.csv,0,"digits_class_partition_sweep::partition_name=low_vs_high;head_classes=0,1,2,3,4;tail_classes=5,6,7,8,9","partition_name,head_classes,tail_classes","partition_name=low_vs_high;head_classes=0,1,2,3,4;tail_classes=5,6,7,8,9",tail_loss_increase,secondary_tail_loss_tradeoff,mean_tail_loss_increase_diff_spectral_minus_fro,0.0013986466365935,0.0002379149447671,0.0025593783284198,spectral_worse,diff_ci_strictly_above_zero,spectral_higher_loss_increase,secondary_outcome_tradeoff
