problem_family,setting,kappa,lr,algo,runs,median_final_loss,median_recovery,median_nrG,median_stA,median_condition_score,median_relative_update_fro_norm,median_mean_relative_layer_update_norm,median_delta_loss
SmallMLPDigits,MLP width sweep hidden=16 samples=1024 lr=1e-02,1.0,0.01,Muon,5,2.2887905990655115,0.30859375,6.935439994459409,1.462271141837649,4.814902141058281,0.12438377880427394,0.13494801000395001,0.001619199075122646
SmallMLPDigits,MLP width sweep hidden=16 samples=1024 lr=3e-02,1.0,0.03,Adam,5,2.1842304491445512,0.611328125,4.4565097187842255,1.3829057720393978,3.2153712921045585,0.2291928304281992,0.2250374832401434,0.01203781941531723
SmallMLPDigits,MLP width sweep hidden=16 samples=1024 lr=3e-02,1.0,0.03,Muon,5,2.2092755417227483,0.255859375,7.061640369580209,1.454016100742487,4.8396152476561065,0.22919283042819927,0.22899373304055587,0.011224904001113645
SmallMLPDigits,MLP width sweep hidden=16 samples=1024 lr=3e-03,1.0,0.003,Adam,5,2.3000844827394014,0.634765625,5.815828640653773,1.3744265495419399,4.271232987461309,0.04281673953951997,0.04424119329340305,0.0002703709715068392
SmallMLPDigits,MLP width sweep hidden=16 samples=1024 lr=3e-03,1.0,0.003,Muon,5,2.3004520029198203,0.533203125,6.255662608038737,1.4631591678656513,4.38803871082953,0.04281673953951997,0.05155327796210672,0.0002820335443183275
SmallMLPDigits,MLP width sweep hidden=16 samples=128 lr=1e-02,1.0,0.01,Adam,5,2.2863352241925208,0.7890625,4.122430497044668,1.295861109153953,3.193783043133923,0.12883998136105082,0.13025009130807963,0.00192021610345261
SmallMLPDigits,MLP width sweep hidden=16 samples=128 lr=1e-02,1.0,0.01,Muon,5,2.2912279329179346,0.40625,5.264634284477527,1.4087556193385675,3.7298632718580107,0.1288399813610508,0.14138412355256597,0.0017532314359876011
SmallMLPDigits,MLP width sweep hidden=16 samples=128 lr=3e-02,1.0,0.03,Adam,5,2.175569443851992,0.75,3.8405840089549175,1.2763992234643347,2.8757113685319298,0.2467674371559742,0.24303716404904052,0.015421459259121306
SmallMLPDigits,MLP width sweep hidden=16 samples=128 lr=3e-02,1.0,0.03,Muon,5,2.2256343032036927,0.3828125,5.539294706432601,1.4187609868796351,3.8588667086197885,0.24676743715597427,0.24737000549620394,0.0121080447471964
SmallMLPDigits,MLP width sweep hidden=16 samples=128 lr=3e-03,1.0,0.003,Adam,5,2.3002725948211724,0.7421875,4.744922603684903,1.3332896195145088,3.626881970085721,0.04295307663089115,0.04513992998019922,0.0003052249857455891
