problem_family,base_setting,seed,source_algo,checkpoint_step,remaining_steps,continuation_variant,continuation_algo,loaded_source_optimizer_state,loss_before,loss_after,total_decrease,recovery_before,recovery_after
MatrixFactorizationInput,MF input kappa=1e+05,3,Muon,1,9,own_fresh,Muon,False,0.00014660488583546972,0.00013568139302427907,1.092349281119065e-05,0.9985731412954982,0.9632349633989701
MatrixFactorizationInput,MF input kappa=1e+05,3,Muon,1,9,switched_fresh,Adam,False,0.00014660488583546972,1.0421539393183509e-05,0.00013618334644228622,0.9985731412954982,0.26511356060795316
MatrixFactorizationInput,MF input kappa=1e+05,3,Muon,3,7,own_preserved,Muon,True,0.00014562727850744175,0.00013568139302427907,9.945885483162678e-06,0.99541014371687,0.9632349633989701
MatrixFactorizationInput,MF input kappa=1e+05,3,Muon,3,7,own_fresh,Muon,False,0.00014562727850744175,0.00013568139302427907,9.945885483162678e-06,0.99541014371687,0.9632349633989701
MatrixFactorizationInput,MF input kappa=1e+05,3,Muon,3,7,switched_fresh,Adam,False,0.00014562727850744175,6.244082097903496e-06,0.00013938319640953827,0.99541014371687,0.22336769889989558
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,0,10,own_preserved,Adam,True,0.0001337588217194671,8.750289615871125e-06,0.00012500853210359596,1.0013801750432936,0.26369444178165397
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,0,10,own_fresh,Adam,False,0.0001337588217194671,8.750289615871125e-06,0.00012500853210359596,1.0013801750432936,0.26369444178165397
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,0,10,switched_fresh,Muon,False,0.0001337588217194671,0.00012555874714355436,8.200074575912729e-06,1.0013801750432936,0.973002364532898
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,1,9,own_preserved,Adam,True,0.00013185546754330006,8.750289615871125e-06,0.00012310517792742893,0.9946888774217384,0.26369444178165397
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,1,9,own_fresh,Adam,False,0.00013185546754330006,1.1975902547288508e-05,0.00011987956499601155,0.9946888774217384,0.2894667713449006
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,1,9,switched_fresh,Muon,False,0.00013185546754330006,0.00011437319864952519,1.7482268893774874e-05,0.9946888774217384,0.9343072690218815
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,3,7,own_preserved,Adam,True,0.0001066296470051134,8.750289615871125e-06,9.787935738924227e-05,0.9076693033875374,0.26369444178165397
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,3,7,own_fresh,Adam,False,0.0001066296470051134,1.0609545409750196e-05,9.60201015953632e-05,0.9076693033875374,0.28191605145448984
MatrixFactorizationInput,MF input kappa=1e+05,4,Adam,3,7,switched_fresh,Muon,False,0.0001066296470051134,7.049332058893748e-05,3.6136326416175916e-05,0.9076693033875374,0.7596344574376404
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,0,10,own_preserved,Muon,True,0.0001337588217194671,0.00012555874714355436,8.200074575912729e-06,1.0013801750432936,0.973002364532898
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,0,10,own_fresh,Muon,False,0.0001337588217194671,0.00012555874714355436,8.200074575912729e-06,1.0013801750432936,0.973002364532898
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,0,10,switched_fresh,Adam,False,0.0001337588217194671,8.750289615871125e-06,0.00012500853210359596,1.0013801750432936,0.26369444178165397
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,1,9,own_preserved,Muon,True,0.00013339971643392933,0.00012555874714355436,7.840969290374966e-06,1.0001003108607318,0.973002364532898
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,1,9,own_fresh,Muon,False,0.00013339971643392933,0.00012555874714355436,7.840969290374966e-06,1.0001003108607318,0.973002364532898
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,1,9,switched_fresh,Adam,False,0.00013339971643392933,7.190930222567305e-06,0.00012620878621136201,1.0001003108607318,0.2508013270487013
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,3,7,own_preserved,Muon,True,0.00013268513551050793,0.00012555874714355436,7.126388366953572e-06,0.9975500981982176,0.973002364532898
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,3,7,own_fresh,Muon,False,0.00013268513551050793,0.00012555874714355436,7.126388366953572e-06,0.9975500981982176,0.973002364532898
MatrixFactorizationInput,MF input kappa=1e+05,4,Muon,3,7,switched_fresh,Adam,False,0.00013268513551050793,7.280802574321202e-06,0.00012540433293618672,0.9975500981982176,0.24689581257402957
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,0,5,own_preserved,Adam,True,0.012595069754438687,0.0023680611365872245,0.010227008617851464,1.1531162994796222,1.1692985290849374
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,0,5,own_fresh,Adam,False,0.012595069754438687,0.0023680611365872245,0.010227008617851464,1.1531162994796222,1.1692985290849374
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,0,5,switched_fresh,Muon,False,0.012595069754438687,0.0018232412383812028,0.010771828516057484,1.1531162994796222,1.1308237562244943
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,1,4,own_preserved,Adam,True,0.002669788132274374,0.0023680611365872245,0.0003017269956871495,1.1239113275942518,1.1692985290849374
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,1,4,own_fresh,Adam,False,0.002669788132274374,0.0033447999685308873,-0.0006750118362565134,1.1239113275942518,1.1724424614845164
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,1,4,switched_fresh,Muon,False,0.002669788132274374,4.58669480232032e-05,0.0026239211842511707,1.1239113275942518,1.1078475050465508
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,3,2,own_preserved,Adam,True,0.005210448609248181,0.0023680611365872245,0.0028423874726609564,1.202683552834893,1.1692985290849374
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,3,2,own_fresh,Adam,False,0.005210448609248181,0.004308859149440587,0.0009015894598075943,1.202683552834893,1.1805981375769397
MatrixSensing,Matrix sensing kappa=1e+02,0,Adam,3,2,switched_fresh,Muon,False,0.005210448609248181,0.0019315137750977424,0.0032789348341504387,1.202683552834893,1.165451842922492
