group_type,problem_family,base_setting,source_algo,comparison,metric,n_pairs,numerator_better_pairs,mean_signed_ratio,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_ratio,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta,delta_ci95_low,delta_ci95_high
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Muon,own_fresh_over_own_preserved,loss_after,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,MatrixFactorizationInput,MF input kappa=1e+05,Muon,own_fresh_over_own_preserved,recovery_after,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Adam,switched_fresh_over_own_fresh,total_decrease,15,15,3.106161781183893,2.0021104951133735,4.210213067254412,2.517685436172818,1.7239261080095538,3.6769209109753698,15,0.002123119945298306,0.0015354389778845243,0.0027108009127120875
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Adam,switched_fresh_over_own_fresh,loss_after,15,15,0.3931333330670476,0.23947736744408743,0.5467892986900078,0.16066616381313828,0.05753760247825452,0.44863906528232655,15,-0.002123119945298306,-0.0027108009127120875,-0.0015354389778845243
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Adam,switched_fresh_over_own_fresh,recovery_after,15,15,0.96684373343883,0.9569845665108581,0.976702900366802,0.9666609464366419,0.955951251562919,0.9774906239602129,15,-0.03896712542265995,-0.050581064877824496,-0.0273531859674954
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Adam,own_fresh_over_own_preserved,total_decrease,15,0,-0.2467342637135589,-0.9586017321525799,0.46513320472546216,0.5814071560516263,0.38516156262250756,0.8776428229401065,10,-0.0009338552688751763,-0.0013302355610470612,-0.0005374749767032914
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Adam,own_fresh_over_own_preserved,loss_after,15,0,1.3926578972623447,1.2240749775569901,1.5612408169676992,1.3542158114051104,1.1806110460022743,1.553348556300115,15,0.0009338552688751763,0.0005374749767032914,0.0013302355610470612
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Adam,own_fresh_over_own_preserved,recovery_after,15,4,1.001315677545035,0.9989457562640566,1.0036855988260132,1.0013054755654969,0.9987190506613784,1.003898598643421,15,0.0014975579282266486,-0.001259859605053258,0.0042549754615065554
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Muon,switched_fresh_over_own_fresh,total_decrease,15,0,0.7457379766423166,0.6274613849300971,0.864014568354536,0.7041379670889557,0.5736900483778629,0.8642476509712789,15,-0.0010987034672182473,-0.0013128433495570794,-0.0008845635848794152
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Muon,switched_fresh_over_own_fresh,loss_after,15,0,1.6362734008952236,1.5065453057942741,1.766001495996173,1.6181586683862677,1.486326899185308,1.7616834341818401,15,0.0010987034672182475,0.0008845635848794155,0.0013128433495570796
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Muon,switched_fresh_over_own_fresh,recovery_after,15,0,1.0440014222818008,1.039996826841383,1.0480060177222186,1.043973389273425,1.0395954626327129,1.0483697521639672,15,0.04985942154875045,0.045170869563986395,0.0545479735335145
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Muon,own_fresh_over_own_preserved,total_decrease,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Muon,own_fresh_over_own_preserved,loss_after,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
setting_source_all_checkpoints,MatrixSensing,Matrix sensing kappa=1e+02,Muon,own_fresh_over_own_preserved,recovery_after,15,0,1.0,1.0,1.0,1.0,1.0,1.0,15,0.0,0.0,0.0
