run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,recovery_error,diagnostic_A_definition,sigma_update,update_rank_ceiling,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,layer,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,filters,kernel_size,stride
10,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Adam,2,0,512,64,2.302593098266341,0.900390625,full_patch_and_classifier_activation,"[[0.03659972928500843,0.013419655371575703,0.011657010385399914,0.009223350456188583,0.00673897193887476,0.005872767257009848,0.004243417260948008,0.003211496399971261,8.88181437520159e-05,2.1127338872439983e-06,1.3355907056302446e-06,3.169092284369242e-07,2.27460067446232e-07,1.3986370569354865e-07,1.2793013205734697e-07,8.963083484085334e-08]]",16.0,4.484951598041045,1.3801861068223005,0.2803094748775653,0.08626163167639378,0.3077371241698893,8.349737356010855e-05,0.7237429840336816,0.0019418966655915793,1,2.9997482170096363,1.827194742482911,1.6417233189568965,4.845268172541172e-11,7.954589745460508e-11,16,5,2
10,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Adam,2,0,512,64,2.302593098266341,0.900390625,full_patch_and_classifier_activation,"[[0.02552899910552627,0.00785903139856619,0.005546806995322895,0.002631343579672253,6.470060300245033e-06,4.6525831753537433e-07,2.3835792968670687e-07,9.611642657789339e-08,4.200900232449866e-08,1.7136515039613733e-08]]",10.0,2.300839556906111,1.1526022812831487,0.23008395569061107,0.11526022812831486,0.5009485680231559,5.329503278696024e-05,0.6275358405417591,0.0019445235543505978,2,1.3970781241329358,1.0103818915180027,1.3827228455509617,4.828902129602197e-05,6.67703329353065e-05,16,5,2
11,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Muon,2,0,512,64,2.302593098266341,0.900390625,full_patch_and_classifier_activation,"[[0.010000000000000007,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997]]",16.0,16.000000000000004,15.999999999999977,1.0000000000000002,0.9999999999999986,0.9999999999999983,4.647122825733496e-05,0.4329945306387857,0.0011617807064333739,1,2.9997482170096363,1.827194742482911,1.6417233189568965,4.845268172541172e-11,7.954589745460508e-11,16,5,2
11,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Muon,2,0,512,64,2.302593098266341,0.900390625,full_patch_and_classifier_activation,"[[0.010000000000000005,0.010000000000000004,0.010000000000000002,0.01,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999995,0.009999999999999995,0.009999999999999993]]",10.0,10.0,9.999999999999988,1.0,0.9999999999999988,0.9999999999999988,3.662562290396011e-05,0.3737750826543868,0.0011582038909894441,2,1.3970781241329358,1.0103818915180027,1.3827228455509617,4.828902129602197e-05,6.67703329353065e-05,16,5,2
10,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Adam,2,1,512,64,2.302486189562795,0.888671875,full_patch_and_classifier_activation,"[[0.040087569720769364,0.009853567977169369,0.007926852017935743,0.005367939661865726,0.0048064177470196895,0.004004964227550753,0.0022843697382094125,0.0018164154730472015,0.0009254310250317183,0.0007923381272477168,0.00041133901677770795,0.00025274501945760726,0.0001789844655349294,0.0001383116434732763,8.104132225542655e-05,5.5075115271818326e-05]]",16.0,3.3808775564113054,1.1482126737372162,0.2113048472757066,0.07176329210857602,0.3396197154670126,0.00011131127629461591,0.7773316191755393,0.002591303406892078,1,1.9443428276949084,1.827194742482911,1.064113628661611,7.479252325885021e-11,7.958774332173304e-11,16,5,2
10,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Adam,2,1,512,64,2.302486189562795,0.888671875,full_patch_and_classifier_activation,"[[0.025041980864360734,0.006444108815912413,0.0051147660166922316,0.0041098366555742324,0.0023171550226010556,0.0011869361373621878,0.000713640018912773,0.0004454179609493876,0.00012745826940719937,0.00011006509262374649]]",10.0,2.892681955036011,1.146853887465714,0.2892681955036011,0.11468538874657139,0.39646732869097484,6.33967091399626e-05,0.5394051221656357,0.0023639810442632847,2,1.2493597347190526,1.0026992417077378,1.245996489028173,3.8951034626247325e-05,4.853285238831895e-05,16,5,2
11,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Muon,2,1,512,64,2.3025289648898397,0.888671875,full_patch_and_classifier_activation,"[[0.010000000000000009,0.010000000000000007,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999997]]",16.0,16.0,15.999999999999979,1.0,0.9999999999999987,0.9999999999999987,4.57012965142638e-05,0.38816440009038716,0.0011425324128565948,1,2.4107456239604828,1.827194742482911,1.319369833937134,5.830958830888826e-11,7.693191184404055e-11,16,5,2
11,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Muon,2,1,512,64,2.3025289648898397,0.888671875,full_patch_and_classifier_activation,"[[0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998]]",10.0,10.0,9.999999999999993,1.0,0.9999999999999993,0.9999999999999993,3.781495633960033e-05,0.39586826585342605,0.0011958139165296076,2,1.5671168390979864,1.0095460124611892,1.5522985775333664,3.806358267491482e-05,5.908604524209397e-05,16,5,2
10,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Adam,2,2,512,64,2.3026284338184877,0.888671875,full_patch_and_classifier_activation,"[[0.038332992554807654,0.014137031718636183,0.007952617854514826,0.006416239511803223,0.005017597625643751,0.004264262770612945,0.002193037902442479,0.001978246669756356,0.0014027604452854895,0.0012944649237816583,0.0008424788871356385,0.0005202839762740345,0.0004636198590276421,0.00023925383508864391,0.00016210213273951801,9.337194422938444e-05]]",16.0,3.975450108970342,1.2458673906384257,0.24846563181064638,0.0778667119149016,0.31339027191592916,5.8998091247555525e-05,0.39296363005589013,0.0013788890635438372,1,1.541373097557735,1.827194742482911,0.8435735183121298,8.286826775040135e-11,6.990547618263767e-11,16,5,2
10,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Adam,2,2,512,64,2.3026284338184877,0.888671875,full_patch_and_classifier_activation,"[[0.026254907862226406,0.009640210598144449,0.005385169519532778,0.003996448057476059,0.003203873812900224,0.0022344793323781174,0.0010468560473821766,0.0004949544275333498,0.0003440282412261608,0.0002937004611986143]]",10.0,3.3148655948270753,1.2244363639916316,0.33148655948270755,0.12244363639916316,0.3693773786491956,0.00010767561856328921,0.4719464862600756,0.0037062846187618063,2,1.0993390415544002,1.0005005436059993,1.0987890497212203,3.738637688149428e-05,4.10797415261365e-05,16,5,2
11,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Muon,2,2,512,64,2.3025860986880433,0.888671875,full_patch_and_classifier_activation,"[[0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998]]",16.0,15.999999999999996,15.999999999999991,0.9999999999999998,0.9999999999999994,0.9999999999999997,4.757031305927403e-05,0.4176059959297272,0.0011892578264818506,1,2.79031628538335,1.827194742482911,1.527103937258317,5.458243492549502e-11,8.335305127986932e-11,16,5,2
11,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Muon,2,2,512,64,2.3025860986880433,0.888671875,full_patch_and_classifier_activation,"[[0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999995]]",10.0,9.999999999999998,9.999999999999996,0.9999999999999998,0.9999999999999997,0.9999999999999998,4.681868719982093e-05,0.378419177784337,0.0014805368861040497,2,1.432010741149736,1.0065094030891484,1.4227494912165268,3.811938378912183e-05,5.423433389146062e-05,16,5,2
10,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Adam,2,3,512,64,2.302089402371895,0.888671875,full_patch_and_classifier_activation,"[[0.04396312088066108,0.010683232719253744,0.007004962400527815,0.005407044125087459,0.004463286403970637,0.0034647411243541684,0.0025755942906050076,0.0012287153971792448,0.0006141497479935383,0.0005689747582510334,0.0003856625686086737,0.00029036352705042395,0.000234631278282046,0.00014858756417529637,7.465848022224207e-05,5.9860734629666404e-05]]",16.0,3.041236862141209,1.1208254514129825,0.19007730388382557,0.0700515907133114,0.3685426365060746,0.00021341785003826204,0.7257908470941012,0.004585357840640245,1,1.2943591881712022,1.827194742482911,0.7083860072913426,2.6863204213665857e-10,1.9029517975970725e-10,16,5,2
10,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Adam,2,3,512,64,2.302089402371895,0.888671875,full_patch_and_classifier_activation,"[[0.023411370247851684,0.0075023525483268756,0.004251711265869084,0.003429346710915296,0.0030651174728236787,0.0016843950539479654,0.0007489375205701213,0.0005201248059618043,0.0003126184259608598,7.738397858530934e-05]]",10.0,3.12844854719258,1.181155722724628,0.312844854719258,0.1181155722724628,0.3775531880761084,0.00014273265812912657,0.47708398946513003,0.005609742688893381,2,1.0517985017796345,1.0002473679899702,1.0515383848429993,4.541150879501542e-05,4.775194461159418e-05,16,5,2
11,MNISTPatchClassifier,MNIST patch filters=16 kernel=5 stride=2 lr=1e-02,1.0,0.01,Muon,2,3,512,64,2.302497927311731,0.888671875,full_patch_and_classifier_activation,"[[0.010000000000000009,0.010000000000000005,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999997]]",16.0,16.0,15.999999999999979,1.0,0.9999999999999987,0.9999999999999987,6.51738951266605e-05,0.37371874737763683,0.0016293473781665124,1,2.2346512342641587,1.827194742482911,1.222995656843654,1.2792985971297134e-10,1.5645766280958188e-10,16,5,2
