group_type,problem_family,setting,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,numerator_higher_rate
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/FreshAdamSign,mean_update_grad_cosine,5,0.46315342748502564,0.44535245731807294,0.48166591172061723,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/FreshAdamSign,mean_nrUpdate,5,2.140454284255005,2.042168551516466,2.2434703245153096,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/FreshAdamSign,mean_stUpdate,5,3.9379463453019063,3.8396493507683878,4.038759793358033,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/GD,final_loss,5,1.0094653479231905,1.0090074490433576,1.0099234546026628,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/GD,total_decrease,5,0.22930541047588815,0.21455934259546278,0.24506493465844292,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/GD,mean_delta_loss,5,0.2293054104758882,0.21455934259546286,0.24506493465844292,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/GD,mean_update_grad_inner,5,0.232131205916939,0.2172862387361545,0.2479903792981731,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/GD,mean_update_grad_cosine,5,0.25448483114711673,0.23803421783888015,0.2720723510760657,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/GD,mean_nrUpdate,5,3.5510901148027845,3.1777514180405513,3.9682905754867743,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+02,PolarMuon/GD,mean_stUpdate,5,4.84685850096158,4.699540543258222,4.998794480461351,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,FreshAdamSign/GD,final_loss,5,1.006140573662644,1.0058782041389955,1.0064030116217817,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,FreshAdamSign/GD,total_decrease,5,0.5337834701232894,0.519070796141003,0.5489131638595637,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,FreshAdamSign/GD,mean_delta_loss,5,0.5337834701232894,0.519070796141003,0.5489131638595638,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,FreshAdamSign/GD,mean_update_grad_inner,5,0.5280204201843466,0.5143812708100591,0.5420212203538918,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,FreshAdamSign/GD,mean_update_grad_cosine,5,0.5350245417975383,0.5044636773721093,0.5674368109450966,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,FreshAdamSign/GD,mean_nrUpdate,5,1.4528248696133441,1.3733573884057966,1.5368906299161842,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,FreshAdamSign/GD,mean_stUpdate,5,1.0546306572992203,1.0307589125437724,1.0790552570343677,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/FreshAdamSign,final_loss,5,1.0045982419487192,1.004232350067513,1.0049642671425685,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/FreshAdamSign,total_decrease,5,0.34246195703880644,0.3205231108289547,0.36590245151288076,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/FreshAdamSign,mean_delta_loss,5,0.34246195703880633,0.3205231108289546,0.3659024515128807,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/FreshAdamSign,mean_update_grad_inner,5,0.3511103882994508,0.331007969188934,0.3724336458540844,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/FreshAdamSign,mean_update_grad_cosine,5,0.38585714199639126,0.36897276120095696,0.4035141606253538,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/FreshAdamSign,mean_nrUpdate,5,3.1158414249601365,2.9281201934746295,3.315597429071769,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/FreshAdamSign,mean_stUpdate,5,4.735118327018425,4.625717568253959,4.847106473759273,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/GD,final_loss,5,1.0107670514547682,1.0102204579611924,1.011313940690174,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/GD,total_decrease,5,0.18280053181338687,0.17030619025396726,0.1962115081162098,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/GD,mean_delta_loss,5,0.18280053181338687,0.17030619025396726,0.1962115081162098,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/GD,mean_update_grad_inner,5,0.18539345476096514,0.17249993467405458,0.1992507019388203,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/GD,mean_update_grad_cosine,5,0.2064430405959269,0.19091761408155558,0.22323099529352902,False,True,0.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/GD,mean_nrUpdate,5,4.526771911953567,4.40596436987708,4.650891887131498,True,False,1.0
setting,MatrixFactorizationInput,MF input kappa=1e+05,PolarMuon/GD,mean_stUpdate,5,4.993800953613024,4.990596251309323,4.99700771381048,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,FreshAdamSign/GD,final_loss,5,1.0282191878265057,1.0269186060334117,1.0295214167929887,True,False,1.0
setting,MatrixSensing,Matrix sensing kappa=1e+02,FreshAdamSign/GD,total_decrease,5,0.8029045337403674,0.7985985077392783,0.8072337777411677,False,True,0.0
