run_id,problem_family,setting,kappa,seed,candidate,steps,target_relative_update_norm,initial_loss,final_loss,total_decrease,final_recovery_error,mean_delta_loss,mean_update_grad_inner,mean_update_grad_cosine,mean_nrUpdate,mean_stUpdate
15,MatrixSensing,Matrix sensing kappa=1e+02,100.0,0,GD,5,0.01,0.012595069754438687,0.011010359445560723,0.0015847103088779645,1.1420835089249821,0.0003169420617755929,0.0003193413307320299,1.0000000000000004,41.32792675940824,7.241246293014491
16,MatrixSensing,Matrix sensing kappa=1e+02,100.0,0,FreshAdamSign,5,0.01,0.012595069754438687,0.011321731713286412,0.0012733380411522749,1.1447936940538577,0.00025466760823045497,0.00025630791483341675,0.7969751927024241,42.941064005080946,10.298518335274744
17,MatrixSensing,Matrix sensing kappa=1e+02,100.0,0,PolarMuon,5,0.01,0.012595069754438687,0.011273761480416419,0.0013213082740222686,1.1475499986619002,0.0002642616548044537,0.0002660390985755585,0.8288897245525997,60.0,59.999999999999815
18,MatrixSensing,Matrix sensing kappa=1e+02,100.0,1,GD,5,0.01,0.012757591945778827,0.011211640124213385,0.0015459518215654427,1.163088229800767,0.0003091903643130885,0.00031144550394198036,1.0,40.802625509999025,7.216256679710574
19,MatrixSensing,Matrix sensing kappa=1e+02,100.0,1,FreshAdamSign,5,0.01,0.012757591945778827,0.011514284941145843,0.001243307004632984,1.1658012702047822,0.0002486614009265968,0.00025021787408589184,0.7981375236969238,42.60595370840092,11.630859943319281
20,MatrixSensing,Matrix sensing kappa=1e+02,100.0,1,PolarMuon,5,0.01,0.012757591945778827,0.011475756528918532,0.0012818354168602948,1.1686239926870154,0.00025636708337205895,0.0002580002550644098,0.8235874326856985,60.0,59.999999999999794
21,MatrixSensing,Matrix sensing kappa=1e+02,100.0,2,GD,5,0.01,0.012096481701537817,0.010536884398212723,0.0015595973033250936,1.1347325871057772,0.00031191946066501874,0.0003143193501215755,0.9999999999999997,40.43942302027551,8.063478863142835
22,MatrixSensing,Matrix sensing kappa=1e+02,100.0,2,FreshAdamSign,5,0.01,0.012096481701537817,0.010851734552283413,0.0012447471492544031,1.1372822638551034,0.00024894942985088063,0.0002505790902464852,0.7917010679222698,42.39267123791211,12.041301186006502
23,MatrixSensing,Matrix sensing kappa=1e+02,100.0,2,PolarMuon,5,0.01,0.012096481701537817,0.010809314284859355,0.0012871674166784614,1.1397912086133317,0.00025743348333569227,0.0002591522313235972,0.81984336437917,59.99999999999998,59.999999999999815
24,MatrixSensing,Matrix sensing kappa=1e+02,100.0,3,GD,5,0.01,0.012269097258227316,0.010716046289200618,0.0015530509690266977,1.1234146631621726,0.0003106101938053395,0.00031296748968230733,0.9999999999999997,41.27187835445123,7.650214173494729
25,MatrixSensing,Matrix sensing kappa=1e+02,100.0,3,FreshAdamSign,5,0.01,0.012269097258227316,0.01101510326571438,0.0012539939925129365,1.1253203539783287,0.0002507987985025873,0.00025241512395386266,0.8013896112598419,42.477200652404655,10.213446964313412
26,MatrixSensing,Matrix sensing kappa=1e+02,100.0,3,PolarMuon,5,0.01,0.012269097258227316,0.010974940899384207,0.0012941563588431092,1.1285691521578738,0.0002588312717686218,0.0002605785767766933,0.8282478541362366,60.0,59.999999999999794
27,MatrixSensing,Matrix sensing kappa=1e+02,100.0,4,GD,5,0.01,0.012768712634677852,0.011190236164876903,0.0015784764698009487,1.1453087875681842,0.00031569529396018975,0.00031804026812288675,0.9999999999999997,41.100150967230206,7.2707385806329485
28,MatrixSensing,Matrix sensing kappa=1e+02,100.0,4,FreshAdamSign,5,0.01,0.012768712634677852,0.011503967562632925,0.0012647450720449267,1.1481223678202728,0.0002529490144089853,0.0002545353261286663,0.7947911355381408,42.51106591246579,11.344791118417653
29,MatrixSensing,Matrix sensing kappa=1e+02,100.0,4,PolarMuon,5,0.01,0.012768712634677852,0.011455605582305108,0.0013131070523727442,1.1508265251762555,0.0002626214104745488,0.00026433571770877174,0.8264846728574818,59.99999999999998,59.999999999999794
30,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,0,GD,10,0.001,0.00013841039608334963,0.00013652276907587563,1.8876270074739943e-06,0.9933369963096391,1.8876270074739943e-07,1.8460704153838698e-07,1.0000000000000004,1.0798631966834684,1.000712995742883
31,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,0,FreshAdamSign,10,0.001,0.00013841039608334963,0.00013736990324997512,1.0404928333745099e-06,0.9959740936970339,1.0404928333745099e-07,1.0095370300876434e-07,0.5638435226825932,1.4803613357754044,1.0328450852637003
32,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,0,PolarMuon,10,0.001,0.00013841039608334963,0.00013803998754212412,3.7040854122550584e-07,0.9982673880514324,3.704085412255059e-08,3.679648167653319e-08,0.22900870381466665,5.0,4.99999999999962
33,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,1,GD,10,0.001,0.00014457183933332286,0.00014261399991274845,1.9578394205744133e-06,0.9931687787954602,1.9578394205744133e-07,1.9243431098144675e-07,1.0,1.1206206167631585,1.001878497906183
34,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,1,FreshAdamSign,10,0.001,0.00014457183933332286,0.00014352940427113156,1.0424350621913048e-06,0.9961347783574005,1.0424350621913048e-07,1.0098257125299626e-07,0.5144087016146497,1.6718408205175403,1.0789322123561598
35,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,1,PolarMuon,10,0.001,0.00014457183933332286,0.0001442202273617071,3.5161197161576803e-07,0.9984626068765556,3.51611971615768e-08,3.4964206184425755e-08,0.19995620103955508,5.0,4.999999999999601
36,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,2,GD,10,0.001,0.00013650870631623234,0.00013484813612631063,1.6605701899217074e-06,0.9938723203720347,1.6605701899217075e-07,1.625993435236786e-07,0.9999999999999998,1.0774058267902207,1.0007050075285788
37,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,2,FreshAdamSign,10,0.001,0.00013650870631623234,0.00013564277404623724,8.659322699951016e-07,0.9965061791946896,8.659322699951017e-08,8.407541121150984e-08,0.5169383452984693,1.6569370571228277,1.0531011385349662
38,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,2,PolarMuon,10,0.001,0.00013650870631623234,0.00013621823269341037,2.9047362282196357e-07,0.998532509189105,2.9047362282196357e-08,2.8873193487063653e-08,0.20142612369576657,5.0,4.999999999999597
39,MatrixFactorizationInput,MF input kappa=1e+05,100000.0,3,GD,10,0.001,0.00014695216996577507,0.00014507036979116196,1.8818001746131107e-06,0.9937953905153741,1.8818001746131107e-07,1.845183077593065e-07,1.0,1.1260406389827693,1.0015161978835245
