problem_family,setting,kappa,seed,comparison,final_loss_ratio,final_loss_delta,total_decrease_ratio,total_decrease_delta,mean_delta_loss_ratio,mean_delta_loss_delta,mean_update_grad_inner_ratio,mean_update_grad_inner_delta,mean_update_grad_cosine_ratio,mean_update_grad_cosine_delta,mean_nrUpdate_ratio,mean_nrUpdate_delta,mean_stUpdate_ratio,mean_stUpdate_delta
MatrixFactorizationInput,MF input kappa=1e+02,100.0,3,FreshAdamSign/GD,1.0056648579562082,9.036954065051543e-07,0.5280110578562514,-9.036954065051543e-07,0.5280110578562514,-9.036954065051543e-08,0.5217581565399926,-8.994699253933756e-08,0.524715107015467,-0.47528489298453314,1.6708964064659764,0.9342168363491761,1.2310120659194734,0.2355436183864874
MatrixFactorizationInput,MF input kappa=1e+02,100.0,3,PolarMuon/FreshAdamSign,1.0037551097640174,6.024332873690291e-07,0.404096834898877,-6.024332873690291e-07,0.40409683489887704,-6.02433287369029e-08,0.4142938135747997,-5.7476211388208636e-08,0.45287426902077577,-0.2870851364816793,2.148959621024957,2.673292717517314,3.9835568206924354,3.7448402959815255
MatrixFactorizationInput,MF input kappa=1e+02,100.0,4,PolarMuon/GD,1.0093097838058367,1.3580644472488033e-06,0.238832186873951,-1.3580644472488033e-06,0.23883218687395102,-1.3580644472488033e-07,0.24147150234588688,-1.3430047405188503e-07,0.2549304080783662,-0.7450695919216338,3.4639646833832294,3.5565672698728164,4.848010910571049,3.9686491857725072
MatrixFactorizationInput,MF input kappa=1e+02,100.0,4,FreshAdamSign/GD,1.0056355458802162,8.22085094603686e-07,0.5392378359284377,-8.22085094603686e-07,0.5392378359284377,-8.220850946036859e-08,0.5381477704228037,-8.17727660410481e-08,0.5720848024803135,-0.42791519751968654,1.5596649829788816,0.8078387543377907,1.2012778447116224,0.20758806902922267
MatrixFactorizationInput,MF input kappa=1e+02,100.0,4,PolarMuon/FreshAdamSign,1.0036536476267897,5.359793526451173e-07,0.44290695303815153,-5.359793526451173e-07,0.4429069530381516,-5.359793526451173e-08,0.44870854367039603,-5.252770801083693e-08,0.4456164662530759,-0.31715439440194726,2.220967144346109,2.7487285155350256,4.035711581557436,3.7610611167432846
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,0,PolarMuon/GD,1.011113299829168,1.5172184662484885e-06,0.1962297316995815,-1.5172184662484885e-06,0.19622973169958152,-1.5172184662484886e-07,0.1993232834993554,-1.478105598618538e-07,0.22900870381466654,-0.7709912961853338,4.63021613789252,3.920136803316532,4.99643756128884,3.999287004256737
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,0,FreshAdamSign/GD,1.0062050761190513,8.471341740994844e-07,0.5512173905409884,-8.471341740994844e-07,0.5512173905409884,-8.471341740994844e-08,0.5468572713558824,-8.365333852962263e-08,0.563843522682593,-0.43615647731740725,1.370878589363881,0.400498139091936,1.0321091958009039,0.03213208952081725
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,0,PolarMuon/FreshAdamSign,1.0048779556241634,6.70084292149004e-07,0.35599336136146437,-6.70084292149004e-07,0.35599336136146437,-6.70084292149004e-08,0.364488677283474,-6.415722133223115e-08,0.4061564859787943,-0.33483481886792654,3.377553762832525,3.519638664224596,4.8409970394766875,3.9671549147359197
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,1,PolarMuon/GD,1.0112627613694403,1.6062274489586452e-06,0.1795918336921667,-1.6062274489586452e-06,0.1795918336921667,-1.6062274489586452e-07,0.18169424156275735,-1.57470104797021e-07,0.19995620103955508,-0.800043798960445,4.461813324871875,3.8793793832368415,4.99062512115896,3.998121502093418
MatrixFactorizationInput,MF input kappa=1e+05,100000.0,1,FreshAdamSign/GD,1.0064187552340105,9.154043583831084e-07,0.5324415532942244,-9.154043583831084e-07,0.5324415532942244,-9.154043583831085e-08,0.5247638570168099,-9.145173972845049e-08,0.5144087016146497,-0.4855912983853503,1.4918883300099783,0.5512202037543819,1.0769092406025387,0.07705371444997677
