source_warmup_steps,target_warmup_steps,score,score_family,points,spearman_score_vs_target_observed,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_observed,pearson_ci95_low,pearson_ci95_high,top5_risk_overlap_fraction
2000,10000,step_size_ratio,condition_candidate,21,-0.10519480519480517,-0.5376025895138056,0.3710210703341643,-0.03892915843258751,-0.4885400606539748,0.42701740122124715,0.2
2000,10000,scaled_jvp_ratio,condition_candidate,21,-0.3844155844155844,-0.7165036353087875,0.0897195276181956,-0.3929691949979417,-0.7213715444021966,0.07971591208962575,0.2
2000,10000,inverse_scaled_jvp_ratio,condition_candidate,21,0.3844155844155844,-0.0897195276181956,0.7165036353087875,0.3929691949979417,-0.07971591208962575,0.7213715444021966,0.0
2000,10000,early_plus_gradient_rank,condition_candidate,21,0.8064935064935065,0.5523271456370915,0.9234709368614153,0.7665196318245485,0.47510431291186733,0.9064099196579293,0.6
2000,10000,early_minus_scaled_jvp,condition_candidate,21,0.8805194805194804,0.7078606446085213,0.9538893897666927,0.847294739257819,0.6359190296198387,0.9404207082850808,0.6
2000,10000,early_plus_rank_minus_scaled_jvp,condition_candidate,21,0.5883116883116883,0.17797252150075676,0.8243594289152291,0.6495383392072128,0.27226415975607976,0.8537140950810349,0.2
5000,2000,source_observed_drift_positive_control,positive_control,21,0.9766233766233766,0.9382845697005502,0.9912528636613431,0.981639521399064,0.9513248511359531,0.9931407136593955,1.0
5000,2000,early_layer_prior,architecture_prior,21,0.8974025974025974,0.7458438398349562,0.9606221135991683,0.8231381456394159,0.5858217138736894,0.930441088274771,1.0
5000,2000,gradient_nuclear_rank,condition_candidate,21,-0.11948051948051949,-0.5478093939577074,0.3584777422828419,-0.2046257328044722,-0.6061090090034711,0.2799578733179196,0.0
5000,2000,alignment_ratio,condition_candidate,21,-0.13636363636363635,-0.5597097968979127,0.3434279236485426,-0.2084769086237254,-0.6086477620672193,0.27624619792291116,0.0
5000,2000,step_size_ratio,condition_candidate,21,0.15324675324675324,-0.3281275992489967,0.5714381159393768,0.22059065958279606,-0.2644762051025624,0.6165802624763779,0.2
5000,2000,scaled_jvp_ratio,condition_candidate,21,-0.2675324675324675,-0.6465782382906066,0.2174594530461581,-0.17662469220251048,-0.5874010083342929,0.3065159623429435,0.2
5000,2000,inverse_scaled_jvp_ratio,condition_candidate,21,0.2675324675324675,-0.2174594530461581,0.6465782382906066,0.17662469220251048,-0.3065159623429435,0.5874010083342929,0.0
5000,2000,early_plus_gradient_rank,condition_candidate,21,0.8,0.5394788442124107,0.9207305991787762,0.7512084111469415,0.44666862886187886,0.8997518504026811,0.6
5000,2000,early_minus_scaled_jvp,condition_candidate,21,0.8662337662337661,0.6764824542012218,0.9481342144425461,0.813458169501788,0.5662432279524996,0.926396902286769,0.6
5000,2000,early_plus_rank_minus_scaled_jvp,condition_candidate,21,0.5805194805194805,0.16648941814495066,0.820530168909178,0.5787937875962917,0.16396142427085986,0.8196792021465027,0.4
5000,10000,source_observed_drift_positive_control,positive_control,21,0.9922077922077923,0.9791586964046902,0.9970986038624249,0.9897111936341865,0.9725388396347516,0.9961659900780703,1.0
