metric,problem_family,n_pairs,muon_higher_pairs,muon_lower_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_above_one,delta_ci95_above_zero,mode
stUpdateFrac,MatrixSensing,60,60,0,5.297221755537788,5.130907304707561,5.4689271625697735,0.8097961989762049,0.8038181349612081,0.8157742629912017,True,True,raw
stUpdateFrac,SmallMLPDigits,60,60,0,4.455808056033307,4.317871165567436,4.5981514202038865,0.773964397933068,0.7671782352817507,0.7807505605843854,True,True,raw
update_flatness,All,180,180,0,2.614426230841809,2.46899028084953,2.7684290900334556,0.586081261674134,0.560816411266356,0.611346112081912,True,True,raw
update_flatness,MatrixFactorizationInput,60,60,0,1.5715449610793177,1.5179989712471378,1.6269797354768472,0.3580448844402191,0.3363061724373272,0.379783596443111,True,True,raw
update_flatness,MatrixSensing,60,60,0,3.744556993191854,3.630771233656663,3.8619087166062838,0.7310596342045584,0.7228878029940525,0.7392314654150643,True,True,raw
update_flatness,SmallMLPDigits,60,60,0,3.036700221122973,2.960657706672023,3.1146958367348545,0.6691392663776242,0.6609679752058591,0.6773105575493893,True,True,raw
nrUpdate,All,180,180,0,1.9587060081918923,1.8661253345248026,2.0558797180168855,11.404776181047428,10.224709587294688,12.584842774800167,True,True,equal_update
nrUpdate,MatrixFactorizationInput,60,60,0,2.6953078501890495,2.5487651201372277,2.85027613956816,3.1008739672671743,2.9933976988968354,3.2083502356375133,True,True,equal_update
nrUpdate,MatrixSensing,60,60,0,1.416936551578432,1.4146795363484292,1.4191971677071669,17.654332721777216,17.588179606578322,17.72048583697611,True,True,equal_update
nrUpdate,SmallMLPDigits,60,60,0,1.9676551504652098,1.836184933158595,2.10853859065941,13.4591218540979,11.145885423101626,15.772358285094173,True,True,equal_update
stUpdate,All,180,180,0,5.467668355581754,5.227208933370118,5.719189270545523,24.913231187030608,22.00768126097348,27.818781113087734,True,True,equal_update
stUpdate,MatrixFactorizationInput,60,60,0,4.408328150309062,4.304013763013242,4.515170757075372,3.8608454733826543,3.832970262753942,3.8887206840113664,True,True,equal_update
stUpdate,MatrixSensing,60,60,0,5.573581296186035,5.46914329709473,5.680013628770117,49.2067550998489,49.00912986156331,49.40438033813449,True,True,equal_update
stUpdate,SmallMLPDigits,60,60,0,6.65270456291326,5.956605719580198,7.4301506738851435,21.672092987860278,18.700645787414814,24.643540188305742,True,True,equal_update
nrUpdateFrac,All,180,180,0,1.8212045826026677,1.7396926376776816,1.9065357062846116,0.42670740643610977,0.4045861761850346,0.4488286366871849,True,True,equal_update
nrUpdateFrac,MatrixFactorizationInput,60,60,0,2.6953078501890495,2.5487651201372277,2.85027613956816,0.6201747934534348,0.598679539779367,0.6416700471275026,True,True,equal_update
nrUpdateFrac,MatrixSensing,60,60,0,1.4169365515784322,1.4146795363484292,1.4191971677071669,0.2942388786962869,0.2931363267763053,0.2953414306162685,True,True,equal_update
nrUpdateFrac,SmallMLPDigits,60,60,0,1.5816756311232794,1.5488052751018164,1.6152435960193676,0.36570854715860757,0.35272086736427377,0.37869622695294136,True,True,equal_update
stUpdateFrac,All,180,180,0,4.722605463401847,4.619445232574003,4.828069441257452,0.7858794769000542,0.7812107557951237,0.7905481980049848,True,True,equal_update
stUpdateFrac,MatrixFactorizationInput,60,60,0,4.408328150309062,4.304013763013242,4.515170757075372,0.7721690946765307,0.7665940525507883,0.7777441368022732,True,True,equal_update
stUpdateFrac,MatrixSensing,60,60,0,5.573581296186035,5.46914329709473,5.680013628770117,0.8201125849974813,0.8168188310260548,0.8234063389689078,True,True,equal_update
stUpdateFrac,SmallMLPDigits,60,60,0,4.286834725922072,4.166313033972016,4.410842828545561,0.7653567510261502,0.7589934942015456,0.7717200078507548,True,True,equal_update
update_flatness,All,180,180,0,2.65967398442606,2.5085232887482722,2.8199322426711775,0.5915671909198286,0.5659605784312811,0.617173803408376,True,True,equal_update
update_flatness,MatrixFactorizationInput,60,60,0,1.5854578932428003,1.5264278465603542,1.6467707510120486,0.36255110169916416,0.3388634245796726,0.3862387788186557,True,True,equal_update
update_flatness,MatrixSensing,60,60,0,3.9342332666738185,3.8605234177803203,4.009350474424118,0.7451544612502595,0.7404751554847128,0.7498337670158063,True,True,equal_update
update_flatness,SmallMLPDigits,60,60,0,3.0162712666361124,2.9431523879218036,3.0912066909178133,0.6669960098100615,0.6590226664607762,0.6749693531593467,True,True,equal_update
