group_type,group,points,positive_points,spearman_delta_vs_first_order,spearman_ci95_low,spearman_ci95_high,pearson_log_positive,geomean_observed_over_first_order,ratio_ci95_low,ratio_ci95_high,median_abs_log10_ratio,within_factor_2,slope_through_origin,mode
family,MatrixFactorizationInput,1200,1178,0.9645291698119235,0.9603536875221206,0.9682720147529114,0.9945541658706231,1.0102362570695629,0.9942086386166699,1.026522256453071,0.009296645882932015,0.9847198641765704,0.7564196285931296,equal_update
family,MatrixSensing,600,561,0.872239756221545,0.851611451042274,0.8901705043605788,0.9815142911859313,0.8871552796601763,0.8627479917044124,0.9122530539585147,0.0038759914952731732,0.9625668449197861,0.7201830863627647,equal_update
family,SmallMLPDigits,1200,1200,0.999852569342062,0.9998348648774515,0.9998683758007733,0.9998377959668874,1.0185255766787662,1.0156334995208451,1.021425889199435,0.0035868401886557013,1.0,1.053568502751066,equal_update
algo,Adam,1500,1449,0.9682759219004098,0.9649498417260814,0.9712909856331171,0.9979974198614777,0.9868238397657164,0.9731952207011966,1.000643313916302,0.0072668659985286824,0.9868875086266391,1.0523585119570724,equal_update
algo,Muon,1500,1490,0.9694026388456175,0.9661926592086519,0.9723121254890078,0.9990214404538319,0.9906958844590842,0.9805381053512146,1.0009588919877987,0.0038436119492327326,0.9865771812080537,1.0116096293148678,equal_update
MatrixFactorizationInput:Adam,MatrixFactorizationInput:Adam,600,578,0.933495093041925,0.9223469273184673,0.9430901673192141,0.9894612779192032,0.9809800159619187,0.9505301465790695,1.0124053352542415,0.013016962512004574,0.9688581314878892,0.6745389134733243,equal_update
MatrixFactorizationInput:Muon,MatrixFactorizationInput:Muon,600,600,0.9996722768674356,0.9996151327578109,0.999720937549044,0.9994792975800921,1.0392445916503146,1.0315233257858256,1.0470236535384705,0.004202356561575656,1.0,0.978959407302029,equal_update
MatrixSensing:Adam,MatrixSensing:Adam,300,271,0.8980455338392648,0.8735408028745514,0.9180096428677512,0.990310677558082,0.928050310579228,0.901472629878802,0.9554115681604172,0.003771790933291287,0.996309963099631,0.7505125135868635,equal_update
MatrixSensing:Muon,MatrixSensing:Muon,300,290,0.8417773530817009,0.8051370255030743,0.8720166185105401,0.9740637189917829,0.8505699944598549,0.812089495725212,0.8908738744728685,0.0039731418316089635,0.9310344827586207,0.6940346093401909,equal_update
SmallMLPDigits:Adam,SmallMLPDigits:Adam,600,600,0.999767388242745,0.9997268261556819,0.9998019280843528,0.9998204668994027,1.0203980542414075,1.0158667353894648,1.0249495852430572,0.004783100722329718,1.0,1.0546799687956043,equal_update
SmallMLPDigits:Muon,SmallMLPDigits:Muon,600,600,0.999875777432715,0.9998541145237618,0.9998942237308365,0.9998587431117971,1.0166565351989436,1.013056533142646,1.020269330238043,0.002433053196791002,1.0,1.041744784384804,equal_update
