mode,problem_family,base_setting,algo,lr,runs,mean_final_loss,final_loss_ci95_low,final_loss_ci95_high,mean_total_loss_decrease,total_loss_decrease_ci95_low,total_loss_decrease_ci95_high
raw,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.0001,5,0.00014000401369671178,0.0001331220242729302,0.00014688600312049338,3.6372986917613397e-08,3.195263363546545e-08,4.079334019976134e-08
raw,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.0003,5,0.0001399309405568683,0.00013304863242389345,0.00014681324868984317,1.0944612676109535e-07,9.664224044643101e-08,1.2225001307575968e-07
raw,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.001,5,0.0001396644786505826,0.00013279286509291043,0.0001465360922082548,3.7590803304676897e-07,3.335020367544663e-07,4.183140293390716e-07
raw,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.003,5,0.0001386730758902617,0.00013191371553666683,0.00014543243624385658,1.3673107933676933e-06,1.1549409577277658e-06,1.5796806290076208e-06
raw,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.01,5,0.0001293466163319929,0.00012353259206904414,0.00013516064059494165,1.0693770351636516e-05,8.79372364387251e-06,1.2593817059400523e-05
raw,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0.03,5,1.1517738942083838e-05,4.309879145281983e-06,1.8725598738885692e-05,0.00012852264774154557,0.00011615029913529737,0.00014089499634779376
raw,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.0001,5,0.011249242500357566,0.010883103708805505,0.011615381291909626,0.0012481481585745334,0.0012316179333542677,0.001264678383794799
raw,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.0003,5,0.008997218692650289,0.008649493550821117,0.009344943834479461,0.003500171966281812,0.0034526387147794614,0.003547705217784163
raw,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.001,5,0.003505422762852701,0.0032581906754775318,0.00375265485022787,0.008991967896079398,0.008840758415482024,0.009143177376676772
raw,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.003,5,0.001138418487935154,0.001055302712061108,0.0012215342638092002,0.011358972170996944,0.010914730895594908,0.01180321344639898
raw,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.01,5,0.002401746962617549,0.0022303791862865324,0.002573114738948566,0.01009564369631455,0.009819634153074294,0.010371653239554808
raw,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0.03,5,0.026420875158963585,0.025358797088055024,0.027482953229872147,-0.013923484500031483,-0.01534431576079714,-0.012502653239265827
raw,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.0001,5,0.012325624310205018,0.011952544658478182,0.012698703961931854,0.00017176634872708257,0.00016950238414366773,0.0001740303133104974
raw,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.0003,5,0.01198636297964062,0.011615847242801902,0.01235687871647934,0.000511027679291479,0.0005043035354851778,0.0005177518230977803
raw,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.001,5,0.01084348943307966,0.010482207419512004,0.011204771446647317,0.0016539012258524402,0.0016322310816919497,0.0016755713700129307
raw,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.003,5,0.007951572651700035,0.007619811958803118,0.00828333334459695,0.004545818007232066,0.0044853043678585456,0.004606331646605586
raw,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.01,5,0.0017414084517412976,0.0015564815236526952,0.0019263353798299001,0.010755982207190802,0.010550968440528425,0.010960995973853178
raw,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0.03,5,0.0005358377649344855,0.00047195551350219343,0.0005997200163667775,0.011961552893997616,0.01156387187482861,0.012359233913166621
raw,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.0001,5,0.010262781121268497,0.009937224763930528,0.010588337478606467,0.0011949804952852705,0.0011689580727610581,0.0012210029178094828
raw,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.0003,5,0.00811839256590995,0.007819863958508961,0.008416921173310938,0.0033393690506438173,0.0032675439702124567,0.003411194131075178
raw,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.001,5,0.0030009319790495893,0.0027948282415443905,0.003207035716554788,0.008456829637504179,0.00828253966961026,0.008631119605398098
raw,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.003,5,0.0011853426821978714,0.0010921014530513526,0.0012785839113443902,0.010272418934355898,0.009890441152674423,0.010654396716037373
raw,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.01,5,0.0022526042557560085,0.0021215069245637225,0.0023837015869482944,0.009205157360797758,0.008988796415827229,0.009421518305768288
raw,MatrixSensing,Matrix sensing kappa=1e+05,Adam,0.03,5,0.027493587256326047,0.02635534361911039,0.028631830893541703,-0.016035825639772284,-0.017377146662137515,-0.014694504617407051
raw,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.0001,5,0.011293199363967537,0.01095398747498836,0.011632411252946714,0.00016456225258623149,0.00016178536969123648,0.0001673391354812265
raw,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.0003,5,0.010968369101054183,0.010632269400817993,0.011304468801290372,0.0004893925154995833,0.00048113493760970426,0.0004976500933894623
raw,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.001,5,0.009876217744495739,0.009551080774576698,0.01020135471441478,0.00158154387205803,0.0015548605475932703,0.0016082271965227898
raw,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.003,5,0.007129978295711716,0.00683841987750939,0.007421536713914042,0.0043277833208420526,0.004253171249961304,0.004402395391722801
raw,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.01,5,0.0014033972208943597,0.001253483600223819,0.0015533108415649005,0.01005436439565941,0.009842275519747066,0.010266453271571753
raw,MatrixSensing,Matrix sensing kappa=1e+05,Muon,0.03,5,0.0005711408912811293,0.0005270891317618753,0.0006151926508003834,0.010886620725272638,0.010508108964158847,0.01126513248638643
raw,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.0001,5,2.302297839088469,2.302200975318886,2.3023947028580523,0.0003021952568810882,0.00020820573468310183,0.00039618477907907453
raw,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.0003,5,2.3016782479861115,2.301495918246827,2.301860577725396,0.0009217863592389186,0.0007600913716768852,0.001083481346800952
raw,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.001,5,2.298431835162147,2.297591106196997,2.2992725641272966,0.0041681991832035695,0.0033347034203327144,0.005001694946074425
raw,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.003,5,2.2802675642052854,2.2747829380975833,2.2857521903129876,0.022332470140064852,0.01687256497981044,0.027792375300319264
raw,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.01,5,2.1386250176025308,2.086809490718323,2.1904405444867385,0.16397501674281986,0.11218960905196514,0.2157604244336746
raw,SmallMLPDigits,Small MLP digits hidden=16,Adam,0.03,5,1.5588312744411303,1.4034589689823964,1.7142035798998643,0.7437687599042202,0.5884531782240491,0.8990843415843913
raw,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.0001,5,2.302536409660351,2.302456718063913,2.3026161012567887,6.362468500009655e-05,-3.825282033342928e-05,0.0001655021903336224
raw,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.0003,5,2.3024246465145284,2.3023486904990733,2.3025006025299835,0.0001753878308219825,8.225921449761563e-05,0.00026851644714634935
raw,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.001,5,2.3020143231601486,2.3019106337529838,2.3021180125673135,0.0005857111852017205,0.0005020927088658222,0.0006693296615376189
raw,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.003,5,2.3004357064613354,2.3002593231407684,2.3006120897819025,0.0021643278840151937,0.002035900509569777,0.00229275525846061
raw,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.01,5,2.2889844691696375,2.28829627144735,2.289672666891925,0.013615565175712874,0.012944451052524654,0.014286679298901095
raw,SmallMLPDigits,Small MLP digits hidden=16,Muon,0.03,5,2.2082602201942714,2.203211492046462,2.213308948342081,0.09433981415107925,0.08927721010030061,0.0994024182018579
raw,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.0001,5,2.3013730267149213,2.3009746626381213,2.301771390791721,0.0012126456259199613,0.0008940028933099938,0.0015312883585299288
raw,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.0003,5,2.298865028071281,2.2981943462058543,2.2995357099367078,0.0037206442695599585,0.0032581285115891945,0.0041831600275307225
raw,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.001,5,2.286733362778724,2.284296978164994,2.2891697473924535,0.01585230956211703,0.013638141655345427,0.01806647746888863
raw,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.003,5,2.2180165981591777,2.207261684183112,2.2287715121352436,0.08456907418166341,0.07400741127429393,0.0951307370890329
raw,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.01,5,1.7472196372491513,1.674338168154146,1.8201011063441566,0.5553660350916898,0.4826142193075139,0.6281178508758657
raw,SmallMLPDigits,Small MLP digits hidden=64,Adam,0.03,5,0.7218245535538264,0.586074352142006,0.8575747549656467,1.580761118787015,1.445141585120721,1.716380652453309
raw,SmallMLPDigits,Small MLP digits hidden=64,Muon,0.0001,5,2.3024109674324267,2.3020881438307614,2.302733791034092,0.00017470490841438037,-0.00014649450970034925,0.00049590432652911
raw,SmallMLPDigits,Small MLP digits hidden=64,Muon,0.0003,5,2.30215519974072,2.301825392484232,2.302485006997208,0.00043047260012158973,0.00011272749258294505,0.0007482177076602345
raw,SmallMLPDigits,Small MLP digits hidden=64,Muon,0.001,5,2.301247145090906,2.3008871667214934,2.3016071234603186,0.001338527249935062,0.0010322766983671577,0.0016447778015029663
