mode,run_id,problem_family,base_setting,setting,kappa,lr,algo,seed,final_step,final_loss,final_recovery_error,initial_loss,initial_recovery_error,total_loss_decrease,relative_loss_decrease
equal_update,119,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-02,100.0,0.03,Muon,4,5,0.0005557611246863154,1.1680630181098657,0.012768712634677852,1.1560304324896953,0.012212951509991537,0.9564747723136197
equal_update,210,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=1e-02,100000.0,0.01,Adam,0,5,0.0014605348557840347,1.1139612633059053,0.011350617945307562,1.1707003566011327,0.009890083089523527,0.8713255205292296
equal_update,212,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=1e-02,100000.0,0.01,Adam,1,5,0.0016686501841468634,1.1321214082565256,0.01188808980557376,1.1904143411550712,0.010219439621426896,0.8596368120162995
equal_update,214,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=1e-02,100000.0,0.01,Adam,2,5,0.0013313133190293181,1.1094088022558595,0.01113613682871832,1.1648279800687005,0.009804823509689002,0.8804510631015171
equal_update,216,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=1e-02,100000.0,0.01,Adam,3,5,0.0014563288169233204,1.0819029588582625,0.011482184353307785,1.1458934577476567,0.010025855536384465,0.8731662223744229
equal_update,218,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=1e-02,100000.0,0.01,Adam,4,5,0.001520463438763944,1.118023720018084,0.011431779149861414,1.1705555710981141,0.009911315711097471,0.8669967798684796
equal_update,231,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,0,5,0.0005520675796881578,1.184970572932283,0.011350617945307562,1.1707003566011327,0.010798550365619403,0.9513623326634487
equal_update,233,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,1,5,0.0005234687683634705,1.207800605174484,0.01188808980557376,1.1904143411550712,0.011364621037210289,0.9559669571037358
equal_update,235,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,2,5,0.000616534085449725,1.17498594824236,0.01113613682871832,1.1648279800687005,0.010519602743268594,0.9446366280396463
equal_update,237,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,3,5,0.000589281791901499,1.1605125862593013,0.011482184353307785,1.1458934577476567,0.010892902561406285,0.9486785986211987
equal_update,239,MatrixSensing,Matrix sensing kappa=1e+05,Matrix sensing kappa=1e+05 lr=3e-02,100000.0,0.03,Muon,4,5,0.0005743522310027948,1.1916238482144546,0.011431779149861414,1.1705555710981141,0.01085742691885862,0.9497582814124118
equal_update,290,SmallMLPDigits,Small MLP digits hidden=16,Small MLP digits hidden=16 lr=3e-02,1.0,0.03,Adam,0,10,2.2027213207100624,0.611328125,2.302579040308706,0.8955078125,0.09985771959864342,0.04336777059572971
equal_update,292,SmallMLPDigits,Small MLP digits hidden=16,Small MLP digits hidden=16 lr=3e-02,1.0,0.03,Adam,1,10,2.1683533619296496,0.658203125,2.3025328074664575,0.9150390625,0.13417944553680794,0.05827471604387232
equal_update,294,SmallMLPDigits,Small MLP digits hidden=16,Small MLP digits hidden=16 lr=3e-02,1.0,0.03,Adam,2,10,2.1860516949609825,0.5888671875,2.302489903378648,0.87109375,0.11643820841766539,0.05057056200194636
equal_update,296,SmallMLPDigits,Small MLP digits hidden=16,Small MLP digits hidden=16 lr=3e-02,1.0,0.03,Adam,3,10,2.1820585557045096,0.6748046875,2.3026929964434295,0.91796875,0.12063444073891993,0.0523884169210759
equal_update,298,SmallMLPDigits,Small MLP digits hidden=16,Small MLP digits hidden=16 lr=3e-02,1.0,0.03,Adam,4,10,2.1842304491445512,0.58203125,2.3027054241295115,0.9755859375,0.11847497498496029,0.05145033912869998
equal_update,291,SmallMLPDigits,Small MLP digits hidden=16,Small MLP digits hidden=16 lr=3e-02,1.0,0.03,Muon,0,10,2.2126643052098687,0.18359375,2.302579040308706,0.8955078125,0.08991473509883718,0.03904957594280123
equal_update,293,SmallMLPDigits,Small MLP digits hidden=16,Small MLP digits hidden=16 lr=3e-02,1.0,0.03,Muon,1,10,2.2044942947918105,0.15625,2.3025328074664575,0.9150390625,0.09803851267464703,0.042578551913239227
equal_update,295,SmallMLPDigits,Small MLP digits hidden=16,Small MLP digits hidden=16 lr=3e-02,1.0,0.03,Muon,2,10,2.2092755417227483,0.255859375,2.302489903378648,0.87109375,0.09321436165589958,0.040484156529467456
equal_update,297,SmallMLPDigits,Small MLP digits hidden=16,Small MLP digits hidden=16 lr=3e-02,1.0,0.03,Muon,3,10,2.2113156248477344,0.375,2.3026929964434295,0.91796875,0.09137737159569514,0.03968282864317124
