mode,run_id,problem_family,base_setting,setting,kappa,lr,algo,seed,final_step,final_loss,final_recovery_error,initial_loss,initial_recovery_error,total_loss_decrease,relative_loss_decrease
equal_update,23,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,1,10,0.00016031738071113944,0.9990725609439146,0.0001604720091443568,0.9995233235792307,1.5462843321736928e-07,0.0009635850765616651
raw,24,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Adam,4,10,0.00014651234529347782,0.9975851513335297,0.00014765915682122912,1.001229148681757,1.1468115277512951e-06,0.007766613005516071
equal_update,24,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Adam,2,10,0.00014909444359694198,0.9984315020255613,0.0001493490238905777,0.9992393357981618,2.545802936357224e-07,0.001704599648553737
raw,25,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,0,10,0.00015312640501739474,0.9989761402864895,0.0001532792239327137,0.9994330499176829,1.528189153189466e-07,0.0009969969275551058
equal_update,25,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,2,10,0.0001492293727711091,0.9988597813856288,0.0001493490238905777,0.9992393357981618,1.19651119468594e-07,0.0008011509975201297
raw,26,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,1,10,0.00016031738071113944,0.9990725609439146,0.0001604720091443568,0.9995233235792307,1.5462843321736928e-07,0.0009635850765616651
equal_update,26,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Adam,3,10,0.000161155877303159,0.9992851143847405,0.00016144123210250178,1.0001224102346165,2.853547993427797e-07,0.0017675459709177832
raw,27,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,2,10,0.0001492293727711091,0.9988597813856288,0.0001493490238905777,0.9992393357981618,1.19651119468594e-07,0.0008011509975201297
equal_update,27,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,3,10,0.00016130846253528997,0.9997223289025108,0.00016144123210250178,1.0001224102346165,1.3276956721181335e-07,0.0008224018454437693
raw,28,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,3,10,0.00016130846253528997,0.9997223289025108,0.00016144123210250178,1.0001224102346165,1.3276956721181335e-07,0.0008224018454437693
equal_update,28,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Adam,4,10,0.00014735010630140418,1.0002693933670321,0.00014765915682122912,1.001229148681757,3.090505198249363e-07,0.002092999353904639
raw,29,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,4,10,0.00014751272739308482,1.0007613274031149,0.00014765915682122912,1.001229148681757,1.4642942814429758e-07,0.0009916718427532376
equal_update,29,MatrixFactorizationInput,MF input kappa=1e+02,MF input kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,4,10,0.00014751272739308482,1.0007613274031149,0.00014765915682122912,1.001229148681757,1.4642942814429758e-07,0.0009916718427532376
raw,30,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-04,100.0,0.0003,Adam,0,5,0.00911403326401386,1.1308137476928852,0.012595069754438687,1.1531162994796222,0.0034810364904248273,0.2763808822256073
equal_update,30,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-04,100.0,0.0003,Adam,0,5,0.01210443351048036,1.1498883685931451,0.012595069754438687,1.1531162994796222,0.0004906362439583267,0.038954626971035175
raw,31,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-04,100.0,0.0003,Adam,1,5,0.009242188311605842,1.1517884043450248,0.012757591945778827,1.17359807729054,0.0035154036341729852,0.27555385445104674
equal_update,31,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,0,5,0.012085693984963695,1.150932814346393,0.012595069754438687,1.1531162994796222,0.0005093757694749918,0.04044247307923645
raw,32,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-04,100.0,0.0003,Adam,2,5,0.008654156664499611,1.1235968669561527,0.012096481701537817,1.145254681706576,0.0034423250370382054,0.2845724171682569
equal_update,32,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-04,100.0,0.0003,Adam,1,5,0.012261684187785544,1.1704906828903703,0.012757591945778827,1.17359807729054,0.000495907757993283,0.03887158016191031
raw,33,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-04,100.0,0.0003,Adam,3,5,0.00874058763486129,1.1100971603709837,0.012269097258227316,1.1338721945050623,0.0035285096233660263,0.28759325556734877
equal_update,33,MatrixSensing,Matrix sensing kappa=1e+02,Matrix sensing kappa=1e+02 lr=3e-04,100.0,0.0003,Muon,1,5,0.012246713341588378,1.171578159717887,0.012757591945778827,1.17359807729054,0.0005108786041904487,0.04004506542941169
