seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank,warmup_steps
9,spectral,layer3.0.downsample.0.weight,256x128x1x1,16.564322421073626,127.99999994966491,5000
9,spectral,layer3.1.conv1.weight,256x256x3x3,37.433263119905746,255.99999991018802,5000
9,spectral,layer3.1.conv2.weight,256x256x3x3,29.70502881932098,255.99999989809646,5000
9,spectral,layer4.0.conv1.weight,512x256x3x3,33.34802466942939,511.9999995316049,5000
9,spectral,layer4.0.conv2.weight,512x512x3x3,30.62655260033385,511.99999951379897,5000
9,spectral,layer4.0.downsample.0.weight,512x256x1x1,12.643877008143901,255.99999991063572,5000
9,spectral,layer4.1.conv1.weight,512x512x3x3,24.287223959279196,511.99999949753396,5000
9,spectral,layer4.1.conv2.weight,512x512x3x3,20.72122443783142,511.99999944726227,5000
9,spectral,fc.weight,100x512,23.31304505489828,99.99999999438631,5000
0,frobenius,conv1.weight,64x3x3x3,4.9212969879073265,4.92128863697681,10000
0,frobenius,layer1.0.conv1.weight,64x64x3x3,25.743730328612457,25.743608815204702,10000
0,frobenius,layer1.0.conv2.weight,64x64x3x3,32.93170202473579,32.93170611911892,10000
0,frobenius,layer1.1.conv1.weight,64x64x3x3,30.13753466054944,30.137537049959445,10000
0,frobenius,layer1.1.conv2.weight,64x64x3x3,32.07155364421915,32.07163951094615,10000
0,frobenius,layer2.0.conv1.weight,128x64x3x3,40.20125703324935,40.20126660573181,10000
0,frobenius,layer2.0.conv2.weight,128x128x3x3,53.87779743659061,53.87811159987359,10000
0,frobenius,layer2.0.downsample.0.weight,128x64x1x1,21.234052800960058,21.234115495234057,10000
0,frobenius,layer2.1.conv1.weight,128x128x3x3,49.71283998770234,49.71334796047652,10000
0,frobenius,layer2.1.conv2.weight,128x128x3x3,40.11923692019232,40.118992988667515,10000
0,frobenius,layer3.0.conv1.weight,256x128x3x3,52.40746832559959,52.4076823435361,10000
0,frobenius,layer3.0.conv2.weight,256x256x3x3,45.12049084632486,45.120761660915946,10000
0,frobenius,layer3.0.downsample.0.weight,256x128x1x1,18.298501782439267,18.298361417147355,10000
0,frobenius,layer3.1.conv1.weight,256x256x3x3,35.77613767170239,35.775971781902015,10000
0,frobenius,layer3.1.conv2.weight,256x256x3x3,29.249638377747054,29.249310876645925,10000
0,frobenius,layer4.0.conv1.weight,512x256x3x3,31.905126092082593,31.905013411319125,10000
0,frobenius,layer4.0.conv2.weight,512x512x3x3,28.12099744133044,28.121104167935073,10000
0,frobenius,layer4.0.downsample.0.weight,512x256x1x1,12.024934982135889,12.02527519360024,10000
0,frobenius,layer4.1.conv1.weight,512x512x3x3,22.187588702174697,22.18735562825061,10000
0,frobenius,layer4.1.conv2.weight,512x512x3x3,27.504280304212454,27.5051023876208,10000
0,frobenius,fc.weight,100x512,24.086333274184728,24.086318920685283,10000
0,spectral,conv1.weight,64x3x3x3,4.9212969879073265,26.999999999858428,10000
0,spectral,layer1.0.conv1.weight,64x64x3x3,25.743730328612457,63.99999999845621,10000
0,spectral,layer1.0.conv2.weight,64x64x3x3,32.93170202473579,63.99999999838866,10000
0,spectral,layer1.1.conv1.weight,64x64x3x3,30.13753466054944,63.999999997743565,10000
0,spectral,layer1.1.conv2.weight,64x64x3x3,32.07155364421915,63.99999999797444,10000
0,spectral,layer2.0.conv1.weight,128x64x3x3,40.20125703324935,127.99999994527661,10000
