filters,kernel_size,stride,lr,seed,step,delta_loss_Adam,delta_loss_Muon,recovery_error_Adam,recovery_error_Muon,relative_update_fro_norm_Adam,relative_update_fro_norm_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_muon_higher
32,5,2,0.003,1,1,4.554773414433555e-05,3.205550807550139e-05,0.900390625,0.83203125,0.05152225018550541,0.05152225018550542,0.48255239289933777,0.3426898129270325,4.658202439377419e-05,3.202369416206396e-05,0.7037783256993896,False,0.6874689234490207,False,0.7101608405007306,False
32,5,2,0.003,1,2,5.3595432639497176e-05,3.84492096294764e-05,0.908203125,0.890625,0.05152357368675376,0.051523573686753754,0.4942321824652351,0.35057305851468595,5.519129203398663e-05,3.883476374997466e-05,0.7173971313581904,False,0.7036393300243875,False,0.7093286737541534,False
32,5,2,0.003,1,3,4.037923752742145e-05,3.765833637991989e-05,0.908203125,0.89453125,0.05156765263463824,0.051567652634638236,0.36701065533771704,0.3540555768610226,4.075211354537263e-05,3.7295226047662916e-05,0.9326163317062685,False,0.915172804623719,False,0.9647010835018581,False
32,5,2,0.003,1,4,8.408755594313533e-05,5.013919067664574e-05,0.908203125,0.89453125,0.05136567229916751,0.05136567229916751,0.47719356154147724,0.3238696462914785,8.126771749222521e-05,5.009283721949489e-05,0.5962736116453741,False,0.6163928158101304,False,0.6786965969223959,False
32,5,2,0.003,2,0,9.495639456025273e-05,4.9374943859703535e-05,0.90234375,0.90234375,0.050552925122664245,0.05055292512266426,0.5972726429067851,0.2976404243266791,0.00010035800132684908,5.001166293859977e-05,0.519974922050917,False,0.4983325920941791,False,0.4983325920941789,False
32,5,2,0.003,2,1,8.367615529536465e-05,4.619893882296111e-05,0.90234375,0.90234375,0.05071838169187097,0.05071838169187098,0.5581388379376006,0.2943043075145824,8.516491097682012e-05,4.637786321258214e-05,0.5521159362531127,False,0.5445653929610178,False,0.5272958760620873,False
32,5,2,0.003,2,2,2.9268642672608536e-05,3.7123816649664576e-05,0.896484375,0.90234375,0.050601916385852604,0.050601916385852604,0.25317538582712296,0.30972149776743557,2.9249864278051315e-05,3.684308956375467e-05,1.268381901577124,True,1.259598650220104,True,1.2233475886906489,True
32,5,2,0.003,2,3,4.3568911936464616e-05,3.727315937895881e-05,0.896484375,0.90234375,0.050255287489274506,0.0502552874892745,0.3527344575267188,0.30861821117573757,4.344545796418062e-05,3.730319795271763e-05,0.8554989721412659,False,0.858621354238524,False,0.8749307151325314,False
32,5,2,0.003,2,4,7.303742701836313e-05,4.438281189900195e-05,0.896484375,0.90234375,0.05020068782373524,0.050200687823735234,0.446818046014535,0.2954097125483965,7.157373489840511e-05,4.435803176476444e-05,0.6076721718009478,False,0.6197529279103315,False,0.6611409614794,False
32,5,2,0.01,0,0,0.0002268134640499575,0.00011218305532967321,0.9140625,0.9140625,0.17610511009604762,0.17610511009604762,0.6383435818147487,0.3476067398780926,0.00022504169149777502,0.000122545304670886,0.49460492038939974,False,0.5445448967934797,False,0.5445448967934798,False
32,5,2,0.01,0,1,0.00036763772205672396,0.00012612808272960407,0.9140625,0.923828125,0.1754450361930485,0.1754450361930484,0.6403327154556626,0.34690835163206224,0.00030051754240687726,0.00012472491576473183,0.3430770978124584,False,0.41503372736844774,False,0.5417626544119353,False
32,5,2,0.01,0,2,0.00019088172881609466,0.00010838631187981562,0.9140625,0.9140625,0.17051280151581769,0.1705128015158176,0.30286436635893554,0.358130435284043,0.00015626620933481645,0.00010511934051560479,0.5678192069616081,False,0.6726939941979124,False,1.1824779507392085,True
32,5,2,0.01,0,3,0.00011043325095361212,8.597067175664108e-05,0.9140625,0.892578125,0.16599965748386264,0.16599965748386267,0.18822789736991433,0.3923375680030553,9.07388431746015e-05,8.7188288975163e-05,0.7784853838338361,False,0.9608706252447319,False,2.0843752360045493,True
32,5,2,0.01,0,4,0.0004566887470529579,0.00010997832627657189,0.9140625,0.9140625,0.1608802255888296,0.16088022558882956,0.5410192381753371,0.3902314681624468,0.00039168438877135186,0.00010380153481417571,0.24081680791626497,False,0.2650132039721667,False,0.721289448927097,False
32,5,2,0.01,1,0,0.00018623619782021095,0.00010689230755556167,0.857421875,0.857421875,0.17124450186006193,0.1712445018600619,0.6109896014488337,0.35809621557250637,0.00018860517661354275,0.0001105400154479548,0.5739609635864321,False,0.5860921605267196,False,0.5860921605267198,False
32,5,2,0.01,1,1,0.00017332827789928729,0.00010564013012714923,0.908203125,0.888671875,0.17113429200348676,0.17113429200348673,0.4383209760080805,0.3427106358921331,0.0001638596908452009,0.00010503793589738196,0.60948006526974,False,0.6410236425785268,False,0.7818714016684777,False
32,5,2,0.01,1,2,0.00022720754650062958,0.0001271546153844838,0.908203125,0.908203125,0.16795405009849626,0.16795405009849618,0.41288459997577076,0.35044982537472974,0.00021375265048375575,0.00013036694343781006,0.5596408101001674,False,0.6098962662814671,False,0.8487839589931306,False
32,5,2,0.01,1,3,0.0002494083552524451,0.00013911716507397642,0.908203125,0.908203125,0.16336245717435796,0.16336245717435793,0.3545521051219864,0.3596362246321395,0.00022074616089174512,0.00013693027566483553,0.5577887113411474,False,0.6203064873775391,False,1.0143395552775067,True
32,5,2,0.01,1,4,0.0006038987888623559,0.00019049124773173887,0.908203125,0.908203125,0.1583181581750146,0.1583181581750146,0.4333662159679363,0.32424043007103903,0.0005165937391373283,0.00018542950711512564,0.3154357174495952,False,0.35894648553964015,False,0.7481903713856384,False
32,5,2,0.01,2,0,0.0002854453330720652,0.00015950557950672462,0.90234375,0.90234375,0.1685097504088809,0.16850975040888092,0.5972726429067851,0.29764042432667903,0.0003345266710894971,0.00016670554312866589,0.5587955416543976,False,0.49833259209417885,False,0.4983325920941788,False
32,5,2,0.01,2,1,0.00028143683573134126,0.00014997442892239476,0.896484375,0.90234375,0.16866466018677745,0.16866466018677742,0.5267917428056036,0.29121116714631623,0.0002669890013104005,0.00014927552988448079,0.5328884136032566,False,0.5591074132336019,False,0.5528013130869799,False
32,5,2,0.01,2,2,0.00011336931260919059,0.00012901548777888294,0.896484375,0.896484375,0.16527074168647043,0.1652707416864704,0.20301027432568075,0.3120664816094764,9.58766196889661e-05,0.00012675679719761196,1.1380106733435724,True,1.3220824598199687,True,1.5371955072029577,True
32,5,2,0.01,2,3,0.00020613276729930519,0.00013652513696094104,0.896484375,0.90234375,0.15888046033273184,0.15888046033273184,0.30370662065974985,0.31315040581665976,0.00018731485260941423,0.0001356082196700183,0.6623165193465155,False,0.7239587132622434,False,1.0310950914945316,True
32,5,2,0.01,2,4,0.00048133089343238566,0.00016768138784950537,0.896484375,0.90234375,0.15521921434778949,0.15521921434778949,0.4200321185820477,0.2996547000836253,0.00041431236891416366,0.0001635604863213829,0.34837030021855475,False,0.3947757744960518,False,0.7134090152324667,False
32,7,2,0.003,0,0,9.7194547597379e-05,5.6311134194242385e-05,0.9140625,0.9140625,0.044431665888306646,0.044431665888306625,0.5911565424504251,0.33878631764823336,0.00010107329360657743,5.792416474257774e-05,0.5793651556207347,False,0.57309070156598,False,0.5730907015659803,False
32,7,2,0.003,0,1,8.567287437655224e-05,5.109442820483423e-05,0.900390625,0.9140625,0.04448265787628786,0.044482657876287884,0.6001400788624466,0.3438540648260723,8.720197811632824e-05,5.2321077348224494e-05,0.5963897975485486,False,0.5999987440471556,False,0.572956342922207,False
32,7,2,0.003,0,2,5.4425809937974634e-05,5.758680852840925e-05,0.9140625,0.89453125,0.04438394264333978,0.044383942643339794,0.3331124052831485,0.36008424114830656,5.400387658618865e-05,5.727540428872734e-05,1.0580790362887937,True,1.0605794974239937,True,1.0809691726798099,True
32,7,2,0.003,0,3,1.8391653066274216e-05,4.3463142226141116e-05,0.9140625,0.873046875,0.04430089429746321,0.04430089429746322,0.17816348658990236,0.41193764514283016,1.7803165832213296e-05,4.348696605388108e-05,2.3631993312141075,True,2.4426535405964236,True,2.3121328226531084,True
