seed,geometry,dataset,model,updated_parameter_subset,warmup_steps,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,mean_matrix_update_nuclear_rank,device,dtype
5,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.9590342044830322,0.9542646408081055,0.004769563674926758,0.005340236535610676,0.004795171022415161,4.782651424407959,4.780555248260498,-0.0020961761474609375,0.0175,0.018000000000000002,-0.0005000000000000004,-3.5421504974365234,-3.53822660446167,-0.003923892974853516,0.0175,0.9428571428571428,0.006,0.0,2.149611473083496,0.004806677345186472,2.149611473083496,0.06867197155952454,0.5167953968048096,0.4858397841453552,0.010863708332180977,,,,0.0026017213240265846,0.002297111554071307,0.0026017213160082777,1.8430763483047485,10.44539492984694,1.673327546518975,6.242289473795196,10.445443022748428,cuda,float32
5,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.9590342044830322,0.9542526006698608,0.004781603813171387,0.0028293483549082688,0.004795171022415161,4.782651424407959,4.783519744873047,0.0008683204650878906,0.0175,0.018000000000000002,-0.0005000000000000004,-3.5421504974365234,-3.54270076751709,0.0005502700805664062,0.0175,0.9714285714285714,0.0035,0.0,0.9608925580978394,0.002148621017113328,0.960835874080658,0.09449978172779083,0.3090883195400238,0.32909566164016724,0.0073588029481470585,,,,0.008050085976719856,0.0008050252217799425,0.0008050040609619796,5.956704139709473,10.44539492984694,1.673327546518975,6.242289473795196,99.99999999443753,cuda,float32
6,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.9805989861488342,0.9757230281829834,0.00487595796585083,0.0055143774927862675,0.004902994930744171,4.8701171875,4.867582321166992,-0.0025348663330078125,0.013000000000000001,0.013000000000000001,0.0,-3.5804009437561035,-3.5757365226745605,-0.004664421081542969,0.013000000000000001,1.0,0.002,0.0,2.050079584121704,0.004584117326885462,2.050079584121704,0.04946432635188103,0.5010684132575989,0.4769814610481262,0.010665629990398884,,,,0.002512900624424219,0.0022345648612827063,0.0025129004464582746,1.9511297941207886,9.737718614571838,1.637182660843851,5.947851053805285,9.737733861004084,cuda,float32
6,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.9805989861488342,0.9757096767425537,0.004889309406280518,0.002791258130380353,0.004902994930744171,4.8701171875,4.870330333709717,0.00021314620971679688,0.013000000000000001,0.013000000000000001,0.0,-3.5804009437561035,-3.580012083053589,-0.00038886070251464844,0.013000000000000001,1.0,0.001,0.0,0.9384803771972656,0.002098505850881338,0.9384210705757141,0.0891818106174469,0.2733670175075531,0.2757468819618225,0.006165888160467148,,,,0.008052834309637547,0.0008052990888245404,0.0008052784893291056,6.088570594787598,9.737718614571838,1.637182660843851,5.947851053805285,99.99999999567004,cuda,float32
7,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.9121120572090149,0.9075795412063599,0.004532516002655029,0.0061493065831973665,0.004560560286045075,4.831818580627441,4.8319902420043945,0.000171661376953125,0.019,0.019,0.0,-3.5474963188171387,-3.5467700958251953,-0.0007262229919433594,0.019,0.9473684210526315,0.0045000000000000005,0.0,2.7946746349334717,0.006249082740396261,2.7946746349334717,0.10332299023866653,0.4402797520160675,0.42016661167144775,0.00939521100372076,,,,0.003690975485369563,0.003035968402400613,0.0036909753202718706,1.2355976104736328,14.90370188040514,1.7305129581729308,8.612302964862172,14.903788438764728,cuda,float32
7,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.9121120572090149,0.9075651168823242,0.004546940326690674,0.0029864662454034047,0.004560560286045075,4.831818580627441,4.833886623382568,0.002068042755126953,0.019,0.019,0.0,-3.5474963188171387,-3.5499346256256104,0.0024383068084716797,0.019,0.9736842105263157,0.003,0.0,1.138021469116211,0.0025446934159845114,1.1379573345184326,0.12525862455368042,0.26262950897216797,0.30122461915016174,0.006735587492585182,,,,0.009560808539390564,0.0009560998878441751,0.0009560751990734531,4.770085334777832,14.90370188040514,1.7305129581729308,8.612302964862172,99.99999999480397,cuda,float32
8,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.7965920567512512,0.7926242351531982,0.0039678215980529785,0.0038008628318534497,0.003982960283756256,4.831737518310547,4.830400466918945,-0.0013370513916015625,0.019,0.019,0.0,-3.615908622741699,-3.613521099090576,-0.002387523651123047,0.019,0.894736842105263,0.0045000000000000005,0.0,2.1470084190368652,0.004800856579095125,2.1470084190368652,0.060509610921144485,0.34600529074668884,0.3204897940158844,0.007166369818150997,,,,0.002619201084598899,0.0022619564551860094,0.0026192010531524332,1.5206775665283203,11.897965224687315,1.6721123202522228,7.115529908237633,11.897956931790569,cuda,float32
8,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.7965920567512512,0.7926189303398132,0.003973126411437988,0.0024689857838586615,0.003982960283756256,4.831737518310547,4.832662105560303,0.0009245872497558594,0.019,0.0185,0.0005000000000000004,-3.615908622741699,-3.616792678833008,0.0008840560913085938,0.019,0.9210526315789473,0.004,0.02631578947368421,0.9312748312950134,0.0020823939703404903,0.931210994720459,0.10378076881170273,0.2575065791606903,0.28044986724853516,0.0062710498459637165,,,,0.0075934575870633125,0.0007593609043397009,0.0007593410573118937,5.2452850341796875,11.897965224687315,1.6721123202522228,7.115529908237633,99.99999999359727,cuda,float32
9,frobenius,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.879934549331665,0.8755582571029663,0.0043762922286987305,0.005314149325618042,0.004399672746658325,4.750617027282715,4.747778415679932,-0.002838611602783203,0.02,0.02,0.0,-3.5652637481689453,-3.560171127319336,-0.005092620849609375,0.02,0.9750000000000001,0.004,0.0,2.0496432781219482,0.004583141300827265,2.0496432781219482,0.06436461210250854,0.5057417750358582,0.46972396969795227,0.010503347031772137,,,,0.002531553851440549,0.002236356260254979,0.0025315535948455727,1.737933874130249,10.626956408798302,1.647919209453421,6.448712016848831,10.626968777144697,cuda,float32
9,spectral,CIFAR100,resnet18_cifar_stem,final_linear_weight_only,250,0.879934549331665,0.8755472898483276,0.004387259483337402,0.0028214060535185852,0.004399672746658325,4.750617027282715,4.750495433807373,-0.00012159347534179688,0.02,0.02,0.0,-3.5652637481689453,-3.5644147396087646,-0.0008490085601806641,0.02,0.9750000000000001,0.0025,0.0,0.9053032994270325,0.0020243197213858366,0.905220627784729,0.09674681723117828,0.28175804018974304,0.2713204026222229,0.006066908594220877,,,,0.007765809539705515,0.0007765982882119715,0.0007765764886956936,5.665472507476807,10.626956408798302,1.647919209453421,6.448712016848831,99.99999999307977,cuda,float32
