split_id,split_role,split_display_name,source_warmup_steps,target_warmup_steps,score,score_family,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,top5_residual_risk_overlap_fraction,threshold_below_one_accuracy,target_observed_below_one_fraction,predicted_below_one_fraction,frozen_depth_intercept,frozen_depth_slope
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,2000,10000,source_observed_drift_positive_control,positive_control,21,0.48441558441558447,0.03353304035967031,0.7714623149411901,0.6367939160778966,0.2520213330086559,0.8477089747236539,0.4,1.0,1.0,1.0,0.2972580720705022,0.6284144899585095
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,2000,condition_score_v2_calibrated_residual,primary_candidate,37,-0.3639165481270744,-0.6230164047200025,-0.03285405677610698,-0.3928566669372681,-0.6432515481578203,-0.06654802928758755,0.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,2000,early_layer_prior,baseline,37,-0.49762920815552386,-0.713696174540893,-0.19508986109398174,-0.5983832719951374,-0.777552946634944,-0.3293489376716979,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,2000,legacy_scaled_jvp_ratio,baseline,37,0.4793741109530583,0.17191980705873863,0.7017287898561798,0.31306295796146427,-0.024584514917938356,0.5865987862885877,0.6,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,2000,theory_sign_composite,baseline,37,-0.5049786628733997,-0.7184788591121143,-0.20451439293835166,-0.18120391698909066,-0.486720910815009,0.16381058159824347,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,2000,source_observed_drift_positive_control,positive_control,21,0.47792207792207797,0.02509042219262269,0.7680190319260441,0.5051589022833938,0.060940846317323896,0.7823502863930922,0.6,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,5000,condition_score_v2_calibrated_residual,primary_candidate,37,0.5789473684210525,0.3025742511875276,0.7655157999148584,0.2899817912054663,-0.049939098175221734,0.5696965297726654,0.8,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,5000,early_layer_prior,baseline,37,0.1780464675201517,-0.16698404760808191,0.48422716503102264,-0.11584328133504082,-0.4340635279583354,0.22807829689907613,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,5000,legacy_scaled_jvp_ratio,baseline,37,-0.4684684684684684,-0.6945190654157428,-0.15823838561943127,-0.3322048253493969,-0.6004378569930124,0.0032224916968307533,0.2,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,5000,theory_sign_composite,baseline,37,0.3193456614509246,-0.017606946467585885,0.5911586963721918,0.34873884317522347,0.015478965686901092,0.6122635782111088,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,5000,source_observed_drift_positive_control,positive_control,21,0.7194805194805195,0.3896396303893761,0.8857313201189204,0.8034748912223432,0.5463393401086748,0.9221985277850182,0.6,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,10000,condition_score_v2_calibrated_residual,primary_candidate,37,0.3610715979137031,0.02958191192685477,0.6210082956797696,0.03353261375217372,-0.3049624781967559,0.3645057438493374,0.4,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,10000,early_layer_prior,baseline,37,-0.2117117117117117,-0.5105620997341993,0.13277574441161774,-0.5374719688105594,-0.7393847873599877,-0.2468604471300022,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,10000,legacy_scaled_jvp_ratio,baseline,37,-0.3556187766714082,-0.6171498582512048,-0.023330096885013137,-0.1508286287373392,-0.4625223203953295,0.19404670915995434,0.6,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,10000,theory_sign_composite,baseline,37,0.29990516832622094,-0.039091730053721505,0.5769924959917699,0.2878841869374449,-0.05222179422339708,0.5681486424777792,0.2,,1.0,,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,5000,10000,source_observed_drift_positive_control,positive_control,21,0.4194805194805195,-0.048093495640037426,0.7362559146177178,0.6165135685618996,0.22048829926755645,0.8380401823199771,0.4,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,10000,2000,condition_score_v2_calibrated_residual,primary_candidate,37,-0.3067804646752015,-0.5820216206832886,0.03152910832940181,-0.3591393387543225,-0.6196424612521337,-0.027363550861634583,0.0,1.0,1.0,1.0,-0.1179271321515482,0.6101643131658269
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,10000,2000,early_layer_prior,baseline,37,-0.3688952110004741,-0.6265223966946966,-0.03859743846913135,-0.5021295008974832,-0.7166271496912936,-0.20085416240671383,0.0,,1.0,,-0.1179271321515482,0.6101643131658269
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,10000,2000,legacy_scaled_jvp_ratio,baseline,37,0.4300616405879563,0.11098614475999438,0.6687616039909141,0.32530915683300515,-0.010953389287008862,0.5954709145641633,0.6,1.0,1.0,1.0,-0.1179271321515482,0.6101643131658269
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,10000,2000,theory_sign_composite,baseline,37,-0.49407302038880985,-0.7113747170183221,-0.19054957352577734,-0.22831836809077566,-0.5233495317802712,0.11559341311579145,0.0,,1.0,,-0.1179271321515482,0.6101643131658269
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,10000,2000,source_observed_drift_positive_control,positive_control,21,0.5246753246753247,0.08735404513743451,0.7924418918052826,0.4895177968047166,0.04021220287286235,0.774156098557613,0.4,1.0,1.0,1.0,-0.1179271321515482,0.6101643131658269
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,10000,5000,condition_score_v2_calibrated_residual,primary_candidate,37,0.5962541488857278,0.3263946259908324,0.7762407001579285,0.3328170111625362,-0.0025342123686765933,0.6008778157611837,0.8,1.0,1.0,1.0,-0.1179271321515482,0.6101643131658269
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,10000,5000,early_layer_prior,baseline,37,0.2515410146989094,-0.09121556970890804,0.5410113053458379,-0.02335120522369774,-0.35563722546222576,0.31417560207525963,0.0,,1.0,,-0.1179271321515482,0.6101643131658269
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,10000,5000,legacy_scaled_jvp_ratio,baseline,37,-0.4935988620199146,-0.7110648306708596,-0.18994518137235764,-0.3450508272352954,-0.6096359544548653,-0.011287186268473907,0.2,1.0,1.0,1.0,-0.1179271321515482,0.6101643131658269
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,10000,5000,theory_sign_composite,baseline,37,0.33475580844001895,-0.00035232776137717706,0.6022700977746319,0.3384948854624669,0.0038645860511764118,0.6049506021322277,0.0,,1.0,,-0.1179271321515482,0.6101643131658269
primary_heldout_architecture_resnet34,primary_heldout_architecture,ResNet34 CIFAR-100-LT held-out architecture,10000,5000,source_observed_drift_positive_control,positive_control,21,0.7220779220779221,0.39421514101003535,0.8868906242468235,0.834453020994368,0.6090635008301145,0.9351354131815112,0.6,1.0,1.0,1.0,-0.1179271321515482,0.6101643131658269
