group_type,problem_family,base_setting,source_algo,checkpoint_step,metric,n_pairs,switched_better_pairs,mean_signed_switched_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_switched_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta_switched_minus_own,delta_ci95_low,delta_ci95_high
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0,loss_after,5,5,0.11795799800898288,0.10151940584148314,0.13439659017648262,0.11735529158381962,0.10191192214115302,0.13513889418794456,5,-0.00012394443557112167,-0.00012785032954692782,-0.00012003854159531552
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Muon,0,recovery_after,5,5,0.3491496400453916,0.32279203285492086,0.3755072472358624,0.34863857137485493,0.3234569130673691,0.3757806636365932,5,-0.6231237728507664,-0.6484167467358716,-0.5978307989656612
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Muon,1,total_decrease,5,5,10.139414832152122,8.780865641362023,11.49796402294222,10.094532326588297,8.871179394757085,11.486588012498014,5,0.00012110915124265837,0.00011905483677593441,0.00012316346570938233
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Muon,1,loss_after,5,5,0.13757089790045962,0.09768071737730327,0.17746107842361597,0.13470397234718862,0.10152469561828328,0.17872656554751043,5,-0.00012110915124265837,-0.00012316346570938233,-0.00011905483677593441
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Muon,1,recovery_after,5,5,0.3735683536633417,0.3221892330022333,0.42494747432445007,0.3718045282516728,0.3252179116429324,0.4250645560390468,5,-0.5997829465327449,-0.6500165504043551,-0.5495493426611346
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Muon,3,total_decrease,5,5,11.375003319848664,10.093824947826795,12.656181691870534,11.339137376275572,10.166169324364086,12.647441955339687,5,0.00012509312960653802,0.00012055099849265998,0.00012963526072041606
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Muon,3,loss_after,5,5,0.10979892660688084,0.08785071901466376,0.13174713419909792,0.10871648150774846,0.08961120824984325,0.13189503391664495,5,-0.00012509312960653802,-0.00012963526072041606,-0.00012055099849265996
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+02,Muon,3,recovery_after,5,5,0.3454802688530519,0.3093872869564343,0.38157325074966947,0.3445306945483269,0.31104003359464505,0.3816274005443528,5,-0.6266245355694512,-0.6608035844614036,-0.5924454866774987
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0,total_decrease,5,0,0.08304206536580287,0.06946960332428527,0.09661452740732047,0.08242473615127162,0.06934222546464221,0.09797546998359517,5,-0.00011796181869661539,-0.00012377033389966615,-0.00011215330349356463
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0,loss_after,5,0,11.603589481072868,9.206487665945142,14.000691296200594,11.479282831951505,9.376562884190434,14.053543495998621,5,0.00011796181869661539,0.00011215330349356464,0.00012377033389966615
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Adam,0,recovery_after,5,0,3.3855136343264802,3.1068605110794465,3.664166757573514,3.3796759076441125,3.116179680757784,3.665452705195881,5,0.6783343467200913,0.6515193538811681,0.7051493395590145
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Adam,1,total_decrease,5,0,0.18741004203548134,0.15417144583627013,0.22064863823469255,0.18569693522918135,0.15299158557843598,0.2253937798156343,5,-0.00010192691686055459,-0.00010833322959376825,-9.552060412734092e-05
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Adam,1,loss_after,5,0,10.200632448916101,7.769891937828897,12.631372960003306,10.056458357095389,7.9722134839300605,12.68560543340323,5,0.00010192691686055459,9.552060412734092e-05,0.00010833322959376825
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Adam,1,recovery_after,5,0,3.186527468742082,2.8775273956160787,3.495527541868085,3.1789463266879907,2.890188158797305,3.4965542700750523,5,0.6211952199019065,0.5809772980055917,0.6614131417982213
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Adam,3,total_decrease,5,0,0.447226759822325,0.37269744210755473,0.5217560775370953,0.4439065737864569,0.374180534777028,0.5266255936275623,5,-5.125570822324244e-05,-6.196417801903763e-05,-4.054723842744725e-05
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Adam,3,loss_after,5,0,5.699933631716976,3.748989513263271,7.6508777501706815,5.534362758939847,3.959694240473147,7.735236431760542,5,5.125570822324244e-05,4.054723842744725e-05,6.196417801903763e-05
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Adam,3,recovery_after,5,0,2.441034195903169,2.0722320543608657,2.8098363374454722,2.426910173965968,2.0913081946287364,2.8163677680922303,5,0.4081131155024861,0.3298044525913213,0.48642177841365086
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0,total_decrease,5,5,12.230107862731302,9.9990829736585,14.461132751804104,12.132280267961432,10.206636417946635,14.421227373354245,5,0.00011796181869661539,0.00011215330349356463,0.00012377033389966615
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0,loss_after,5,5,0.0880259842504714,0.07071865473981795,0.10533331376112484,0.08711345600934181,0.07115643113672533,0.1066488874815816,5,-0.00011796181869661539,-0.00012377033389966615,-0.00011215330349356464
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Muon,0,recovery_after,5,5,0.2963873023593642,0.2727142219788991,0.32006038273982934,0.2958863593216768,0.272817597286816,0.32090575719203157,5,-0.6783343467200913,-0.7051493395590145,-0.6515193538811681
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Muon,1,total_decrease,5,5,12.609246661670218,9.992157726531314,15.226335596809122,12.478748672103254,10.249669223490509,15.192604271037034,5,0.00011742970228497662,0.00011111383462740846,0.0001237455699425448
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Muon,1,loss_after,5,5,0.09201121566603751,0.05840480881757229,0.12561762251450273,0.08865106374685358,0.060269154563349414,0.13039856225605462,5,-0.00011742970228497662,-0.0001237455699425448,-0.00011111383462740845
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Muon,1,recovery_after,5,5,0.3029628210003977,0.25406705296649684,0.3518585890342985,0.3009183129882828,0.25601784734523625,0.3536934320426745,5,-0.6720630541682149,-0.722997477193575,-0.6211286311428548
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Muon,3,total_decrease,5,5,14.132522500748788,11.518536189070435,16.74650881242714,14.014992706802673,11.743953231616553,16.725204596603707,5,0.00012093553363770723,0.00011406276019436383,0.00012780830708105062
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Muon,3,loss_after,5,5,0.06522077049319182,0.047097960316583476,0.08334358066980016,0.06387802675945109,0.0479753353257323,0.08505208509699701,5,-0.00012093553363770723,-0.00012780830708105062,-0.00011406276019436383
setting_source_checkpoint,MatrixFactorizationInput,MF input kappa=1e+05,Muon,3,recovery_after,5,5,0.2645631115129717,0.2307543952711334,0.29837182775480997,0.2634644425130178,0.23224687104190592,0.29887813841061617,5,-0.708998689742218,-0.7439879548015914,-0.6740094246828446
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0,total_decrease,5,5,1.0655525214524857,1.0531097166230474,1.077995326281924,1.0655147223642834,1.0531207532035154,1.0780545536886168,5,0.0006603385108762509,0.0005483226976774043,0.0007723543240750975
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0,loss_after,5,5,0.7246458002005525,0.6766775541555519,0.7726140462455531,0.723824362936104,0.6775456211026125,0.7732641051199565,5,-0.0006603385108762515,-0.0007723543240750974,-0.0005483226976774055
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Adam,0,recovery_after,5,5,0.9640609153933697,0.9559359601287015,0.9721858706580379,0.9640431045981638,0.9559377869526285,0.9722171465634525,5,-0.0422968979437659,-0.05267927457410792,-0.03191452131342388
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Adam,1,total_decrease,5,5,8.665001828765956,5.772829477083236,11.557174180448676,8.413110113185512,5.995776203373384,11.805047315935738,5,0.002357363714023194,0.002184847349125774,0.0025298800789206144
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Adam,1,loss_after,5,5,0.018541689935056435,0.01594370320778654,0.02113967666232633,0.018449671988809677,0.016076530844726256,0.021173124959750267,5,-0.002357363714023194,-0.0025298800789206144,-0.002184847349125774
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Adam,1,recovery_after,5,5,0.9456098826968029,0.9396546596337536,0.9515651057598522,0.945600138425018,0.9396578643696366,0.9515799906482497,5,-0.0639242744504549,-0.0720520164559385,-0.05579653244497129
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Adam,3,total_decrease,5,5,1.20689510233403,1.1258492093446197,1.2879409953234402,1.2055298894802728,1.1291008369413793,1.2871324392666013,5,0.0005500918043699434,0.00038859209534808327,0.0007115915133918036
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Adam,3,loss_after,5,5,0.7722304824099759,0.719718919580116,0.8247420452398359,0.771285323092668,0.7198201369144173,0.82643013040477,5,-0.0005500918043699435,-0.0007115915133918037,-0.0003885920953480834
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Adam,3,recovery_after,5,5,0.9947626572136711,0.9915731986827386,0.9979521157446035,0.9947599989555446,0.9915713435706908,0.9979589082905849,5,-0.006187530089079107,-0.010099512334909314,-0.0022755478432489006
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0,total_decrease,5,0,0.9385469178024366,0.9275484394370133,0.9495453961678599,0.9385135456233661,0.9275968424589004,0.949558725301039,5,-0.0006603385108762509,-0.0007723543240750975,-0.0005483226976774043
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0,loss_after,5,0,1.383113084643399,1.2920296631299153,1.4741965061568827,1.3815506236120927,1.2932192162791134,1.4759153758128307,5,0.0006603385108762515,0.0005483226976774055,0.0007723543240750974
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Muon,0,recovery_after,5,0,1.0373172227802498,1.0285458999033934,1.0460885456571063,1.0372980162716106,1.0285767984392715,1.0460931805905846,5,0.0422968979437659,0.03191452131342388,0.05267927457410792
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Muon,1,total_decrease,5,0,0.8669399600202995,0.8538104337415013,0.8800694862990976,0.8668884173330065,0.8538681165850162,0.8801072595516002,5,-0.0010103050172571972,-0.0011150208116154081,-0.0009055892228989862
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Muon,1,loss_after,5,0,1.5831801888988248,1.5020552133444671,1.6643051644531826,1.582104545953329,1.5032110724518242,1.6651386090734162,5,0.0010103050172571974,0.0009055892228989864,0.0011150208116154083
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Muon,1,recovery_after,5,0,1.0445276979126878,1.0358496870159357,1.05320570880944,1.0445090006860067,1.0358706133765905,1.0532194256942857,5,0.05046028145418506,0.0400851054746819,0.06083545743368822
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Muon,3,total_decrease,5,0,0.43172705210421364,0.36480767516581164,0.49864642904261564,0.42911089449451,0.36856523289816345,0.499602630247971,5,-0.0016254668735212938,-0.0017754567270877111,-0.0014754770199548765
setting_source_checkpoint,MatrixSensing,Matrix sensing kappa=1e+02,Muon,3,loss_after,5,0,1.9425269291434464,1.7693211349697384,2.1157327233171546,1.9384800265956932,1.771816163262613,2.120820935841911,5,0.0016254668735212938,0.0014754770199548765,0.0017754567270877111
