seed,geometry,head_classes,tail_classes,head_train_examples,tail_train_examples,tail_eval_examples,warmup_steps,hidden_dim,head_loss_before,head_loss_after,actual_head_loss_decrease,actual_head_gain_relative_error,matched_first_order_head_gain,tail_loss_before,tail_loss_after,tail_loss_increase,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop,tail_margin_before,tail_margin_after,tail_margin_drop,tail_positive_margin_fraction_before,tail_margin_certified_preserved_fraction,tail_prediction_changed_fraction,tail_positive_margin_prediction_changed_fraction,tail_output_drift_fro,tail_output_drift_rms,centered_tail_output_drift_fro,true_logit_delta_fro,competitor_logit_delta_fro,margin_delta_fro,margin_delta_rms,tail_output_jvp_fro,tail_output_linearization_residual_fro,tail_output_linearization_relative_error,update_fro_norm,update_op_norm,step_size,alignment,nrG,stA_tail,condition_score_tail,target_head_gain_fraction
5,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.094119196956149,0.0936504542874265,0.0004687426687225,0.0039382317702493,0.0004705959847807,12.176572461421912,12.178287814457663,0.0017153530357525,0.19,0.19,0.0,-11.177556862982527,-11.180901112612252,0.0033442496297233,0.19,1.0,0.005,0.0,0.1687489940539439,0.0037733422183932,0.1687468653004726,0.0122275705280047,0.0765953054710243,0.0805248054923393,0.005693963601736,0.168748773251614,2.528071126276378e-06,1.498127113793521e-05,0.0012511402893038,0.0010959323425432,0.0012511402893038,0.3761336668668846,3.4616140268261626,1.235244288640418,2.779311788202929,0.005
5,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.094119196956149,0.0936501132797836,0.0004690836763654,0.0032136024620623,0.0004705959847807,12.176572461421912,12.177960852267171,0.0013883908452587,0.19,0.19,0.0,-11.177556862982527,-11.180379453948513,0.0028225909659838,0.19,1.0,0.0,0.0,0.1177899410088768,0.0026338631516153,0.1177499664916256,0.0198404546570221,0.0582201930426733,0.0656664782486169,0.0046433212066235,0.1177885276564776,1.515270870417916e-05,0.0001286433322977,0.0037050390654153,0.000571699939534,0.000571699939534,0.8231520632385043,3.4616140268261626,1.235244288640418,2.779311788202929,0.005
6,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1419396145581634,0.1412328218788609,0.0007067926793024,0.0040938444103488,0.0007096980727908,11.464374371250493,11.464198471998952,-0.0001758992515412,0.19,0.19,0.0,-10.452985597780057,-10.453027203871924,4.1606091867762984e-05,0.19,1.0,0.01,0.0,0.1327363329248454,0.0029680746350399,0.1327275485663645,0.0081730171912198,0.058685990979161,0.058657468830605,0.0041477093977359,0.1327364553354789,7.607344697442793e-07,5.731164568328984e-06,0.0009145576054695,0.0008556729967391,0.0009145576054695,0.7760014990268526,2.301656995858925,1.230362606086305,1.86072929842807,0.005
6,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1419396145581634,0.1412321164604546,0.0007074980977087,0.0030998746740388,0.0007096980727908,11.464374371250493,11.464169971243107,-0.0002044000073855,0.19,0.19,0.0,-10.452985597780057,-10.453197972088203,0.0002123743081483,0.19,1.0,0.01,0.0,0.1031203851519233,0.0023058419106566,0.1030778958572578,0.0186356060481606,0.0463555943761499,0.0490558682836161,0.0034687737120339,0.103121753269772,1.2867243341814634e-05,0.000124777197185,0.0033257643328505,0.0005131765777432,0.0005131765777432,1.3829510222616856,2.301656995858925,1.230362606086305,1.86072929842807,0.005
7,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0978575678847014,0.0973706604648495,0.0004869074198519,0.0048650699645148,0.0004892878394235,12.198531688275327,12.199094774627913,0.0005630863525851,0.19,0.19,0.0,-11.235379752294689,-11.236701224404063,0.0013214721093763,0.19,1.0,0.0,0.0,0.1594324045397324,0.0035650169436708,0.1594227328543537,0.0195113091049684,0.0632983932165524,0.0647171525170909,0.0045761937403919,0.159433086080403,3.7479747932863826e-06,2.350813677028279e-05,0.0013008998286078,0.0010746255184173,0.0013008998286078,0.3761149234273587,3.694907423363549,1.2339769189352914,2.9802341764306206,0.005
7,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.0978575678847014,0.0973700296379447,0.0004875382467567,0.0035757942990384,0.0004892878394235,12.198531688275327,12.198987541206272,0.0004558529309441,0.19,0.19,0.0,-11.235379752294689,-11.236784111311971,0.0014043590172825,0.19,1.0,0.0,0.0,0.1178701589296494,0.002635656878854,0.1177990921569707,0.0229915371866234,0.056291895935696,0.0604125809617093,0.0042718145667006,0.1178709988754626,1.5089283089142584e-05,0.0001280152304901,0.0036897886706103,0.0005693467525273,0.0005693467525273,0.8593846144753516,3.694907423363549,1.2339769189352914,2.9802341764306206,0.005
8,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1839419293320564,0.1830267050436763,0.0009152242883801,0.0048769286007296,0.0009197096466602,11.68852313087508,11.686484097371116,-0.0020390335039621,0.19,0.19,0.0,-10.713790814248428,-10.71243210815212,-0.0013587060963082,0.19,1.0,0.0,0.0,0.2684505726277589,0.0060027372899441,0.2683914788174453,0.0404983177906637,0.0609482535516444,0.0634183789705026,0.00448435658219,0.2684570083210614,9.92552485805412e-06,3.697249298920771e-05,0.0020287223800773,0.0017151023570918,0.0020287223800773,0.453344260255661,3.048577377933989,1.2323668542525548,2.4734219969558975,0.005
8,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1839419293320564,0.1830260047920948,0.0009159245399615,0.0041155452837691,0.0009197096466602,11.68852313087508,11.687785403884757,-0.000737726990323,0.19,0.19,0.0,-10.713790814248428,-10.714051399926744,0.0002605856783173,0.19,1.0,0.0,0.0,0.186468266019365,0.0041695571846581,0.1862073504190135,0.0416276729709533,0.0551257532300288,0.0636272673736141,0.0044991272228252,0.1864729619680188,3.802404796853362e-05,0.0002039118570715,0.0059284902985377,0.0009147859132821,0.0009147859132821,1.005382388717019,3.048577377933989,1.2323668542525548,2.4734219969558975,0.005
9,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1292894677908474,0.1286463793144822,0.0006430884763652,0.0051958796742892,0.0006464473389542,11.775788464259584,11.776100894335126,0.0003124300755423,0.195,0.195,0.0,-10.648470990167068,-10.650036683318511,0.0015656931514449,0.195,1.0,0.0,0.0,0.1753385842641685,0.0039206899349325,0.175322358242633,0.0275986433071211,0.058815280138622,0.0684227693287892,0.0048382204179949,0.175336698255608,4.52191271640639e-06,2.578988176117181e-05,0.0013946061842216,0.0011921896929049,0.0013946061842216,0.4635339684192043,3.603759236203245,1.235594004113368,2.899009807917953,0.005
9,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1292894677908474,0.1286452520003659,0.0006442157904814,0.0034520189631502,0.0006464473389542,11.775788464259584,11.776042694346849,0.0002542300872647,0.195,0.195,0.0,-10.648470990167068,-10.64994048324122,0.0014694930741505,0.195,1.0,0.0,0.0,0.1144641409780602,0.0025594960021306,0.114422177564679,0.0287344758526292,0.0452360681992421,0.0575602473492537,0.0040701241227432,0.1144623002169713,1.7163796160548934e-05,0.0001499515222742,0.0039057589514435,0.0006026716903521,0.0006026716903521,1.0726359795936116,3.603759236203245,1.235594004113368,2.899009807917953,0.005
10,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1505008044848245,0.1497535315875696,0.0007472728972549,0.0069516241951356,0.0007525040224241,11.757396146541543,11.758746030390434,0.0013498838488903,0.185,0.185,0.0,-10.906409487102014,-10.909788446789232,0.0033789596872182,0.185,1.0,0.0,0.0,0.1823795128115764,0.0040781298834997,0.1823666503451128,0.0313719290034088,0.0827632655292805,0.0951876158243098,0.0067307808634349,0.1823756430458687,4.21562928755886e-06,2.311508936803912e-05,0.0013645481885,0.0012850846888563,0.0013645481885,0.5514675324520951,2.9092876836213986,1.236805975447682,2.317769168102913,0.005
10,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1505008044848245,0.1497518612483808,0.0007489432364436,0.0047319162081716,0.0007525040224241,11.757396146541543,11.758931408512092,0.0015352619705488,0.185,0.185,0.0,-10.906409487102014,-10.9094883358841,0.0030788487820849,0.185,1.0,0.0,0.0,0.1379612066626163,0.003084906363555,0.1378847034570084,0.0276826545302114,0.0720304205924899,0.0814315988064637,0.0057580835718912,0.1379634569379526,2.501420564678777e-05,0.0001813103716155,0.0047222177011643,0.0007286540105399,0.0007286540105399,1.032731600374365,2.9092876836213986,1.236805975447682,2.317769168102913,0.005
11,frobenius,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1507004097549547,0.1499514452869049,0.0007489644680497,0.0060219885697292,0.0007535020487747,12.336867973568353,12.338285471013318,0.0014174974449669,0.2,0.2,0.0,-11.442906104689582,-11.446317918955032,0.0034118142654513,0.2,1.0,0.005,0.0,0.2097250433554118,0.0046895945352679,0.2097158776714228,0.040874096516081,0.082775245302906,0.0980693502920667,0.0069345502618079,0.2097258741191825,2.802136548038479e-06,1.3360948236868892e-05,0.0015116097997954,0.0013777258739998,0.0015116097997954,0.4984765571622623,3.295597088971876,1.2321490716387244,2.6400486964944374,0.005
11,spectral,"0,1,2,3,4","5,6,7,8,9",500,200,200,80,32,0.1507004097549547,0.1499508018088218,0.0007496079461328,0.0051680053800165,0.0007535020487747,12.336867973568353,12.337616285250736,0.0007483116823863,0.2,0.2,0.0,-11.442906104689582,-11.445093514039735,0.002187409350153,0.2,1.0,0.005,0.0,0.1468421546883782,0.0032834903984575,0.1467309655397369,0.0316016503277598,0.0695114763814035,0.0766732007547377,0.0054216140188952,0.1468497898797102,2.510202935486272e-05,0.0001709367740697,0.0048032262625482,0.0007411539029371,0.0007411539029371,1.0166607040571982,3.295597088971876,1.2321490716387244,2.6400486964944374,0.005
