problem_family,base_setting,seed,source_algo,checkpoint_step,checkpoint_loss,continuation_horizon,continuation_variant,continuation_algo,continuation_lr,loss_before,loss_after,total_decrease,recovery_after,finite
MatrixFactorizationInput,MF input kappa=1e+02,4,Muon,3,0.0001461819939042717,30,own_fresh,Muon,0.003,0.0001461819939042717,0.00013001202913505915,1.616996476921256e-05,0.9447662690016765,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Muon,3,0.0001461819939042717,30,own_fresh,Muon,0.01,0.0001461819939042717,3.606040616959926e-06,0.00014257595328731178,0.1745736689749833,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Muon,3,0.0001461819939042717,30,own_fresh,Muon,0.03,0.0001461819939042717,3.166606237825854e-06,0.00014301538766644585,0.1408356605929613,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Muon,3,0.0001461819939042717,30,switched_fresh,Adam,0.003,0.0001461819939042717,8.253954450010929e-06,0.0001379280394542608,0.24962871856655755,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Muon,3,0.0001461819939042717,30,switched_fresh,Adam,0.01,0.0001461819939042717,1.8001752768291714e-06,0.00014438181862744254,0.11327384286342784,True
MatrixFactorizationInput,MF input kappa=1e+02,4,Muon,3,0.0001461819939042717,30,switched_fresh,Adam,0.03,0.0001461819939042717,2.470342075920096e-06,0.0001437116518283516,0.132239347556097,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Adam,3,0.00010715205266183104,30,own_fresh,Adam,0.003,0.00010715205266183104,1.655243225967815e-06,0.00010549680943586322,0.11506101313561573,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Adam,3,0.00010715205266183104,30,own_fresh,Adam,0.01,0.00010715205266183104,6.67498599827766e-07,0.00010648455406200327,0.07190353752379929,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Adam,3,0.00010715205266183104,30,own_fresh,Adam,0.03,0.00010715205266183104,2.028455395236209e-06,0.00010512359726659483,0.12249072427924236,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Adam,3,0.00010715205266183104,30,switched_fresh,Muon,0.003,0.00010715205266183104,5.522405329827402e-05,5.1927999363557016e-05,0.6659543316389233,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Adam,3,0.00010715205266183104,30,switched_fresh,Muon,0.01,0.00010715205266183104,1.0976779643644052e-06,0.00010605437469746663,0.08675770048213675,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Adam,3,0.00010715205266183104,30,switched_fresh,Muon,0.03,0.00010715205266183104,4.1018018271121465e-06,0.00010305025083471889,0.16824436258369124,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Muon,3,0.00013686761900357628,30,own_fresh,Muon,0.003,0.00013686761900357628,0.00012034984139988844,1.651777760368784e-05,0.9394092430023053,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Muon,3,0.00013686761900357628,30,own_fresh,Muon,0.01,0.00013686761900357628,1.6705556716642013e-06,0.00013519706333191208,0.12387662154797578,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Muon,3,0.00013686761900357628,30,own_fresh,Muon,0.03,0.00013686761900357628,4.160823769013747e-06,0.00013270679523456254,0.16798803084581918,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Muon,3,0.00013686761900357628,30,switched_fresh,Adam,0.003,0.00013686761900357628,3.5533972359890782e-06,0.0001333142217675872,0.17801981410765746,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Muon,3,0.00013686761900357628,30,switched_fresh,Adam,0.01,0.00013686761900357628,1.110378602747413e-06,0.00013575724040082888,0.09460978041538204,True
MatrixFactorizationInput,MF input kappa=1e+05,0,Muon,3,0.00013686761900357628,30,switched_fresh,Adam,0.03,0.00013686761900357628,5.780463993940957e-06,0.0001310871550096353,0.2033085135205796,True
MatrixFactorizationInput,MF input kappa=1e+05,1,Adam,3,9.926173248917421e-05,30,own_fresh,Adam,0.003,9.926173248917421e-05,1.0916025548401157e-06,9.81701299343341e-05,0.08933555220022675,True
