problem_family,base_setting,seed,source_algo,checkpoint_step,checkpoint_loss,continuation_horizon,continuation_variant,continuation_algo,continuation_lr,loss_before,loss_after,total_decrease,recovery_after,finite
SmallMLPDigits,Small MLP digits hidden=16,1,Adam,3,2.289549028796929,30,switched_fresh,Muon,0.03,2.289549028796929,1.422474197562468,0.8670748312344609,0.0986328125,True
SmallMLPDigits,Small MLP digits hidden=16,2,Adam,3,2.2840285278215364,30,own_fresh,Adam,0.03,2.2840285278215364,0.4039946442145844,1.8800338836069521,0.103515625,True
SmallMLPDigits,Small MLP digits hidden=16,2,Adam,3,2.2840285278215364,30,switched_fresh,Muon,0.03,2.2840285278215364,1.4595573615551247,0.8244711662664117,0.1162109375,True
SmallMLPDigits,Small MLP digits hidden=16,3,Adam,3,2.286018651918292,30,own_fresh,Adam,0.03,2.286018651918292,0.2794078061903976,2.0066108457278946,0.1005859375,True
SmallMLPDigits,Small MLP digits hidden=16,3,Adam,3,2.286018651918292,30,switched_fresh,Muon,0.03,2.286018651918292,1.4205140987265632,0.8655045531917289,0.140625,True
SmallMLPDigits,Small MLP digits hidden=16,4,Adam,3,2.2894376219604453,30,own_fresh,Adam,0.03,2.2894376219604453,0.48671476656870893,1.8027228553917363,0.13671875,True
SmallMLPDigits,Small MLP digits hidden=16,4,Adam,3,2.2894376219604453,30,switched_fresh,Muon,0.03,2.2894376219604453,1.4932749049045482,0.7961627170558971,0.203125,True
SmallMLPDigits,Small MLP digits hidden=16,0,Muon,3,2.3005820382248823,30,own_fresh,Muon,0.03,2.3005820382248823,1.4814199035848048,0.8191621346400775,0.083984375,True
SmallMLPDigits,Small MLP digits hidden=16,0,Muon,3,2.3005820382248823,30,switched_fresh,Adam,0.03,2.3005820382248823,0.23041295932327807,2.0701690789016043,0.0693359375,True
SmallMLPDigits,Small MLP digits hidden=16,1,Muon,3,2.300705702569859,30,own_fresh,Muon,0.03,2.300705702569859,1.5105557667099836,0.7901499358598754,0.0869140625,True
SmallMLPDigits,Small MLP digits hidden=16,1,Muon,3,2.300705702569859,30,switched_fresh,Adam,0.03,2.300705702569859,0.26108441666624266,2.0396212859036162,0.0712890625,True
SmallMLPDigits,Small MLP digits hidden=16,2,Muon,3,2.3002771282117433,30,own_fresh,Muon,0.03,2.3002771282117433,1.531178500043343,0.7690986281684002,0.107421875,True
SmallMLPDigits,Small MLP digits hidden=16,2,Muon,3,2.3002771282117433,30,switched_fresh,Adam,0.03,2.3002771282117433,0.36380033126905986,1.9364767969426835,0.103515625,True
SmallMLPDigits,Small MLP digits hidden=16,3,Muon,3,2.3004689537592125,30,own_fresh,Muon,0.03,2.3004689537592125,1.4993169345350195,0.801152019224193,0.1279296875,True
SmallMLPDigits,Small MLP digits hidden=16,3,Muon,3,2.3004689537592125,30,switched_fresh,Adam,0.03,2.3004689537592125,0.21546436225059792,2.0850045915086146,0.091796875,True
SmallMLPDigits,Small MLP digits hidden=16,4,Muon,3,2.3007188316381137,30,own_fresh,Muon,0.03,2.3007188316381137,1.5324038682103942,0.7683149634277195,0.1396484375,True
SmallMLPDigits,Small MLP digits hidden=16,4,Muon,3,2.3007188316381137,30,switched_fresh,Adam,0.03,2.3007188316381137,0.3686241890084174,1.9320946426296963,0.103515625,True
SmallMLPDigits,Small MLP digits hidden=64,0,Adam,3,2.26216288036547,30,own_fresh,Adam,0.03,2.26216288036547,0.1701593046360709,2.092003575729399,0.0439453125,True
SmallMLPDigits,Small MLP digits hidden=64,0,Adam,3,2.26216288036547,30,switched_fresh,Muon,0.03,2.26216288036547,1.2495228868342108,1.012639993531259,0.08203125,True
SmallMLPDigits,Small MLP digits hidden=64,1,Adam,3,2.248834901400788,30,own_fresh,Adam,0.03,2.248834901400788,0.14347526016776316,2.1053596412330244,0.0478515625,True
SmallMLPDigits,Small MLP digits hidden=64,1,Adam,3,2.248834901400788,30,switched_fresh,Muon,0.03,2.248834901400788,1.2545523247271777,0.9942825766736101,0.0859375,True
SmallMLPDigits,Small MLP digits hidden=64,2,Adam,3,2.2415724672076243,30,own_fresh,Adam,0.03,2.2415724672076243,0.1545109839517289,2.087061483255895,0.0458984375,True
SmallMLPDigits,Small MLP digits hidden=64,2,Adam,3,2.2415724672076243,30,switched_fresh,Muon,0.03,2.2415724672076243,1.27401474170028,0.9675577255073442,0.10546875,True
SmallMLPDigits,Small MLP digits hidden=64,3,Adam,3,2.2397838256804548,30,own_fresh,Adam,0.03,2.2397838256804548,0.08690999936718949,2.1528738263132654,0.046875,True
SmallMLPDigits,Small MLP digits hidden=64,3,Adam,3,2.2397838256804548,30,switched_fresh,Muon,0.03,2.2397838256804548,1.2048305314662113,1.0349532942142434,0.1298828125,True
SmallMLPDigits,Small MLP digits hidden=64,4,Adam,3,2.243545457182543,30,own_fresh,Adam,0.03,2.243545457182543,0.17700885507047584,2.066536602112067,0.0517578125,True
SmallMLPDigits,Small MLP digits hidden=64,4,Adam,3,2.243545457182543,30,switched_fresh,Muon,0.03,2.243545457182543,1.259751242625279,0.983794214557264,0.115234375,True
SmallMLPDigits,Small MLP digits hidden=64,0,Muon,3,2.298858405886954,30,own_fresh,Muon,0.03,2.298858405886954,1.460239054745647,0.8386193511413069,0.076171875,True
SmallMLPDigits,Small MLP digits hidden=64,0,Muon,3,2.298858405886954,30,switched_fresh,Adam,0.03,2.298858405886954,0.16681092692824007,2.1320474789587136,0.037109375,True
SmallMLPDigits,Small MLP digits hidden=64,1,Muon,3,2.2989807473281108,30,own_fresh,Muon,0.03,2.2989807473281108,1.4781832806372115,0.8207974666908993,0.078125,True
SmallMLPDigits,Small MLP digits hidden=64,1,Muon,3,2.2989807473281108,30,switched_fresh,Adam,0.03,2.2989807473281108,0.1571983452897561,2.1417824020383547,0.0498046875,True
SmallMLPDigits,Small MLP digits hidden=64,2,Muon,3,2.298131421878585,30,own_fresh,Muon,0.03,2.298131421878585,1.494005299110527,0.8041261227680581,0.1025390625,True
SmallMLPDigits,Small MLP digits hidden=64,2,Muon,3,2.298131421878585,30,switched_fresh,Adam,0.03,2.298131421878585,0.13858013319258425,2.159551288686001,0.04296875,True
SmallMLPDigits,Small MLP digits hidden=64,3,Muon,3,2.2981456234168167,30,own_fresh,Muon,0.03,2.2981456234168167,1.4406574860909072,0.8574881373259096,0.123046875,True
SmallMLPDigits,Small MLP digits hidden=64,3,Muon,3,2.2981456234168167,30,switched_fresh,Adam,0.03,2.2981456234168167,0.10732285379576599,2.1908227696210507,0.044921875,True
SmallMLPDigits,Small MLP digits hidden=64,4,Muon,3,2.2982374147277427,30,own_fresh,Muon,0.03,2.2982374147277427,1.482474763537342,0.8157626511904006,0.1142578125,True
SmallMLPDigits,Small MLP digits hidden=64,4,Muon,3,2.2982374147277427,30,switched_fresh,Adam,0.03,2.2982374147277427,0.19464841936542282,2.10358899536232,0.05859375,True
