problem_family,base_setting,eval_algo,target_layer_relative_norm,budget,step,update_source,points,mean_delta_loss,mean_update_grad_inner,mean_update_grad_cosine
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,fro,0,other_update,5,1.0377374462132091e-09,1.0377271037132758e-09,0.06281417743759085
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,fro,0,own_update,5,8.34153519033761e-10,8.341684839063132e-10,0.0504078366139165
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,fro,1,other_update,5,7.319087443264423e-10,7.315799236321126e-10,0.042253469063356315
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,fro,1,own_update,5,9.293031237491822e-10,9.290105559060985e-10,0.05399688715533946
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,fro,3,other_update,5,2.242181003863329e-09,2.2402830449409102e-09,0.09119572976072383
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,fro,3,own_update,5,1.9091854299043124e-09,1.908331456449447e-09,0.07783848412947078
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,fro,10,other_update,5,-4.0596167221146165e-09,-4.061870647832416e-09,-0.050883002178381674
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,fro,10,own_update,5,1.2807827448087358e-08,1.2802953871240911e-08,0.15847220201756035
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,op,0,other_update,5,5.723208922026827e-10,5.723106049266027e-10,0.07112458460804319
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,op,0,own_update,5,9.030998931590807e-10,9.031167778583676e-10,0.05457257114830157
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,op,1,other_update,5,3.9535833962125314e-10,3.9526376073956987e-10,0.04831816183631886
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,op,1,own_update,5,1.0098548674586718e-09,1.0095151726282552e-09,0.058089197268614626
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,op,3,other_update,5,1.172237144950617e-09,1.1717280130645667e-09,0.0987411897847291
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,op,3,own_update,5,2.0637040176621576e-09,2.062710286253092e-09,0.08245689875843443
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,op,10,other_update,5,-1.957424938944189e-09,-1.958011207074443e-09,-0.04692010442108317
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0001,op,10,own_update,5,1.368055743464062e-08,1.367499234584546e-08,0.16463477348390188
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,fro,0,other_update,5,3.1132753057787255e-09,3.1131813111398272e-09,0.06281417743759088
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,fro,0,own_update,5,2.5023714234474833e-09,2.5025054517189393e-09,0.0504078366139165
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,fro,1,other_update,5,2.1977013083505913e-09,2.1947397708963377e-09,0.04225346906335631
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,fro,1,own_update,5,2.789665992864376e-09,2.7870316677182945e-09,0.05399688715533944
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,fro,3,other_update,5,6.737948531515851e-09,6.72084913482273e-09,0.09119572976072383
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,fro,3,own_update,5,5.732683658137526e-09,5.72499436934834e-09,0.07783848412947078
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,fro,10,other_update,5,-1.2165330433007524e-08,-1.2185611943497247e-08,-0.050883002178381674
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,fro,10,own_update,5,3.845274007669677e-08,3.840886161372272e-08,0.15847220201756035
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,op,0,other_update,5,1.7170245149788435e-09,1.7169318147798075e-09,0.07112458460804319
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,op,0,own_update,5,2.709199147394583e-09,2.709350333575102e-09,0.05457257114830157
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,op,1,other_update,5,1.1866428156282263e-09,1.1857912822187096e-09,0.04831816183631886
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,op,1,own_update,5,3.031604261280029e-09,3.028545517884765e-09,0.058089197268614626
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,op,3,other_update,5,3.5197686676174086e-09,3.515184039193699e-09,0.0987411897847291
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,op,3,own_update,5,6.1970788520031555e-09,6.188130858759274e-09,0.08245689875843441
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,op,10,other_update,5,-5.868757604058283e-09,-5.874033621223329e-09,-0.046920104421083186
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.0003,op,10,own_update,5,4.107508276298918e-08,4.102497703753637e-08,0.1646347734839019
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,fro,0,other_update,5,1.0378350785120475e-08,1.0377271037132756e-08,0.06281417743759085
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,fro,0,own_update,5,8.340221092646272e-09,8.341684839063131e-09,0.0504078366139165
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,fro,1,other_update,5,7.348789041232646e-09,7.315799236321126e-09,0.04225346906335632
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,fro,1,own_update,5,9.319423070617204e-09,9.290105559060983e-09,0.05399688715533946
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,fro,3,other_update,5,2.2593516704294374e-08,2.2402830449409104e-08,0.09119572976072382
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,fro,3,own_update,5,1.9168888427907375e-08,1.9083314564494467e-08,0.07783848412947078
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,fro,10,other_update,5,-4.039350585365704e-08,-4.061870647832415e-08,-0.050883002178381674
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,fro,10,own_update,5,1.2851770964579533e-07,1.280295387124091e-07,0.15847220201756038
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,op,0,other_update,5,5.724140503542315e-09,5.723106049266027e-09,0.07112458460804319
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,op,0,own_update,5,9.029518068404823e-09,9.031167778583674e-09,0.05457257114830157
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,op,1,other_update,5,3.962111684747971e-09,3.9526376073957e-09,0.04831816183631886
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,op,1,own_update,5,1.0129195699408065e-08,1.0095151726282551e-08,0.058089197268614626
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,op,3,other_update,5,1.1768315539092575e-08,1.1717280130645665e-08,0.09874118978472908
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,op,3,own_update,5,2.072669670878202e-08,2.062710286253092e-08,0.08245689875843443
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,op,10,other_update,5,-1.952150513605971e-08,-1.958011207074443e-08,-0.04692010442108317
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.001,op,10,own_update,5,1.3730742827908443e-07,1.3674992345845459e-07,0.16463477348390188
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,fro,0,other_update,5,3.114243196834115e-08,3.113181311139827e-08,0.06281417743759088
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,fro,0,own_update,5,2.5012532541994264e-08,2.5025054517189392e-08,0.0504078366139165
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,fro,1,other_update,5,2.2246475385234504e-08,2.194739770896338e-08,0.04225346906335631
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,fro,1,own_update,5,2.8135388630728173e-08,2.787031667718295e-08,0.05399688715533946
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,fro,3,other_update,5,6.894264484852008e-08,6.720849134822731e-08,0.09119572976072383
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,fro,3,own_update,5,5.802364978243872e-08,5.72499436934834e-08,0.07783848412947078
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,fro,10,other_update,5,-1.1983322639473105e-07,-1.2185611943497247e-07,-0.050883002178381674
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,fro,10,own_update,5,3.8849839245189055e-07,3.8408861613722733e-07,0.15847220201756035
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,op,0,other_update,5,1.717874214552783e-08,1.716931814779808e-08,0.0711245846080432
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,op,0,own_update,5,2.7079427358377583e-08,2.7093503335751027e-08,0.05457257114830159
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,op,1,other_update,5,1.1943504493738822e-08,1.1857912822187096e-08,0.04831816183631886
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,op,1,own_update,5,3.059334055994264e-08,3.028545517884765e-08,0.058089197268614626
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,op,3,other_update,5,3.5613615450300407e-08,3.5151840391937e-08,0.0987411897847291
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,op,3,own_update,5,6.278208215590572e-08,6.188130858759275e-08,0.08245689875843443
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,op,10,other_update,5,-5.8213277545458724e-08,-5.874033621223329e-08,-0.04692010442108318
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.003,op,10,own_update,5,4.1528720053752395e-07,4.1024977037536384e-07,0.1646347734839019
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,fro,0,other_update,5,1.0392468741372233e-07,1.0377271037132756e-07,0.06281417743759087
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,fro,0,own_update,5,8.330269676576503e-08,8.341684839063131e-08,0.05040783661391651
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,fro,1,other_update,5,7.656724744110193e-08,7.315799236321126e-08,0.042253469063356315
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,fro,1,own_update,5,9.589349576709762e-08,9.290105559060982e-08,0.05399688715533944
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,fro,3,other_update,5,2.440166716147381e-07,2.2402830449409104e-07,0.09119572976072382
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,fro,3,own_update,5,1.9956891405645706e-07,1.9083314564494465e-07,0.07783848412947078
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,fro,10,other_update,5,-3.838710204512373e-07,-4.061870647832416e-07,-0.05088300217838167
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,fro,10,own_update,5,1.3299207469167478e-06,1.2802953871240911e-06,0.15847220201756038
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,op,0,other_update,5,5.7340127607407836e-08,5.7231060492660273e-08,0.07112458460804319
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,op,0,own_update,5,9.018482870597742e-08,9.031167778583675e-08,0.05457257114830159
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,op,1,other_update,5,4.04901770548118e-08,3.9526376073956994e-08,0.04831816183631886
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,op,1,own_update,5,1.0443037202967548e-07,1.0095151726282552e-07,0.058089197268614626
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,op,3,other_update,5,1.224006188902879e-07,1.1717280130645666e-07,0.0987411897847291
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,op,3,own_update,5,2.1645364674486722e-07,2.0627102862530919e-07,0.08245689875843441
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,op,10,other_update,5,-1.899613374780197e-07,-1.9580112070744433e-07,-0.046920104421083186
MatrixFactorizationInput,MF input kappa=1e+02,Muon,0.01,op,10,own_update,5,1.4242396916233092e-06,1.367499234584546e-06,0.16463477348390188
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,fro,0,other_update,5,6.697472229534509e-10,6.69765385851888e-10,0.04247488859086178
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,fro,0,own_update,5,9.300615953441744e-10,9.300766616559545e-10,0.05900176000211821
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,fro,1,other_update,5,3.5609219941538753e-09,3.5600342809178514e-09,0.07688288715045975
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,fro,1,own_update,5,1.2184437870921315e-08,1.2182574468712521e-08,0.28091875780342146
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,fro,3,other_update,5,2.1021207556901978e-08,2.101474280706279e-08,0.18239844883455597
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,fro,3,own_update,5,4.9969982953278094e-08,4.9947447458773086e-08,0.4317084583438753
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,fro,10,other_update,5,1.6799056314046483e-08,1.6849540059833575e-08,0.1841542844202468
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,fro,10,own_update,5,-5.302513879479101e-09,-5.26028471625702e-09,-0.061185548141016934
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,op,0,other_update,5,7.226396319119817e-10,7.226596441413513e-10,0.045823698377796755
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,op,0,own_update,5,4.6179454381550104e-10,4.6179583466056773e-10,0.06419207744633294
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,op,1,other_update,5,4.067448251392778e-09,4.066206804938875e-09,0.08635707032112029
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,op,1,own_update,5,6.150850263397356e-09,6.150308724379102e-09,0.3058359313018444
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,op,3,other_update,5,2.5775506183730797e-08,2.5766163898354025e-08,0.20932413941272004
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,op,3,own_update,5,2.8347363182422795e-08,2.8339920944217877e-08,0.4739232198091619
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,op,10,other_update,5,2.1053757998616488e-08,2.1129248778490806e-08,0.20351513447380545
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0001,op,10,own_update,5,-2.6197471554861316e-09,-2.6095379025166766e-09,-0.05827533059888403
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0003,fro,0,other_update,5,2.0091330829824333e-09,2.0092961575556634e-09,0.04247488859086178
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0003,fro,0,own_update,5,2.790095095684276e-09,2.7902299849678632e-09,0.05900176000211821
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0003,fro,1,other_update,5,1.0688095302297537e-08,1.0680102842753555e-08,0.07688288715045974
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0003,fro,1,own_update,5,3.6564502658477124e-08,3.654772340613756e-08,0.28091875780342146
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0003,fro,3,other_update,5,6.310240234586386e-08,6.304422842118835e-08,0.18239844883455597
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0003,fro,3,own_update,5,1.5004501670478265e-07,1.498423423763192e-07,0.4317084583438753
MatrixFactorizationInput,MF input kappa=1e+05,Adam,0.0003,fro,10,other_update,5,5.0093551114086276e-08,5.054862017950073e-08,0.18415428442024684
