problem_family,base_setting,seed,step,eval_algo,update_source,source_algo,budget,target_layer_relative_norm,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_update,Adam,fro,0.0003,0.0001532792239327137,0.00015327530370338004,3.920229333645095e-09,3.919462859388866e-09,0.08043435240671164,0.0018987553222850717
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_update,Adam,op,0.0003,0.0001532792239327137,0.00015327707385214215,2.1500805715370976e-09,2.1498675413933224e-09,0.08719779085471066,0.0009607054199868069
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_update,Adam,fro,0.001,0.0001532792239327137,0.00015326615056148517,1.3073371228514239e-08,1.3064876197962886e-08,0.08043435240671158,0.006329184407616907
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_update,Adam,op,0.001,0.0001532792239327137,0.00015327205534416017,7.16858855351961e-09,7.166225137977745e-09,0.0871977908547107,0.0032023513999560236
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_update,Adam,fro,0.003,0.0001532792239327137,0.0001532399533965857,3.927053612799562e-08,3.919462859388867e-08,0.08043435240671164,0.018987553222850718
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_update,Adam,op,0.003,0.0001532792239327137,0.00015325770407866217,2.151985405152157e-08,2.1498675413933227e-08,0.08719779085471069,0.00960705419986807
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_update,Adam,fro,0.01,0.0001532792239327137,0.0001531477528918979,1.3147104081578454e-07,1.3064876197962884e-07,0.0804343524067116,0.06329184407616906
MatrixFactorizationInput,MF input kappa=1e+02,0,0,Muon,other_update,Adam,op,0.01,0.0001532792239327137,0.0001532073299303265,7.189400238718146e-08,7.166225137977745e-08,0.08719779085471069,0.03202351399956024
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_update,Adam,fro,0.0001,0.00014960484497871958,0.0001495939236534861,1.0921325233466351e-08,1.0921417783456283e-08,0.2516108052815035,0.0006335737791592523
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_update,Adam,op,0.0001,0.00014960484497871958,0.00014959903122156547,5.813757154106468e-09,5.813687779859972e-09,0.277738751088522,0.0003055362110618736
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_update,Adam,fro,0.0003,0.00014960484497871958,0.0001495720815586197,3.2763420099884456e-08,3.276425335036885e-08,0.25161080528150354,0.0019007213374777566
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_update,Adam,op,0.0003,0.00014960484497871958,0.00014958740329112862,1.7441687590958113e-08,1.7441063339579916e-08,0.27773875108852203,0.0009166086331856208
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_update,Adam,fro,0.001,0.00014960484497871958,0.00014949564007093013,1.0920490778944811e-07,1.0921417783456283e-07,0.2516108052815036,0.006335737791592521
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_update,Adam,op,0.001,0.00014960484497871958,0.00014954670116934423,5.8143809375342656e-08,5.813687779859971e-08,0.277738751088522,0.003055362110618736
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_update,Adam,fro,0.003,0.00014960484497871958,0.00014927728617682964,3.2755880188993177e-07,3.276425335036885e-07,0.2516108052815035,0.01900721337477757
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_update,Adam,op,0.003,0.00014960484497871958,0.00014943037207821425,1.744729005053239e-07,1.7441063339579918e-07,0.2777387510885221,0.009166086331856208
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_update,Adam,fro,0.01,0.00014960484497871958,0.00014851364529354624,1.091199685173338e-06,1.0921417783456282e-06,0.2516108052815034,0.06335737791592523
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,own_update,Adam,op,0.01,0.00014960484497871958,0.00014902278890831702,5.820560704025549e-07,5.813687779859972e-07,0.277738751088522,0.030553621106187364
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_update,Muon,fro,0.0001,0.00014960484497871958,0.00014960136225359368,3.482725125897009e-09,3.481400419106937e-09,0.08020551729883986,0.0006335737791592522
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_update,Muon,op,0.0001,0.00014960484497871958,0.00014960081143675156,4.033541968012861e-09,4.031784149270179e-09,0.09080350816146189,0.0006481001288883669
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_update,Muon,fro,0.0003,0.00014960484497871958,0.00014959438884912273,1.0456129596842856e-08,1.0444201257320811e-08,0.08020551729883987,0.0019007213374777566
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_update,Muon,op,0.0003,0.00014960484497871958,0.00014959273379652293,1.2111182196640783e-08,1.2095352447810535e-08,0.09080350816146186,0.0019443003866651003
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_update,Muon,fro,0.001,0.00014960484497871958,0.0001495698982047312,3.494677398838456e-08,3.4814004191069376e-08,0.0802055172988399,0.006335737791592521
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_update,Muon,op,0.001,0.00014960484497871958,0.00014956435088599222,4.0494092727350614e-08,4.031784149270179e-08,0.09080350816146188,0.006481001288883668
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_update,Muon,fro,0.003,0.00014960484497871958,0.00014949920203866538,1.0564294005419635e-07,1.0444201257320813e-07,0.08020551729883987,0.019007213374777565
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_update,Muon,op,0.003,0.00014960484497871958,0.00014948229577681766,1.2254920190191577e-07,1.2095352447810534e-07,0.09080350816146188,0.019443003866651005
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_update,Muon,fro,0.01,0.00014960484497871958,0.0001492431259459594,3.6171903276016365e-07,3.4814004191069376e-07,0.08020551729883986,0.06335737791592523
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Adam,other_update,Muon,op,0.01,0.00014960484497871958,0.00014918356712564104,4.2127785307853236e-07,4.0317841492701785e-07,0.09080350816146186,0.0648100128888367
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_update,Muon,fro,0.0001,0.00015276069255121483,0.00015275948325936656,1.2092918482721742e-09,1.2088678965769264e-09,0.06678114128795799,0.0006313600002684303
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_update,Muon,op,0.0001,0.00015276069255121483,0.00015275938786806878,1.3046831460518122e-09,1.3041949494512448e-09,0.0711299320604502,0.0006395023966864476
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_update,Muon,fro,0.0003,0.00015276069255121483,0.00015275706212974588,3.6304214689542643e-09,3.626603689730778e-09,0.06678114128795798,0.0018940800008052908
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_update,Muon,op,0.0003,0.00015276069255121483,0.00015275677556987803,3.91698133680291e-09,3.912584848353733e-09,0.0711299320604502,0.0019185071900593422
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_update,Muon,fro,0.001,0.00015276069255121483,0.0001527485613662533,1.2131184961520353e-08,1.2088678965769265e-08,0.06678114128795799,0.006313600002684303
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_update,Muon,op,0.001,0.00015276069255121483,0.00015274760164595165,1.309090526317681e-08,1.3041949494512445e-08,0.07112993206045018,0.006395023966864477
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_update,Muon,fro,0.003,0.00015276069255121483,0.00015272404173355766,3.665081765716945e-08,3.626603689730779e-08,0.06678114128795798,0.01894080000805291
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_update,Muon,op,0.003,0.00015276069255121483,0.00015272112336518846,3.9569186026372624e-08,3.912584848353734e-08,0.07112993206045021,0.019185071900593428
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_update,Muon,fro,0.01,0.00015276069255121483,0.00015263544258334923,1.2524996786559628e-07,1.208867896576926e-07,0.06678114128795798,0.06313600002684303
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,own_update,Muon,op,0.01,0.00015276069255121483,0.00015262523906727025,1.3545348394458038e-07,1.3041949494512446e-07,0.07112993206045018,0.06395023966864476
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_update,Adam,fro,0.0001,0.00015276069255121483,0.000152759925630828,7.669203868428294e-10,7.668026940509787e-10,0.042360260535007604,0.0006313600002684303
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_update,Adam,op,0.0001,0.00015276069255121483,0.00015276027480462504,4.1774658978885847e-10,4.1771078692335574e-10,0.048334058325311034,0.0003014216792791211
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_update,Adam,fro,0.0003,0.00015276069255121483,0.0001527583910838203,2.3014673945363946e-09,2.3004080821529353e-09,0.0423602605350076,0.0018940800008052908
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_update,Adam,op,0.0003,0.00015276069255121483,0.00015275943909661704,1.253454597792891e-09,1.2531323607700669e-09,0.048334058325311034,0.0009042650378373631
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_update,Adam,fro,0.001,0.00015276069255121483,0.0001527530127511256,7.679800089242057e-09,7.668026940509786e-09,0.0423602605350076,0.006313600002684304
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_update,Adam,op,0.001,0.00015276069255121483,0.00015275651186249733,4.18068871749634e-09,4.177107869233557e-09,0.04833405832531103,0.003014216792791211
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_update,Adam,fro,0.003,0.00015276069255121483,0.00015273758243447477,2.3110116740063377e-08,2.3004080821529362e-08,0.042360260535007604,0.018940800008052913
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_update,Adam,op,0.003,0.00015276069255121483,0.00015274812898873085,1.2563562483977955e-08,1.253132360770067e-08,0.04833405832531103,0.009042650378373632
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_update,Adam,fro,0.01,0.00015276069255121483,0.00015268283106802444,7.78614831903866e-08,7.668026940509787e-08,0.04236026053500761,0.06313600002684303
MatrixFactorizationInput,MF input kappa=1e+02,0,1,Muon,other_update,Adam,op,0.01,0.00015276069255121483,0.00015271856282396464,4.2129727250193134e-08,4.177107869233558e-08,0.04833405832531104,0.03014216792791211
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_update,Adam,fro,0.0001,0.00011891317213957395,0.00011887170598247889,4.146615709505689e-08,4.1445995274163834e-08,0.38642631521354787,0.0006369904757744223
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_update,Adam,op,0.0001,0.00011891317213957395,0.0001188892529487358,2.3919190838146134e-08,2.391247154862327e-08,0.42842968056198316,0.00033148354575987494
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_update,Adam,fro,0.0003,0.00011891317213957395,0.00011878865269783897,1.2451944173497381e-07,1.2433798582249147e-07,0.38642631521354787,0.0019109714273232666
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_update,Adam,op,0.0003,0.00011891317213957395,0.00011884137425080368,7.179788877026535e-08,7.17374146458698e-08,0.42842968056198316,0.0009944506372796247
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_update,Adam,fro,0.001,0.00011891317213957395,0.00011849669606799163,4.164760715823202e-07,4.1445995274163823e-07,0.3864263152135478,0.006369904757744222
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_update,Adam,op,0.001,0.00011891317213957395,0.00011867337547343181,2.397966661421357e-07,2.391247154862327e-07,0.42842968056198316,0.003314835457598749
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_update,Adam,fro,0.003,0.00011891317213957395,0.0001176516518133864,1.2615203261875457e-06,1.2433798582249148e-06,0.3864263152135478,0.01910971427323267
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_update,Adam,op,0.003,0.00011891317213957395,0.00011818975035734569,7.234217822282569e-07,7.173741464586981e-07,0.4284296805619832,0.009944506372796248
MatrixFactorizationInput,MF input kappa=1e+02,0,3,Adam,own_update,Adam,fro,0.01,0.00011891317213957395,0.00011456762444651396,4.3455476930599854e-06,4.1445995274163825e-06,0.3864263152135478,0.06369904757744223
