group_type,problem_family,base_setting,target_layer_relative_norm,budget,eval_algo,metric,n_pairs,other_positive_pairs,other_better_pairs,mean_signed_other_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_other_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_other_minus_own,delta_ci95_low,delta_ci95_high
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.003,op,Muon,update_grad_cosine,20,15,11,0.7618171755765719,0.4755193391357556,1.048115012017388,1.0869853722467067,0.9610540207891072,1.229418090887512,15,False,False,-0.04712240221281113,-0.09052560301229068,-0.0037192014133315895
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,fro,Adam,update_grad_inner,20,20,5,0.8847081609185699,0.49585561518654725,1.2735607066505925,0.6571256633727711,0.4671813699589483,0.9242965692340182,20,False,True,-1.1127014496116726e-07,-9.731948214036898e-07,7.506545314813553e-07
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,fro,Adam,delta_loss,20,19,5,0.5827715867309898,0.3422893619554248,0.8232538115065549,0.4999153901263057,0.3713941378365237,0.6729115293552144,19,False,True,-1.7311361984958865e-07,-1.0457016106267228e-06,6.994743709275456e-07
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,fro,Adam,update_grad_cosine,20,20,5,0.8847081609185699,0.4958556151865472,1.2735607066505925,0.6571256633727711,0.4671813699589483,0.9242965692340182,20,False,True,-0.02161865958171651,-0.11586824662698023,0.07263092746354721
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,fro,Muon,update_grad_inner,20,15,11,0.7189444142746191,0.43408515698595707,1.003803671563281,1.0395107152065235,0.9106198306522089,1.1866450637861001,15,False,False,-4.1316862357622214e-07,-7.476645869298655e-07,-7.867266022257878e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,fro,Muon,delta_loss,20,15,11,0.7426586711979514,0.45867978668861664,1.026637555707286,1.0595202172351856,0.9246885171269212,1.2140121456445114,15,False,False,-4.1701206687193564e-07,-7.576522557668735e-07,-7.637187797699773e-08
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,fro,Muon,update_grad_cosine,20,15,11,0.7189444142746192,0.4340851569859572,1.0038036715632812,1.0395107152065235,0.9106198306522089,1.1866450637861001,15,False,False,-0.04883375895824944,-0.09117130994363595,-0.006496207972862926
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,op,Adam,update_grad_inner,20,20,15,2.096218165127917,1.0463850355752922,3.146051294680542,1.453283276553078,1.00573849112853,2.0999815563775015,20,True,False,6.809921365808804e-07,1.684700205466517e-07,1.193514252615109e-06
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,op,Adam,delta_loss,20,19,15,1.284842929776663,0.6543053736060669,1.9153804859472592,1.0895535628966122,0.8097538554699351,1.4660343490822416,19,False,False,4.6562025233349945e-07,7.974371167678956e-08,8.514967929902093e-07
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,op,Adam,update_grad_cosine,20,20,5,1.0400617599152207,0.49478062379269405,1.5853428960377474,0.7010335725537234,0.47847702986660173,1.0271090129121792,20,False,False,-0.02989205382375799,-0.1282389475159154,0.06845483986839943
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,op,Muon,update_grad_inner,20,15,0,0.3606128768979314,0.22132582032735992,0.4998999334685029,0.5161400460787111,0.451842692565863,0.5895869326852111,15,False,True,-4.3672608527322197e-07,-7.320118896112213e-07,-1.4144028093522261e-07
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,op,Muon,delta_loss,20,15,0,0.3622132258058892,0.22483370890667886,0.49959274270509957,0.5141923436907533,0.44835479019855956,0.589697650365461,15,False,True,-4.5125973825733537e-07,-7.561000073892502e-07,-1.4641946912542063e-07
setting_target_budget_eval,MatrixFactorizationInput,MF input kappa=1e+02,0.01,op,Muon,update_grad_cosine,20,15,11,0.7618171755765721,0.47551933913575584,1.0481150120173885,1.0869853722467067,0.9610540207891072,1.229418090887512,15,False,False,-0.04712240221281113,-0.09052560301229068,-0.0037192014133315895
