run_id,hidden_dim,target_layer_relative_update_norm,algo,seed,final_loss,final_recovery_error,initial_loss,total_loss_decrease
24,16,0.01,Adam,2,2.3020294402083494,0.755859375,2.302489903378648,0.00046046317029846406
25,16,0.01,Muon,2,2.3020983508886235,0.77734375,2.302489903378648,0.00039155249002442716
26,16,0.01,Adam,3,2.3022461786051136,0.8173828125,2.3026929964434295,0.00044681783831590494
27,16,0.01,Muon,3,2.3022646132090063,0.8388671875,2.3026929964434295,0.0004283832344231797
28,16,0.01,Adam,4,2.3021802077697275,0.8779296875,2.3027054241295115,0.0005252163597839754
29,16,0.01,Muon,4,2.3022529728775107,0.9111328125,2.3027054241295115,0.00045245125200077396
30,16,0.03,Adam,0,2.3014574616460455,0.7099609375,2.302579040308706,0.001121578662660383
31,16,0.03,Muon,0,2.3015275824600416,0.7099609375,2.302579040308706,0.0010514578486642279
32,16,0.03,Adam,1,2.3009567253493253,0.7021484375,2.3025328074664575,0.001576082117132227
33,16,0.03,Muon,1,2.3013320195224933,0.7373046875,2.3025328074664575,0.0012007879439641655
34,16,0.03,Adam,2,2.3009610791662194,0.6630859375,2.302489903378648,0.0015288242124285034
35,16,0.03,Muon,2,2.301197341172435,0.5986328125,2.302489903378648,0.0012925622062129882
36,16,0.03,Adam,3,2.3012614882156033,0.6484375,2.3026929964434295,0.001431508227826228
37,16,0.03,Muon,3,2.3014821192089925,0.6005859375,2.3026929964434295,0.0012108772344370244
38,16,0.03,Adam,4,2.3010537035755996,0.615234375,2.3027054241295115,0.0016517205539119395
39,16,0.03,Muon,4,2.301335785869953,0.5751953125,2.3027054241295115,0.0013696382595584922
40,16,0.1,Adam,0,2.2950704832092135,0.529296875,2.302579040308706,0.007508557099492386
41,16,0.1,Muon,0,2.2960685708840645,0.3857421875,2.302579040308706,0.006510469424641396
42,16,0.1,Adam,1,2.291741597215465,0.666015625,2.3025328074664575,0.010791210250992389
43,16,0.1,Muon,1,2.294885096158346,0.3115234375,2.3025328074664575,0.007647711308111482
44,16,0.1,Adam,2,2.2922101002708426,0.5859375,2.302489903378648,0.010279803107805296
45,16,0.1,Muon,2,2.2947151505209344,0.3740234375,2.302489903378648,0.007774752857713452
46,16,0.1,Adam,3,2.2936253410160994,0.751953125,2.3026929964434295,0.009067655427330124
47,16,0.1,Muon,3,2.295682024594522,0.4365234375,2.3026929964434295,0.00701097184890731
48,16,0.1,Adam,4,2.2917756322908485,0.7421875,2.3027054241295115,0.01092979183866305
49,16,0.1,Muon,4,2.2945372144658127,0.3974609375,2.3027054241295115,0.0081682096636988
50,64,0.001,Adam,0,2.302332970417701,0.9326171875,2.3026985408830147,0.0003655704653136027
