group_type,hidden_dim,target_layer_relative_update_norm,metric,n_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high
target_hidden,64,0.01,update_grad_cosine,50,0.0,0.7343734912548818,0.7245065572842989,0.7443748013536047,False,True,-0.16231532668715645,-0.17024774197311307,-0.15438291140119983
target_hidden,64,0.03,update_grad_inner,50,0.0,0.6831411267677616,0.6656732723034388,0.7010673531575952,False,True,-0.00020706962688224134,-0.00022739105938371864,-0.00018674819438076404
target_hidden,64,0.03,delta_loss,50,0.0,0.68169199614715,0.663494905333584,0.7003881625548395,False,True,-0.00020939031800313758,-0.00023074582191613216,-0.000188034814090143
target_hidden,64,0.03,update_grad_cosine,50,0.0,0.7367504899844497,0.7276968143855314,0.7459168073322805,False,True,-0.16062938710630167,-0.16771812642267625,-0.1535406477899271
target_hidden,64,0.1,update_grad_inner,50,0.0,0.5732958017469604,0.5413507868927334,0.6071258863170627,False,True,-0.0018405393246739826,-0.002221885990761639,-0.0014591926585863263
target_hidden,64,0.1,delta_loss,50,0.0,0.5666631742657658,0.532825393887474,0.6026498675788855,False,True,-0.0019664800894556135,-0.002382354143029883,-0.001550606035881344
target_hidden,64,0.1,update_grad_cosine,50,0.0,0.7741220205179494,0.7643728128341567,0.7839955746579031,False,True,-0.1350198217639235,-0.14186410704538738,-0.1281755364824596
hidden_all_targets,16,,update_grad_inner,250,0.252,0.9407669132669612,0.9309485552537117,0.9506888217433724,False,True,-3.245988829134116e-05,-4.429076086094239e-05,-2.062901572173993e-05
hidden_all_targets,16,,delta_loss,250,0.272,0.9410350022920235,0.9307815891935318,0.9514013661422157,False,True,-3.583583405686497e-05,-4.90847805738183e-05,-2.2586887539911635e-05
hidden_all_targets,16,,update_grad_cosine,250,0.344,0.9686404901091424,0.9602504184705203,0.9771038689817394,False,True,-0.02132709696157521,-0.02676975970105512,-0.015884434222095296
hidden_all_targets,64,,update_grad_inner,250,0.0,0.6882151771416425,0.6760879508020599,0.7005599337870337,False,True,-0.0004240233592608662,-0.0005404740529970234,-0.00030757266552470906
hidden_all_targets,64,,delta_loss,250,0.0,0.686192560531462,0.6734576351838009,0.6991683003196132,False,True,-0.0004496985129314872,-0.0005753256187268499,-0.0003240714071361245
hidden_all_targets,64,,update_grad_cosine,250,0.0,0.7439256317381111,0.739250485207292,0.7486303446953608,False,True,-0.15542647198020296,-0.15905155149532052,-0.1518013924650854
all,All,,update_grad_inner,500,0.126,0.8046428200531077,0.7909457304644216,0.8185771070321765,False,True,-0.0002282416237761037,-0.00028917938133523865,-0.00016730386621696875
all,All,,delta_loss,500,0.136,0.8035740275621741,0.7895532857700034,0.8178437471041,False,True,-0.0002427671734941761,-0.000308426061871612,-0.0001771082851167402
all,All,,update_grad_cosine,500,0.172,0.848879548894634,0.8380976270389674,0.8598001775490688,False,True,-0.08837678447088908,-0.09510581115399308,-0.08164775778778507
