group_type,hidden_dim,num_factors,target_relative_update_norm,metric,n_pairs,muon_win_rate,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one
target_arch,128,3,0.001,delta_loss,15,0.0,0.5473314880744319,0.45814572800363035,0.6538787541316944,False,True
target_arch,128,3,0.001,update_grad_inner,15,0.0,0.5767141525951294,0.4993713839151281,0.6660357892274539,False,True
target_arch,128,3,0.001,update_grad_cosine,15,0.0,0.7777880958796332,0.75403389582477,0.8022906204108506,False,True
target_arch,128,4,0.0001,delta_loss,15,0.0,0.3599233984487874,0.2618843086142452,0.49466443192571624,False,True
target_arch,128,4,0.0001,update_grad_inner,15,0.0,0.4067805482009092,0.313400755707413,0.5279834569037011,False,True
target_arch,128,4,0.0001,update_grad_cosine,15,0.0,0.7173418660248807,0.6927757784441892,0.7427790762368764,False,True
target_arch,128,4,0.0003,delta_loss,15,0.0,0.3599233984487874,0.2618843086142452,0.49466443192571624,False,True
target_arch,128,4,0.0003,update_grad_inner,15,0.0,0.4067805482009092,0.313400755707413,0.5279834569037011,False,True
target_arch,128,4,0.0003,update_grad_cosine,15,0.0,0.7173418660248807,0.6927757784441892,0.7427790762368764,False,True
target_arch,128,4,0.001,delta_loss,15,0.0,0.3599233984487874,0.2618843086142452,0.49466443192571624,False,True
target_arch,128,4,0.001,update_grad_inner,15,0.0,0.4067805482009092,0.313400755707413,0.5279834569037011,False,True
target_arch,128,4,0.001,update_grad_cosine,15,0.0,0.7173418660248807,0.6927757784441892,0.7427790762368764,False,True
arch_all_targets,64,3,,delta_loss,45,0.26666666666666666,0.8458637387918326,0.8009953435582482,0.8932454730941488,False,True
arch_all_targets,64,3,,update_grad_inner,45,0.13333333333333333,0.8583360436278101,0.822803188947938,0.8954033889108546,False,True
arch_all_targets,64,3,,update_grad_cosine,45,0.8,1.0355613526718614,1.0156271988076002,1.0558867627871868,True,False
arch_all_targets,64,4,,delta_loss,45,0.06666666666666667,0.5963795672572608,0.536728760310904,0.6626598284689162,False,True
arch_all_targets,64,4,,update_grad_inner,45,0.0,0.6342512149888959,0.5826270550098283,0.6904495770593846,False,True
arch_all_targets,64,4,,update_grad_cosine,45,0.2,0.9313573790708367,0.912580851586788,0.9505202372386228,False,True
arch_all_targets,128,3,,delta_loss,45,0.0,0.5473314880744319,0.49808862047829394,0.6014426861430914,False,True
arch_all_targets,128,3,,update_grad_inner,45,0.0,0.5767141525951295,0.5343349500648876,0.6224545367341753,False,True
arch_all_targets,128,3,,update_grad_cosine,45,0.0,0.7777880958796332,0.7651057083505642,0.7906807065866003,False,True
arch_all_targets,128,4,,delta_loss,45,0.0,0.3599233984487873,0.30409646564798076,0.4259992054655592,False,True
arch_all_targets,128,4,,update_grad_inner,45,0.0,0.4067805482009092,0.3542647039662414,0.4670812884887348,False,True
arch_all_targets,128,4,,update_grad_cosine,45,0.0,0.7173418660248807,0.7042143030385585,0.7307141455828718,False,True
depth_all_targets,All,3,,delta_loss,90,0.13333333333333333,0.6804174151659673,0.6341873561460191,0.7300174851712746,False,True
depth_all_targets,All,3,,update_grad_inner,90,0.06666666666666667,0.7035726998986448,0.6626949103127495,0.746972002258254,False,True
depth_all_targets,All,3,,update_grad_cosine,90,0.4,0.8974671540848637,0.8686596257645132,0.9272300320764936,False,True
depth_all_targets,All,4,,delta_loss,90,0.03333333333333333,0.4633043930426847,0.41462661386509436,0.5176970156635694,False,True
