run_id,problem_family,setting,kappa,lr,algo,seed,step,num_samples,train_batch_size,loss,recovery_error,diagnostic_A_definition,sigma_update,update_rank_ceiling,nrUpdate,stUpdate,nrUpdateFrac,stUpdateFrac,update_flatness,update_grad_inner,update_grad_cosine,update_grad_per_update_norm,layer,nrG,stA,condition_score,delta_gd_pred,delta_spec_pred,hidden_dim,num_factors,target_relative_update_norm
1,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-04,1.0,0.01,Muon,0,1,1024,128,2.302311050552228,0.7646484375,full_layer_input_activation,"[[0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999995,0.009999999999999993,0.009999999999999992,0.009999999999999992]]",64.0,63.99999999999999,63.999999999999915,0.9999999999999999,0.9999999999999987,0.9999999999999988,0.00015600491450297812,0.35468884364824393,0.0019500614312872265,2,8.051467251745818,1.5913334475753096,5.0595726898179105,1.2943583398697631e-07,6.548900107243103e-07,64,3,0.0001
1,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-04,1.0,0.01,Muon,0,1,1024,128,2.302311050552228,0.7646484375,full_layer_input_activation,"[[0.010000000000000007,0.010000000000000005,0.010000000000000004,0.010000000000000002,0.01,0.01,0.01,0.009999999999999997,0.009999999999999997,0.009999999999999993]]",10.0,10.0,9.999999999999988,1.0,0.9999999999999988,0.9999999999999988,0.00012270050368087194,0.761054035132825,0.0038801306168142935,3,5.792032443919549,1.4097593723687243,4.108525580636917,2.5372799318101288e-05,0.00010424479505078607,64,3,0.0001
0,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-04,1.0,0.01,Adam,0,2,1024,128,2.301926087558407,0.87890625,full_layer_input_activation,"[[0.05427053717477495,0.04152595639725431,0.033401646859258054,0.032835295429762296,0.029203202919651984,0.022123616661814838,0.021162812412024803,0.016772038172118076,0.016176074479378817,0.014705376013649176,0.01280338457908918,0.012458175748748345,0.011377427180994493,0.010725917539799075,0.010634519647199522,0.010108481157516743,0.00976970711897305,0.00933195981574614,0.009221062448780445,0.008955233509959812,0.008700740770742017,0.008519376420198201,0.008126813356849522,0.00806554778558915,0.00779075401464092,0.007489331772545021,0.0073691834060290815,0.007258494328681492,0.007046357695808763,0.006838776013057473,0.006705312767377528,0.006582238496687905,0.006503327121688883,0.006444629095724154,0.006303465228214319,0.006196653657871164,0.006097716854779156,0.005959227098815357,0.0057186669268600426,0.0055858954836386,0.005444291015922808,0.005398897758548507,0.005288301814063101,0.0051768159856817484,0.005081862499635113,0.005001239310103996,0.004907487650091553,0.004745303964909782,0.00470854065295031,0.004578675807003539,0.004459425537042928,0.004409747223262232,0.0042582828945514255,0.004174917369320639,0.004079812736086856,0.003985020377992695,0.0038193656606945034,0.0037262412899677537,0.0036588651311627576,0.0035914021973368192,0.003484722220767543,0.0032710991409611308,0.0032234966612714323,0.0029521097617749535]]",64.0,33.14914563108132,4.06894140761085,0.5179554004856456,0.06357720949391953,0.12274649406938944,0.00036270398291955567,0.5911991237311768,0.003313198730942295,1,11.468173579489509,2.2813227353345487,5.0269843025115595,7.783161918501789e-10,3.912583278821425e-09,64,3,0.0001
0,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-04,1.0,0.01,Adam,0,2,1024,128,2.301926087558407,0.87890625,full_layer_input_activation,"[[0.021896045738771092,0.015128338162451481,0.01289336540731224,0.011284222387050758,0.010317270530976,0.008722094899196233,0.006824444290711093,0.006242845474999802,0.005525614635576297,0.004861062662917283,0.00460861322576365,0.004064403536724651,0.004011934740207192,0.003834460688003763,0.0036663259236113296,0.003448201652192939,0.0033755814618096286,0.003257999508713274,0.0030701302770853186,0.0029537769845040906,0.002911129027696166,0.002776347363636156,0.0027219664761198937,0.0025519874445194667,0.002533452866960043,0.002433412387159323,0.00235664305870455,0.0022597643314656683,0.0021417983637333506,0.002129578015376634,0.0020141108095895013,0.001982325691039452,0.0019217357402489927,0.0018347489259393532,0.0017442264911857047,0.001675164851390663,0.0016476787397164939,0.0015704180717020877,0.0014497526442118513,0.0013921701967578312,0.001319727539945891,0.0012968712581022004,0.0012939232209610322,0.0011430048826554077,0.001103846775164419,0.0010377576796370082,0.0009257905036852412,0.0008805985842893693,0.0008109724094975133,0.0007832200845702808,0.0007544602874758246,0.0006995836113079248,0.0005708463960575767,0.0005381658687241524,0.000499626714106883,0.0004322664764193119,0.00038864115482774124,0.0003205411242165883,0.00025375652585879347,0.0002087624856913211,0.00017132990061165615,0.00010205227552449848,3.169736429886725e-05,3.946070339075783e-21]]",64.0,24.956188427169778,3.263439846927163,0.3899404441745278,0.05099124760823692,0.13076675777035965,0.00017109076518691672,0.5832903077886263,0.004325368080926503,2,6.8978829822423355,1.3754724132264957,5.014919176795208,1.204828123762223e-07,6.042115662597361e-07,64,3,0.0001
0,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-04,1.0,0.01,Adam,0,2,1024,128,2.301926087558407,0.87890625,full_layer_input_activation,"[[0.008418821613363166,0.0071316183386767144,0.005599585965990119,0.00550755085796804,0.004872031843246396,0.00475665662653558,0.004270945105237853,0.003452714329066718,0.0028894369097178644,0.0024157930615467597]]",10.0,8.871497602143062,3.867775380123081,0.8871497602143062,0.3867775380123081,0.4359777293056759,7.844665202230327e-05,0.6032279971720338,0.004737971932681161,3,5.3766512322060835,1.1979333640166674,4.488272381176684,1.9482207696418845e-05,8.744145472818453e-05,64,3,0.0001
1,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-04,1.0,0.01,Muon,0,2,1024,128,2.301967264939497,0.6708984375,full_layer_input_activation,"[[0.010000000000000009,0.010000000000000009,0.010000000000000009,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997]]",64.0,63.999999999999986,63.99999999999993,0.9999999999999998,0.9999999999999989,0.9999999999999991,0.00020966540236919254,0.42936819964897616,0.002620817529614905,1,11.798851255667344,2.2813227353345487,5.171934278705674,9.232992309390826e-10,4.775242941996428e-09,64,3,0.0001
1,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-04,1.0,0.01,Muon,0,2,1024,128,2.301967264939497,0.6708984375,full_layer_input_activation,"[[0.010000000000000009,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000007,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999997,0.009999999999999995]]",64.0,64.0,63.999999999999915,1.0,0.9999999999999987,0.9999999999999987,0.0001789530689833009,0.3561971783098405,0.0022369133622912587,2,8.120091509497119,1.569144983107598,5.174851015624931,1.5136950517706212e-07,7.83314637600163e-07,64,3,0.0001
1,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-04,1.0,0.01,Muon,0,2,1024,128,2.301967264939497,0.6708984375,full_layer_input_activation,"[[0.010000000000000005,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.009999999999999998]]",10.0,9.999999999999998,9.999999999999993,0.9999999999999998,0.9999999999999993,0.9999999999999994,0.00014836671864107203,0.7856799493239985,0.0046917675987114965,3,6.172929827697602,1.4104746155962946,4.376491260062787,2.7777270394662764e-05,0.00012156698111064238,64,3,0.0001
0,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-04,1.0,0.01,Adam,0,3,1024,128,2.3013705696533022,0.857421875,full_layer_input_activation,"[[0.05768084843390233,0.0425430902625184,0.03600921217070449,0.032146679512415385,0.0299120051982135,0.02130456123657934,0.0199522462303854,0.01575951171821357,0.014565437732668166,0.012823635694461554,0.012084529693362697,0.0112633854046664,0.010419384865527953,0.010145156706846063,0.009600626077147933,0.009457277917886451,0.00914466077596321,0.00891583485626114,0.008697256686686047,0.008575082471620935,0.008406834453142662,0.007966669572357445,0.007751006250971066,0.007318168540681897,0.007230092463532666,0.00714626713841255,0.006992584512680752,0.006912937404700884,0.006683638516572269,0.006634261621425818,0.00643785210906671,0.006294738005460731,0.006028030584735732,0.005901806505944615,0.005718952609269423,0.005580647019790354,0.005563175994757468,0.005470184004216687,0.00535849202329194,0.005184032965590406,0.005157617333548814,0.005043529139766681,0.004947448022394262,0.004873070293670309,0.0047015270267897315,0.004641103222406613,0.004449381846185858,0.0043786687114075965,0.004329108468874027,0.00418640827644533,0.004129489090267915,0.004011255278646332,0.003897251322931134,0.0038012641018994845,0.003694420177690066,0.0036612185925270716,0.0036155823943483517,0.0035100552676515053,0.0033701439150596005,0.0032541815369907614,0.0031381584091573593,0.0029813746236000385,0.002959523009358235,0.002709164333347356]]",64.0,30.509970656450616,3.629973222662053,0.47671829150704087,0.05671833160409458,0.1189766212342974,0.0004661900125609125,0.6150571926243669,0.004242087425004536,1,10.201895135318013,2.2813227353345487,4.4719210383102315,1.1788454788251281e-09,5.27170389767499e-09,64,3,0.0001
0,DeepMNISTMLP,Deep MNIST MLP hidden=64 factors=3 target=1e-04,1.0,0.01,Adam,0,3,1024,128,2.3013705696533022,0.857421875,full_layer_input_activation,"[[0.02362452932160799,0.01474281187691955,0.01237743314453946,0.011290314414957855,0.010156339191347992,0.008230254012743424,0.005855010364105079,0.005639787210935755,0.0051340753696464195,0.0043311980377278006,0.003971656726220303,0.0037697281158688214,0.003604118888205614,0.003540387506742059,0.0032872772443467172,0.0031888197212468434,0.0031106189168957177,0.0029872613676752077,0.0029536795717082435,0.002800281776618004,0.0027288035478027885,0.0025753006088751404,0.0025173803489099726,0.0023767371839381927,0.0022414960895207983,0.002197302398507445,0.0021581677349680126,0.0019929952835879405,0.001932276276460818,0.0018762046556126306,0.001781463007251576,0.0017664009485502358,0.001755457975562192,0.0017011858768080004,0.001594818188912934,0.0015592090424058557,0.001497573342474802,0.001414648606039377,0.0012950290094626918,0.001257116411894784,0.0012085535495660374,0.0011294285096749423,0.0011078233989401276,0.0010170214651211637,0.0008949296232439964,0.0008442210957223167,0.0008020062617950397,0.000769232262269492,0.0006645359830287342,0.0006337645066988724,0.0005846039007038451,0.0004963593602834476,0.0004847774078877482,0.00044381775270313663,0.00037683548983607953,0.0003516231030719532,0.00031039564276659016,0.00021914237378272038,0.00019873869954719874,0.00015333942667977095,0.0001477992644684029,0.00010758028804963502,5.1243487711690414e-05,9.44628406680539e-21]]",64.0,22.47011200237955,2.7530890558126604,0.3510955000371805,0.04301701649707282,0.12252226671238275,0.00023516841394352522,0.5982485855234424,0.005999370668371217,2,5.995468098721597,1.3132159321094885,4.565485349458682,1.3145168696472003e-07,6.001407509990581e-07,64,3,0.0001
