hidden_dim,num_factors,target_relative_update_norm,seed,step,delta_loss_Adam,delta_loss_Muon,recovery_error_Adam,recovery_error_Muon,relative_update_fro_norm_Adam,relative_update_fro_norm_Muon,update_grad_cosine_Adam,update_grad_cosine_Muon,update_grad_inner_Adam,update_grad_inner_Muon,delta_loss_ratio,delta_loss_muon_higher,update_grad_inner_ratio,update_grad_inner_muon_higher,update_grad_cosine_ratio,update_grad_cosine_muon_higher
64,4,0.0001,2,3,0.00011678802933534627,5.3031613984622084e-05,0.6064453125,0.5068359375,0.057720286066237754,0.057720286066237816,0.3826712763610362,0.39395971468769575,9.19128712734122e-05,4.7057564142361955e-05,0.45408432941655863,False,0.5119801339072559,False,1.0294990479400636,True
64,4,0.0001,2,4,0.00020997935749056396,7.78186019210203e-05,0.5947265625,0.4267578125,0.0574793264953539,0.05747932649535401,0.402545902323093,0.38124342585448123,0.00016675858164395932,6.823123576128436e-05,0.37060120028473426,False,0.4091617660011201,False,0.9470806277105911,False
64,4,0.0003,0,0,2.8796459230484572e-05,2.6249768593888945e-05,0.8818359375,0.8818359375,0.058616998523306395,0.05861699852330651,0.48607729525908794,0.3866361922933864,3.804714725899996e-05,3.0263508062034905e-05,0.9115623689630687,False,0.7954212140011666,False,0.795421214001165,False
64,4,0.0003,0,1,4.485633610773476e-05,3.673025965467147e-05,0.8193359375,0.6748046875,0.05849966994407641,0.05849966994407638,0.43335275746715884,0.38226617434551,4.31500037599043e-05,3.482444355923984e-05,0.8188421712922274,False,0.8070554003427293,False,0.8821131693721359,False
64,4,0.0003,0,2,9.123915914432956e-05,5.451187907867805e-05,0.771484375,0.61328125,0.058328925773103245,0.058328925773103286,0.42317430523971855,0.39124342832657993,6.779835379343041e-05,4.727959329393037e-05,0.5974614364041508,False,0.6973560661661922,False,0.9245443862782489,False
64,4,0.0003,0,3,0.00014166373435386959,6.829787405182586e-05,0.7236328125,0.525390625,0.05808792833168803,0.05808792833168795,0.4200980517473713,0.3951748712125946,0.00011066665079885936,6.130289465871811e-05,0.4821126194599732,False,0.553941898631579,False,0.9406729442540609,False
64,4,0.0003,0,4,0.00022799051824673455,9.056349123248708e-05,0.783203125,0.4541015625,0.057809607001102485,0.05780960700110246,0.39817273330752845,0.38782130337369974,0.00018527426820474024,8.224891456567378e-05,0.39722481412353294,False,0.44393058659815254,False,0.974002665004603,False
64,4,0.0003,1,0,2.1126109929880954e-05,1.9988061233267018e-05,0.892578125,0.892578125,0.058817259479531175,0.058817259479531085,0.573381410720389,0.49461729690727346,2.694886713908735e-05,2.3246961917202295e-05,0.9461307026995883,False,0.8626322508185988,False,0.8626322508186004,False
64,4,0.0003,1,1,3.566008739630533e-05,2.7406926287110167e-05,0.8203125,0.7802734375,0.05873343988748632,0.05873343988748635,0.503204575573706,0.4757610463675547,3.0273311711539623e-05,2.616063634866397e-05,0.7685602669036011,False,0.86414848160441,False,0.9454624807915094,False
64,4,0.0003,1,2,6.285694888896742e-05,3.718595345247877e-05,0.7255859375,0.6318359375,0.0585291296860728,0.05852912968607275,0.4785183890217151,0.4615588488811429,5.070199840790577e-05,3.3606812908202364e-05,0.5915965395992296,False,0.6628301440473829,False,0.9645582269570782,False
64,4,0.0003,1,3,0.00012874634800663642,5.5800113339721236e-05,0.625,0.462890625,0.05828158059137937,0.05828158059137934,0.4322240235259808,0.39435390337145554,0.0001015702439264961,5.0383482624614164e-05,0.4334112322692441,False,0.49604569878827365,False,0.9123831205734706,False
64,4,0.0003,1,4,0.000223779273049729,8.07220137510889e-05,0.6767578125,0.5205078125,0.05803507041146416,0.05803507041146436,0.41324612638488023,0.3886367283124782,0.0001769547728349483,7.025679212889186e-05,0.3607215835988106,False,0.39703247899632943,False,0.9404485692638245,False
64,4,0.0003,2,0,1.7420989344429927e-05,1.84057826779771e-05,0.884765625,0.884765625,0.05814417243328687,0.05814417243328691,0.5576715428650222,0.4806843302560309,2.6378655844902916e-05,2.2737051370273164e-05,1.0565291278283253,True,0.8619488234714806,False,0.86194882347148,False
64,4,0.0003,2,1,3.4715385770045515e-05,2.5930092781845104e-05,0.75390625,0.66796875,0.05808025374287647,0.058080253742876405,0.43618037209158383,0.4411869082338431,2.8638752960819894e-05,2.5040577288288395e-05,0.7469337357679349,False,0.8743599039576168,False,1.011478132585957,True
64,4,0.0003,2,2,6.606407468989772e-05,3.718702920529893e-05,0.7373046875,0.595703125,0.05792640500389863,0.05792640500389857,0.42247372829158125,0.42631974852500076,5.28400821759426e-05,3.3780401876327116e-05,0.5628933634483407,False,0.6392950291759177,False,1.0091035725439597,True
64,4,0.0003,2,3,0.00011678802933534627,5.3031613984622084e-05,0.6064453125,0.5068359375,0.057720286066237754,0.057720286066237816,0.3826712763610362,0.39395971468769575,9.19128712734122e-05,4.7057564142361955e-05,0.45408432941655863,False,0.5119801339072559,False,1.0294990479400636,True
64,4,0.0003,2,4,0.00020997935749056396,7.78186019210203e-05,0.5947265625,0.4267578125,0.0574793264953539,0.05747932649535401,0.402545902323093,0.38124342585448123,0.00016675858164395932,6.823123576128436e-05,0.37060120028473426,False,0.4091617660011201,False,0.9470806277105911,False
64,4,0.001,0,0,2.8796459230484572e-05,2.6249768593888945e-05,0.8818359375,0.8818359375,0.058616998523306395,0.05861699852330651,0.48607729525908794,0.3866361922933864,3.804714725899996e-05,3.0263508062034905e-05,0.9115623689630687,False,0.7954212140011666,False,0.795421214001165,False
64,4,0.001,0,1,4.485633610773476e-05,3.673025965467147e-05,0.8193359375,0.6748046875,0.05849966994407641,0.05849966994407638,0.43335275746715884,0.38226617434551,4.31500037599043e-05,3.482444355923984e-05,0.8188421712922274,False,0.8070554003427293,False,0.8821131693721359,False
64,4,0.001,0,2,9.123915914432956e-05,5.451187907867805e-05,0.771484375,0.61328125,0.058328925773103245,0.058328925773103286,0.42317430523971855,0.39124342832657993,6.779835379343041e-05,4.727959329393037e-05,0.5974614364041508,False,0.6973560661661922,False,0.9245443862782489,False
