seed,layer,geometry,head_loss_before,head_loss_after,actual_head_loss_decrease,matched_first_order_head_gain,alignment,step_size,head_gradient_nuclear_rank,tail_activation_stable_rank,condition_score,tail_sandwiched_stable_rank,tail_local_operator_stable_rank,theorem_condition_score,local_operator_condition_score,jvp_tail_drift_sq,scaled_jvp_tail_drift_sq,tail_output_drift_fro,tail_output_drift_rms,tail_loss_before,tail_loss_after,tail_loss_increase,tail_margin_before,tail_margin_after,tail_margin_drop,tail_accuracy_before,tail_accuracy_after,tail_accuracy_drop
5,1,frobenius,0.12103867124338219,0.11866503948122664,0.002373631762155548,0.002420773424867644,0.12976039276184037,0.01865571900133412,3.271135406799984,1.318849559361652,2.480294574601272,,4.131201986417575,,0.791812024092434,5015.491386409993,1.7455708151431422,1.3213846351558425,0.02954705868632224,12.184827461925154,12.200371255343317,0.015543793418162366,-11.186144430933119,-11.204044156777556,0.017899725844436887,0.19,0.19,0.0
5,1,spectral,0.12103867124338219,0.11864765748990001,0.002391013753482177,0.002420773424867644,0.2346882855380913,0.010314845580457139,3.271135406799984,1.318849559361652,2.480294574601272,,4.131201986417575,,0.791812024092434,7392.667825522363,0.7865505768559696,0.8869451510395631,0.019832696500382822,12.184827461925154,12.19811016367444,0.013282701749284698,-11.186144430933119,-11.20254521080079,0.016400779867671744,0.19,0.19,0.0
5,2,frobenius,0.12103867124338219,0.11867494797356225,0.0023637232698199423,0.002420773424867644,0.3063427661562256,0.007902172638975006,2.908175676974237,1.1389606771150975,2.5533591592823286,1.1383045802354077,11.38960677115097,2.554830866421367,0.25533591592823296,14329.251568732016,0.8947805482327588,0.9459284054478033,0.0211516021642927,12.184827461925154,12.193640989801095,0.008813527875940252,-11.186144430933119,-11.198684701936582,0.012540271003462777,0.19,0.19,0.0
5,2,spectral,0.12103867124338219,0.11866010779743989,0.002378563445942297,0.002420773424867644,0.5224177789625795,0.004633788363165647,2.908175676974237,1.1389606771150975,2.5533591592823286,1.1383045802354077,11.38960677115097,2.554830866421367,0.25533591592823296,25046.953428443976,0.5378080486269815,0.7333539722583396,0.016398293335391424,12.184827461925154,12.19217698218604,0.007349520260886422,-11.186144430933119,-11.19964675543701,0.013502324503891217,0.19,0.19,0.0
6,1,frobenius,0.16137279666167212,0.15822750346618508,0.0031452931954870367,0.0032274559332334425,0.15265299775416125,0.021142434021708977,3.517623938784238,1.3274495177931769,2.649911647587265,,4.143862169456915,,0.8488757094074029,3874.523687808397,1.7319218381557586,1.315649311906382,0.029418812959734947,11.652061021454129,11.637272127613851,-0.014788893840277595,-10.619489426647043,-10.604858958873082,-0.014630467773960376,0.19,0.19,0.0
6,1,spectral,0.16137279666167212,0.15819458284442725,0.003178213817244868,0.0032274559332334425,0.28630573095834255,0.011272760494280979,3.517623938784238,1.3274495177931769,2.649911647587265,,4.143862169456915,,0.8488757094074029,5552.728542817683,0.7056136967768712,0.8398450614696065,0.018779506480135294,11.652061021454129,11.648061520362791,-0.0039995010913376206,-10.619489426647043,-10.617135497503305,-0.002353929143737332,0.19,0.19,0.0
6,2,frobenius,0.16137279666167212,0.1582150399433278,0.0031577567183443123,0.0032274559332334425,0.3615227389556228,0.008927394007240068,3.2012831970344404,1.1338604259714515,2.823348556584197,1.1330088761910067,11.338604259714492,2.8254705362915065,0.28233485565842026,17044.69836818515,1.358434570735721,1.1655190134593774,0.026061797431636606,11.652061021454129,11.647469656278103,-0.0045913651760258745,-10.619489426647043,-10.618706601284757,-0.0007828253622861325,0.19,0.19,0.0
6,2,spectral,0.16137279666167212,0.15820417822787572,0.0031686184337963996,0.0032274559332334425,0.6468411881402869,0.004989564660396165,3.2012831970344404,1.1338604259714515,2.823348556584197,1.1330088761910067,11.338604259714492,2.8254705362915065,0.28233485565842026,24741.69233847473,0.6159631231216768,0.78483318171557,0.017549403453134597,11.652061021454129,11.6505019446085,-0.0015590768456288373,-10.619489426647043,-10.622384155834265,0.0028947291872221115,0.19,0.19,0.0
7,1,frobenius,0.10615431289674775,0.10406715381194377,0.0020871590848039745,0.002123086257934955,0.1557353557687455,0.013632654238691743,2.631911077776866,1.3359561421930541,1.9700579941617111,,4.329927106731073,,0.6078418903831978,4013.252643762196,0.7458600404242219,0.8636086929206082,0.01931087743330222,11.731362132356896,11.74310756258735,0.01174543023045338,-10.734247978894487,-10.749992942315235,0.015744963420747382,0.19,0.19,0.0
7,1,spectral,0.10615431289674775,0.10405591642149584,0.0020983964752519096,0.002123086257934955,0.2526520493734824,0.008403202203186987,2.631911077776866,1.3359561421930541,1.9700579941617111,,4.329927106731073,,0.6078418903831978,4527.512898016708,0.31970492318233606,0.5653399805106653,0.012641386268202536,11.731362132356896,11.738973497119332,0.007611364762436068,-10.734247978894487,-10.745447280467527,0.011199301573039833,0.19,0.19,0.0
7,2,frobenius,0.10615431289674775,0.10407561028682825,0.0020787026099194916,0.002123086257934955,0.46007698753285875,0.004614632584254877,2.122670502010802,1.1276270215140072,1.882422522263435,1.1267492894152527,11.276270215140055,1.8838889200563873,0.18824225222634378,19786.564843151067,0.42135161154245065,0.6491160231748876,0.014514675531033782,11.731362132356896,11.738489695229028,0.007127562872131676,-10.734247978894487,-10.746034523210037,0.011786544315549818,0.19,0.19,0.0
7,2,spectral,0.10615431289674775,0.10406705877294863,0.0020872541237991205,0.002123086257934955,0.6703039880819329,0.0031673483907057477,2.122670502010802,1.1276270215140072,1.882422522263435,1.1267492894152527,11.276270215140055,1.8838889200563873,0.18824225222634378,24992.97383567345,0.25073190854882926,0.5007313736413982,0.011196693899290126,11.731362132356896,11.736731982129042,0.00536984977214594,-10.734247978894487,-10.744655789293983,0.010407810399495787,0.19,0.19,0.0
8,1,frobenius,0.1876774781151286,0.18400066189962053,0.003676816215508083,0.0037535495623025722,0.11216118317015117,0.033465673740338035,4.679908461873839,1.3294583560629927,3.5201617565011527,,4.101652097282941,,1.1409813291999953,1522.6243302846442,1.705265126883524,1.305540775871286,0.029192779222460125,11.834405682790873,11.83686291794059,0.002457235149716297,-10.925559834784258,-10.940151090660297,0.01459125587603971,0.195,0.195,0.0
8,1,spectral,0.1876774781151286,0.18397423472013066,0.003703243394997946,0.0037535495623025722,0.24263936524352434,0.01546966444845144,4.679908461873839,1.3294583560629927,3.5201617565011527,,4.101652097282941,,1.1409813291999953,3316.562046237054,0.7936881817539272,0.8910965472154188,0.019925524540890267,11.834405682790873,11.839264057622508,0.004858374831634649,-10.925559834784258,-10.938280821814878,0.012720987030620634,0.195,0.195,0.0
8,2,frobenius,0.1876774781151286,0.18403782193061538,0.003639656184513229,0.0037535495623025722,0.36493052338034887,0.010285655273594187,2.5780036777968074,1.129798208279283,2.281826665067194,1.1292396282498185,11.297982082792819,2.2829553739558306,0.22818266650671962,19893.622370713423,2.1046398982984043,1.4507377083053141,0.03243948133292945,11.834405682790873,11.853583285204458,0.019177602413584793,-10.925559834784258,-10.966667914097107,0.0411080793128491,0.195,0.195,0.0
8,2,spectral,0.1876774781151286,0.18400226625963195,0.0036752118554966573,0.0037535495623025722,0.5859383938626898,0.006406048147072247,2.5780036777968074,1.129798208279283,2.281826665067194,1.1292396282498185,11.297982082792819,2.2829553739558306,0.22818266650671962,26884.309557227927,1.1032635861984965,1.0503635495380934,0.023486842978551453,11.834405682790873,11.850787114980276,0.016381432189403355,-10.925559834784258,-10.958432062726523,0.0328722279422653,0.195,0.195,0.0
9,1,frobenius,0.21510892819163277,0.21094556230854242,0.004163365883090353,0.004302178563832655,0.17005363591881678,0.025298950772722706,2.823204682447325,1.3238612496998836,2.132553304273646,,4.098794394754444,,0.6887890463743208,2518.21341621737,1.611749534141581,1.2687412024133833,0.028369915744511448,11.597777398530516,11.59180487284131,-0.00597252568920581,-10.641203524984535,-10.635628107930142,-0.005575417054393128,0.195,0.19,0.0050000000000000044
9,1,spectral,0.21510892819163277,0.21088284660955225,0.004226081582080515,0.004302178563832655,0.2857308313864423,0.01505675303906595,2.823204682447325,1.3238612496998836,2.132553304273646,,4.098794394754444,,0.6887890463743208,3431.4008854625636,0.7779185243088371,0.8816325652974435,0.019713903471826055,11.597777398530516,11.592820751892907,-0.004956646637609197,-10.641203524984535,-10.639033326821213,-0.002170198163321757,0.195,0.19,0.0050000000000000044
