split_id,split_role,split_display_name,source_warmup_steps,target_warmup_steps,score,score_role,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,top5_residual_risk_overlap_fraction,threshold_below_one_accuracy,target_observed_below_one_fraction,predicted_below_one_fraction,frozen_depth_intercept,frozen_depth_slope
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,2000,early_layer_prior,baseline,54,0.42458547741566605,0.17047396731988373,0.6257441827308248,0.15529469976201893,-0.12391632690034564,0.4117190753986703,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,2000,source_observed_drift_positive_control,positive_control,21,0.551948051948052,0.12532407806991372,0.8063027871649991,0.7545880297303064,0.45289271613221427,0.9012274457385002,0.6,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,5000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,54,0.4152086906803887,0.15939967641067132,0.6187681910422111,0.33138273639761767,0.06317855057285787,0.5549449544441346,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,5000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.638650657518582,-0.7767044230178516,-0.4420482546163207,-0.417845452198923,-0.6207330965868417,-0.16250728478700235,0.4,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,5000,early_layer_prior,baseline,54,-0.08564894225271584,-0.35134492731537864,0.19281445018725646,-0.40729127304634255,-0.6128528128561226,-0.15009881106231232,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,5000,source_observed_drift_positive_control,positive_control,21,0.37792207792207794,-0.09725046455708282,0.7127864200676343,0.5702212499983595,0.1514836287440122,0.8154361284555429,0.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,10000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,54,0.845931008195159,0.7445226806516179,0.9091821561162424,0.7684859090711075,0.6264193922630826,0.861139478539404,0.2,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,10000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,54,-0.8397560510768056,-0.9054123533485731,-0.7348671302622308,-0.7738780133985262,-0.8645389183103096,-0.6344363471998491,0.0,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,10000,early_layer_prior,baseline,54,0.361006289308176,0.09662217010141035,0.5778044334252533,0.004183192435980889,-0.27006574641743053,0.27780430427587555,0.0,,1.0,,-0.11792713215154826,0.6101643131658269
v4_final_architecture_wide_resnet50_2_cifar100lt,fresh_final_heldout_architecture,WideResNet50-2 CIFAR-100-LT final architecture split,10000,10000,source_observed_drift_positive_control,positive_control,21,0.45584415584415583,-0.0031393119115493036,0.7561850578099044,0.6710227362967119,0.30716240660367977,0.8637159951723028,0.4,1.0,1.0,1.0,-0.11792713215154826,0.6101643131658269
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,2000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,21,-0.7233766233766233,-0.8874694989572616,-0.3965090077514765,-0.8780286963791681,-0.9528898147895061,-0.7023402110158372,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,2000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6311688311688312,0.2431924728693103,0.8450411492163759,0.7919055671407859,0.5236309818133408,0.9172978941881645,0.8,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,2000,early_layer_prior,baseline,21,-0.8012987012987013,-0.9212796211123581,-0.542038835224187,-0.7426751293746733,-0.8960109068429922,-0.4310833640426981,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,2000,source_observed_drift_positive_control,positive_control,21,0.031168831168831172,-0.433349380643352,0.48260218475582667,0.16212169678257402,-0.31998210840945035,0.577535588106977,0.2,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,5000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,21,-0.6623376623376622,-0.859690919493247,-0.2929359466035971,-0.8806866482965909,-0.9539564175360282,-0.7082319026925807,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,5000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.5636363636363637,0.14198874537882897,0.8121588711104463,0.796684816361109,0.5329657444064948,0.9193269446448609,0.8,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,5000,early_layer_prior,baseline,21,-0.7857142857142857,-0.9146596422739907,-0.511633280003051,-0.7387531894400297,-0.8942842176645439,-0.423982120538073,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,5000,source_observed_drift_positive_control,positive_control,21,0.08051948051948052,-0.3922851105120733,0.5196690428257983,0.19141704163525405,-0.29257899829412476,0.5973390492818875,0.2,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,10000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,21,-0.7025974025974026,-0.8781449513109765,-0.36029047424497773,-0.8760186770121773,-0.9520819879383261,-0.6979006720878574,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,10000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6376623376623376,0.2533900971019324,0.8481198950136708,0.7967196077057864,0.5330339345490436,0.919341691584293,0.8,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,10000,early_layer_prior,baseline,21,-0.7909090909090909,-0.9168740140381018,-0.5216927602353248,-0.7357938013792599,-0.8929782325249301,-0.41864921644096764,0.0,,1.0,,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,2000,10000,source_observed_drift_positive_control,positive_control,21,0.06623376623376624,-0.40436915605074514,0.5091065246329476,0.20920223073993527,-0.27554552723337483,0.6091249901502948,0.2,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,2000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,21,-0.7376623376623377,-0.8938031302269469,-0.42201383028111134,-0.877920354199394,-0.9528462991260809,-0.7021005661549735,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,2000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6532467532467533,0.278217883466899,0.8554513441044986,0.7868166459283009,0.513761683142267,0.915130189354364,0.8,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,2000,early_layer_prior,baseline,21,-0.8298701298701299,-0.9332383095270352,-0.5996029499032763,-0.7598000037656295,-0.9034964302877174,-0.46254936001820357,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,2000,source_observed_drift_positive_control,positive_control,21,0.08961038961038961,-0.38450934439502654,0.5263214701337979,0.16480028939745278,-0.3175095939041383,0.5793668370941005,0.2,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,5000,condition_score_v4_two_axis_amplitude_minus_direction,primary_candidate,21,-0.7051948051948052,-0.8793178602092668,-0.36476204664228123,-0.8781271061450902,-0.9529293384257815,-0.7025579206347093,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,5000,condition_score_v4_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.587012987012987,0.17605087852404638,0.8237227156395783,0.792636377580405,0.5250542307612541,0.9176085851424471,0.8,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v4_final_data_cifar10lt_mixed_partition,fresh_final_heldout_data_partition,CIFAR-10-LT mixed-partition final data split,5000,5000,early_layer_prior,baseline,21,-0.8207792207792207,-0.9294579587393473,-0.5810249460957208,-0.7554876794111824,-0.9016196748726226,-0.45455453010514907,0.0,,1.0,,-0.1932648029430224,0.6528654485183636
