run_id,problem_family,base_setting,seed,state_source,budget,target_relative_norm,direction,loss_before,loss_after,delta_loss,update_grad_inner,update_grad_cosine,update_fro_norm,update_op_norm,mean_nr_update,mean_st_update,mean_grad_rank_fraction
29,MatrixSensing,Matrix sensing kappa=1e+02,4,muon_step3,op,0.01,top_singular,0.0047606310648114865,0.004742997608652173,1.7633456159313853e-05,1.7659853403104e-05,0.38660995240352547,0.0014812884488927416,0.0014812884488927414,1.0000000000000007,1.0,0.6417575074152867
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,fro,0.001,gd_spectrum,2.302579040308706,2.3025729778522472,6.062456458622023e-06,6.0325948350864216e-06,0.9713170182237394,0.00033939739816051716,0.0002382524159544578,6.007514892468047,2.047171029464505,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,fro,0.001,flat_polar,2.302579040308706,2.3025751230147065,3.917293999400329e-06,3.909747088165536e-06,0.6295141622305702,0.0003393973981605173,7.885598723305906e-05,13.0,12.999999999999991,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,fro,0.001,top_singular,2.302579040308706,2.302574535245339,4.505063366799789e-06,4.42132866684508e-06,0.71188466898019,0.0003393973981605173,0.0003154239489322362,1.0000000000000002,1.0,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,fro,0.01,gd_spectrum,2.302579040308706,2.3025175595080545,6.148080065138117e-05,6.032594835086422e-05,0.9713170182237394,0.003393973981605171,0.002382524159544578,6.007514892468046,2.047171029464505,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,fro,0.01,flat_polar,2.302579040308706,2.302539898639722,3.914166898377758e-05,3.909747088165536e-05,0.6295141622305703,0.003393973981605173,0.0007885598723305907,13.0,12.99999999999999,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,fro,0.01,top_singular,2.302579040308706,2.3025326888459667,4.635146273912483e-05,4.4213286668450796e-05,0.7118846689801901,0.003393973981605173,0.0031542394893223614,1.0000000000000004,1.0,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,op,0.001,gd_spectrum,2.302579040308706,2.3025758229743625,3.2173343433861135e-06,3.204747128915451e-06,0.9993049420386783,0.00017525123237536208,0.00011066011194025442,6.007514892468047,2.0471710294645056,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,op,0.001,flat_polar,2.302579040308706,2.3025733534375963,5.686871109578107e-06,5.6753079152987025e-06,0.639178515087003,0.00048521320264249823,0.00011066011194025432,13.0,12.99999999999999,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,op,0.001,top_singular,2.302579040308706,2.302577342710892,1.6975978138766834e-06,1.6820801640160655e-06,0.7222889708838787,0.0001272626770780862,0.00011066011194025438,1.0000000000000004,1.0,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,op,0.01,gd_spectrum,2.302579040308706,2.3025466504768315,3.2389831874368724e-05,3.204747128915451e-05,0.9993049420386778,0.0017525123237536217,0.001106601119402544,6.007514892468047,2.047171029464505,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,op,0.01,flat_polar,2.302579040308706,2.3025222016801075,5.6838628598399055e-05,5.675307915298703e-05,0.6391785150870032,0.004852132026424981,0.0011066011194025437,13.000000000000005,12.99999999999999,0.488409517481042
30,SmallMLPDigits,Small MLP digits hidden=16,0,initial,op,0.01,top_singular,2.302579040308706,2.3025617551082167,1.7285200489158825e-05,1.6820801640160657e-05,0.7222889708838789,0.0012726267707808619,0.0011066011194025439,1.0,1.0,0.488409517481042
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,fro,0.001,gd_spectrum,2.2938467416170822,2.293789362167116,5.737944996608846e-05,5.7414571368853214e-05,0.8502699319876209,0.0007328330910418889,0.0005335234288963709,4.3789263659981845,1.8875176288021933,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,fro,0.001,flat_polar,2.2938467416170822,2.2938137939537513,3.2947663330951116e-05,3.2932591473784646e-05,0.4877088105856963,0.0007328330910418889,0.00016860964965919567,13.000000000000004,12.99999999999999,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,fro,0.001,top_singular,2.2938467416170822,2.293803863063018,4.2878554064262886e-05,4.2973125907649985e-05,0.6364021531756116,0.0007328330910418892,0.0006744385986367826,1.0,1.0,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,fro,0.01,gd_spectrum,2.2938467416170822,2.2932750143758365,0.0005717272412457675,0.0005741457136885322,0.8502699319876207,0.007328330910418891,0.00533523428896371,4.378926365998183,1.887517628802193,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,fro,0.01,flat_polar,2.2938467416170822,2.2935175630011044,0.00032917861597780984,0.00032932591473784645,0.4877088105856962,0.0073283309104188905,0.0016860964965919568,12.999999999999998,12.99999999999999,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,fro,0.01,top_singular,2.2938467416170822,2.293423377727272,0.00042336388981034645,0.0004297312590764999,0.6364021531756116,0.007328330910418892,0.006744385986367827,1.0000000000000004,1.0,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,op,0.001,gd_spectrum,2.2938467416170822,2.293805371598147,4.137001893544934e-05,4.135230490189588e-05,0.8709935099285693,0.000515257792505554,0.00036832018717706383,4.378926365998184,1.8875176288021929,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,op,0.001,flat_polar,2.2938467416170822,2.2937825874433426,6.415417373961674e-05,6.415838587766679e-05,0.4499928021993885,0.001547346683039628,0.00036832018717706383,13.000000000000002,12.999999999999986,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,op,0.001,top_singular,2.2938467416170822,2.293823626671117,2.311494596529684e-05,2.311222651636751e-05,0.6309698303510071,0.00039753279057467146,0.00036832018717706383,1.0,1.0,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,op,0.01,gd_spectrum,2.2938467416170822,2.2934346476823855,0.0004120939346967667,0.00041352304901895887,0.8709935099285693,0.005152577925055541,0.0036832018717706393,4.378926365998183,1.8875176288021933,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,op,0.01,flat_polar,2.2938467416170822,2.293205555834722,0.0006411857823600542,0.0006415838587766681,0.44999280219938853,0.01547346683039628,0.003683201871770639,13.000000000000002,12.999999999999982,0.3590246092101755
31,SmallMLPDigits,Small MLP digits hidden=16,0,adam_step3,op,0.01,top_singular,2.2938467416170822,2.293618148103773,0.00022859351330906108,0.0002311222651636751,0.6309698303510068,0.003975327905746715,0.003683201871770639,1.0,1.0,0.3590246092101755
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,fro,0.001,gd_spectrum,2.3005820382248823,2.3005699822578385,1.2055967043789195e-05,1.2046389839880337e-05,0.9708334981318807,0.00036984567777463757,0.0002286582953907176,6.225061615957454,2.3706188437089404,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,fro,0.001,flat_polar,2.3005820382248823,2.300573868227997,8.169996885243336e-06,8.163717737561541e-06,0.6579241377927115,0.0003698456777746377,8.264018013083194e-05,13.000000000000002,12.999999999999986,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,fro,0.001,top_singular,2.3005820382248823,2.3005739773743232,8.060850559044042e-06,8.052296317122301e-06,0.6489445473253881,0.0003698456777746378,0.0003305607205233276,1.0000000000000002,1.0,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,fro,0.01,gd_spectrum,2.3005820382248823,2.300460999249283,0.00012103897559923027,0.00012046389839880342,0.9708334981318805,0.003698456777746378,0.0022865829539071764,6.225061615957453,2.3706188437089395,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,fro,0.01,flat_polar,2.3005820382248823,2.3004998331439985,8.2205080883746e-05,8.163717737561542e-05,0.6579241377927114,0.0036984567777463783,0.0008264018013083195,13.000000000000002,12.999999999999986,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,fro,0.01,top_singular,2.3005820382248823,2.300503788102338,7.825012254425445e-05,8.052296317122301e-05,0.648944547325388,0.0036984567777463783,0.003305607205233276,1.0000000000000002,1.0,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,op,0.001,gd_spectrum,2.3005820382248823,2.3005748420281433,7.1961967389455594e-06,7.190534965924401e-06,0.9979183465901832,0.00021477047741827037,0.00011892428321548445,6.225061615957454,2.3706188437089404,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,op,0.001,flat_polar,2.3005820382248823,2.3005700880639304,1.1950160951901267e-05,1.1937590836755776e-05,0.6621272771213187,0.0005373825959291904,0.00011892428321548446,13.0,12.999999999999977,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,op,0.001,top_singular,2.3005820382248823,2.3005788795582287,3.158666653568787e-06,3.1563088091043378e-06,0.658803170824371,0.00014280131077048822,0.00011892428321548446,1.0000000000000004,1.0,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,op,0.01,gd_spectrum,2.3005820382248823,2.300509660294425,7.237793045744567e-05,7.1905349659244e-05,0.9979183465901831,0.002147704774182704,0.0011892428321548445,6.225061615957454,2.3706188437089395,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,op,0.01,flat_polar,2.3005820382248823,2.300461439513945,0.00012059871093716978,0.00011937590836755777,0.6621272771213186,0.005373825959291905,0.001189242832154844,13.0,12.999999999999988,0.5005123626659231
32,SmallMLPDigits,Small MLP digits hidden=16,0,muon_step3,op,0.01,top_singular,2.3005820382248823,2.3005504031995563,3.163502532599338e-05,3.1563088091043374e-05,0.658803170824371,0.001428013107704882,0.0011892428321548447,1.0000000000000002,1.0,0.5005123626659231
33,SmallMLPDigits,Small MLP digits hidden=16,1,initial,fro,0.001,gd_spectrum,2.3025328074664575,2.30252446693051,8.340535947670702e-06,8.335749435946136e-06,0.935654518386404,0.000353332163304638,0.00024238167739523442,5.729463631604311,2.111629410978275,0.460848840766563
33,SmallMLPDigits,Small MLP digits hidden=16,1,initial,fro,0.001,flat_polar,2.3025328074664575,2.3025274408282512,5.366638206272256e-06,5.366977151339056e-06,0.6024217090873975,0.0003533321633046379,8.253742865484305e-05,13.0,12.99999999999999,0.460848840766563
33,SmallMLPDigits,Small MLP digits hidden=16,1,initial,fro,0.001,top_singular,2.3025328074664575,2.302526855460015,5.952006442377922e-06,5.94232730017041e-06,0.667002461009584,0.000353332163304638,0.00033014971461937215,1.0,1.0,0.460848840766563
33,SmallMLPDigits,Small MLP digits hidden=16,1,initial,fro,0.01,gd_spectrum,2.3025328074664575,2.3024492325708548,8.357489560273379e-05,8.335749435946138e-05,0.9356545183864039,0.0035333216330463812,0.002423816773952344,5.729463631604313,2.1116294109782747,0.460848840766563
33,SmallMLPDigits,Small MLP digits hidden=16,1,initial,fro,0.01,flat_polar,2.3025328074664575,2.302479269074693,5.3538391764362814e-05,5.366977151339055e-05,0.6024217090873973,0.00353332163304638,0.0008253742865484305,13.0,12.999999999999993,0.460848840766563
