group_type,problem_family,base_setting,budget,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,mean_delta,delta_ci95_low,delta_ci95_high
setting_budget,MatrixSensing,Matrix sensing kappa=1e+02,fro,top_singular_over_gd_spectrum,update_grad_inner,30,0.3649326089269995,0.35800383427666366,0.3719954824711424,False,True,-9.982179171605282e-05,-0.00013208669731809808,-6.755688611400756e-05
setting_budget,MatrixSensing,Matrix sensing kappa=1e+02,fro,top_singular_over_gd_spectrum,delta_loss,30,0.366061647647795,0.3591613489748217,0.3730945166040466,False,True,-9.837185052298808e-05,-0.00013006224104308178,-6.668146000289437e-05
setting_budget,MatrixSensing,Matrix sensing kappa=1e+02,op,flat_polar_over_gd_spectrum,update_grad_inner,30,2.315551184850618,2.2820771722567343,2.349516201663271,True,False,0.00015283434638987628,0.00010224425887637878,0.00020342443390337377
setting_budget,MatrixSensing,Matrix sensing kappa=1e+02,op,flat_polar_over_gd_spectrum,delta_loss,30,2.2979399654595296,2.262287804515619,2.334153980901985,True,False,0.00014768551780395083,9.940186051870159e-05,0.00019596917508920008
setting_budget,MatrixSensing,Matrix sensing kappa=1e+02,op,top_singular_over_gd_spectrum,update_grad_inner,30,0.1331758090582664,0.12816674535679284,0.138380638978938,False,True,-0.00010278817540960151,-0.00013804292941787527,-6.753342140132775e-05
setting_budget,MatrixSensing,Matrix sensing kappa=1e+02,op,top_singular_over_gd_spectrum,delta_loss,30,0.1337376930120873,0.12877469754628723,0.13889196304084803,False,True,-0.00010166512483236863,-0.00013637824748991955,-6.69520021748177e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=16,fro,flat_polar_over_gd_spectrum,update_grad_inner,30,0.6401894399109953,0.6285462884526157,0.6520482683662379,False,True,-5.6236028865556025e-05,-8.660813044763877e-05,-2.5863927283473276e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=16,fro,flat_polar_over_gd_spectrum,delta_loss,30,0.640900952171511,0.6289822951008415,0.6530454572310264,False,True,-5.624429350690185e-05,-8.669331836369313e-05,-2.5795268650110573e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=16,fro,top_singular_over_gd_spectrum,update_grad_inner,30,0.712414085820185,0.6960935011198889,0.7291173223977517,False,True,-4.473243665722708e-05,-6.896203139615936e-05,-2.050284191829479e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=16,fro,top_singular_over_gd_spectrum,delta_loss,30,0.7095725101881898,0.6925018286520165,0.7270639966320941,False,True,-4.5543627357898704e-05,-7.020835624667237e-05,-2.087889846912504e-05
setting_budget,SmallMLPDigits,Small MLP digits hidden=16,op,flat_polar_over_gd_spectrum,update_grad_inner,30,1.6716369810716494,1.6298600142556776,1.714484785224004,True,False,6.051072963277757e-05,2.8531040606125933e-05,9.24904186594292e-05
