seed,geometry,parameter,shape,gradient_nuclear_rank,update_nuclear_rank,protocol_version,search_id,setting_id,setting_index,phase,multiplicity_family,planned_family_size,partition_id,head_train_per_class,tail_train_per_class,tail_eval_per_class,warmup_steps,target_head_gain_fraction_registered,fresh_protocol_id,protocol_status
0,spectral,layer1.1.conv1.weight,64x64x3x3,26.283103770607827,63.99999999801328,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer1.1.conv2.weight,64x64x3x3,30.18443026655776,63.999999998036046,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer2.0.conv1.weight,128x64x3x3,33.42269630794066,127.99999994840208,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer2.0.conv2.weight,128x128x3x3,41.10404633357764,127.99999994701852,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer2.0.downsample.0.weight,128x64x1x1,14.93995837166388,63.999999998279414,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer2.1.conv1.weight,128x128x3x3,37.86028312740502,127.99999994937072,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer2.1.conv2.weight,128x128x3x3,30.096238400775125,127.99999994997852,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer3.0.conv1.weight,256x128x3x3,40.53789352635778,255.99999990304576,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer3.0.conv2.weight,256x256x3x3,44.286787524610794,255.99999989555548,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer3.0.downsample.0.weight,256x128x1x1,17.502373641406134,127.99999994924103,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer3.1.conv1.weight,256x256x3x3,37.74418402584884,255.9999999048183,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer3.1.conv2.weight,256x256x3x3,28.588161765058626,255.99999990182098,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer4.0.conv1.weight,512x256x3x3,31.571137276845075,511.9999995203477,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer4.0.conv2.weight,512x512x3x3,33.918593643554814,511.9999995064944,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
0,spectral,layer4.0.downsample.0.weight,512x256x1x1,14.082532618844025,255.99999989288978,nns_phase1_runner_v1,NNS-P1-tail-quality-controls,cifar100_tail_quality_mod5_12_vs_04_w2000_rho0p002_tail300,0,phase1_fresh_primary_search,NNS-P1-fresh-primary-family,26,cifar100_tail_quality_mod5_12_vs_04,300,300,40,2000,0.002,discussion/e11_natural_negative_search_protocol.md,fresh_phase1_output
