split_id,split_role,split_display_name,source_warmup_steps,target_warmup_steps,score,score_role,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,top5_residual_risk_overlap_fraction,threshold_below_one_accuracy,threshold_below_one_accuracy_ci95_low,target_observed_below_one_fraction,predicted_below_one_fraction,frozen_depth_intercept,frozen_depth_slope
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,5000,early_layer_prior,baseline,21,-0.9103896103896105,-0.9657511040581078,-0.775748092849635,-0.7905880651445679,-0.916737395863519,-0.521068932178921,0.0,,,1.0,,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,5000,source_observed_drift_positive_control,positive_control,21,-0.07532467532467534,-0.5158435966727819,0.3966982725081465,0.09288151848134436,-0.3816948783417107,0.5287021656862054,0.2,1.0,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,10000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,21,-0.6597402597402597,-0.8584823802822512,-0.2887128459237657,-0.830729623495471,-0.9335945396299578,-0.6013723297228072,0.0,,,1.0,,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,10000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6441558441558441,0.2636738483846208,0.8511844923000252,0.7714030391925787,0.4843035311957718,0.9085189435238917,0.8,1.0,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,10000,early_layer_prior,baseline,21,-0.8246753246753247,-0.9310809084472761,-0.5889564717808559,-0.7749928664551493,-0.9100648591012086,-0.4911066704066551,0.0,,,1.0,,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,2000,10000,source_observed_drift_positive_control,positive_control,21,0.04805194805194805,-0.4195148348971041,0.49546758524007917,0.15511445719805075,-0.3264193329902791,0.5727251573602665,0.2,1.0,1.0,1.0,1.0,0.29725807207050226,0.6284144899585095
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,2000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,21,-0.7194805194805195,-0.8857313201189204,-0.3896396303893761,-0.8354064107155851,-0.9355293480088547,-0.6110396941265789,0.0,,,1.0,,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,2000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6987012987012987,0.35361248182600574,0.8763816218980964,0.7968841342972576,0.5333564488535328,0.9194114244834245,0.8,1.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,2000,early_layer_prior,baseline,21,-0.9194805194805193,-0.969315838565365,-0.7970471737619426,-0.7984615780231109,-0.9200796169567946,-0.5364525367388538,0.0,,,1.0,,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,2000,source_observed_drift_positive_control,positive_control,21,-0.08051948051948052,-0.5196690428257983,0.3922851105120733,0.07241222080111118,-0.3991629914409167,0.5136911565265619,0.2,1.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,5000,condition_score_v5_transport_normalized_amplitude_minus_direction,primary_candidate,21,-0.7181818181818181,-0.8851508893089856,-0.3873579648195924,-0.8179736458664714,-0.9282866657450434,-0.575341538346514,0.0,,,1.0,,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,5000,condition_score_v5_direction_axis_scaled_jvp_ratio,direction_guardrail,21,0.6376623376623376,0.2533900971019324,0.8481198950136708,0.7774814381620523,0.4958432150191684,0.9111343311326785,0.8,1.0,1.0,1.0,1.0,-0.1932648029430224,0.6528654485183636
v5_final_data_cifar10lt_cross_partition,v5_final_heldout_data_partition,CIFAR-10-LT cross-partition final data split,5000,5000,early_layer_prior,baseline,21,-0.916883116883117,-0.9682994772889666,-0.790930483263557,-0.8037156685027294,-0.9223001148442551,-0.5468159896225376,0.0,,,1.0,,-0.1932648029430224,0.6528654485183636
