problem_family,base_setting,seed,source_algo,checkpoint_step,checkpoint_loss,checkpoint_recovery,continuation_variant,continuation_algo,horizon,loss_before,loss_after,total_decrease,recovery_before,recovery_after,finite
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,0.005232172796075546,1.2226775131050143,switched_fresh,Muon,1,0.005232172796075546,0.0033416400078329044,0.0018905327882426416,1.2226775131050143,1.2018997105321254,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,0.005232172796075546,1.2226775131050143,own_fresh,Adam,3,0.005232172796075546,0.0025255452935733207,0.0027066275025022252,1.2226775131050143,1.1791865654923832,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,0.005232172796075546,1.2226775131050143,switched_fresh,Muon,3,0.005232172796075546,0.000941475963468719,0.004290696832606827,1.2226775131050143,1.1706021484383837,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,0.005232172796075546,1.2226775131050143,own_fresh,Adam,10,0.005232172796075546,0.0006694220949093343,0.004562750701166212,1.2226775131050143,1.1686319788809438,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,0.005232172796075546,1.2226775131050143,switched_fresh,Muon,10,0.005232172796075546,9.938902559110993e-05,0.005132783770484436,1.2226775131050143,1.1486136485628442,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,0.005232172796075546,1.2226775131050143,own_fresh,Adam,30,0.005232172796075546,0.0001031018186025218,0.005129070977473024,1.2226775131050143,1.1596927605622322,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Adam,3,0.005232172796075546,1.2226775131050143,switched_fresh,Muon,30,0.005232172796075546,0.00010509370927608417,0.005127079086799461,1.2226775131050143,1.1484425080379512,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,0.0047606310648114865,1.132896832200625,own_fresh,Muon,1,0.0047606310648114865,0.0030794119138770376,0.0016812191509344488,1.132896832200625,1.133136037495883,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,0.0047606310648114865,1.132896832200625,switched_fresh,Adam,1,0.0047606310648114865,0.004251444123297772,0.0005091869415137142,1.132896832200625,1.1693744185524027,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,0.0047606310648114865,1.132896832200625,own_fresh,Muon,3,0.0047606310648114865,0.0009366793692151946,0.003823951695596292,1.132896832200625,1.1425566568230558,True
MatrixSensing,Matrix sensing kappa=1e+02,4,Muon,3,0.0047606310648114865,1.132896832200625,switched_fresh,Adam,3,0.0047606310648114865,0.002418687133640105,0.0023419439311713813,1.132896832200625,1.1930445579259843,True
