group_type,problem_family,base_setting,source_algo,horizon,metric,n_pairs,switched_better_pairs,mean_signed_switched_over_own,signed_ratio_ci95_low,signed_ratio_ci95_high,geomean_switched_over_own,ratio_ci95_low,ratio_ci95_high,positive_ratio_pairs,mean_delta_switched_minus_own,delta_ci95_low,delta_ci95_high
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,1,loss_after,5,5,0.9182802942608153,0.9058078518576684,0.9307527366639621,0.9182366027410378,0.9059045809423815,0.9307364995729392,5,-1.2451406410327602e-05,-1.4867088021463509e-05,-1.0035724799191695e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,1,total_decrease,5,5,15.165979311293034,13.515951755787478,16.81600686679859,15.122087616398387,13.626222819056842,16.78216604224425,5,1.2451406410327602e-05,1.0035724799191695e-05,1.4867088021463509e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,1,recovery_after,5,5,0.961588614065519,0.9550293399615896,0.9681478881694484,0.9615770382496379,0.9550543921067366,0.9681442315021668,5,-0.03810333125658523,-0.04456794067107031,-0.03163872184210015
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,3,loss_after,5,5,0.4743649884645156,0.4121156447013911,0.5366143322276401,0.47221479389973936,0.41342907962556574,0.539359282079838,5,-7.872211266111101e-05,-9.151415738135887e-05,-6.593006794086315e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,3,total_decrease,5,5,24.6182649149188,20.965542401044882,28.27098742879272,24.482595005057103,21.182431977826468,28.296914103587802,5,7.872211266111101e-05,6.593006794086315e-05,9.151415738135887e-05
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,3,recovery_after,5,5,0.7132901643889078,0.6701768656055384,0.7564034631722772,0.7126193763398525,0.6710478796883773,0.7567662321961673,5,-0.28226808442114537,-0.32443830674734864,-0.24009786209494208
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,10,loss_after,5,5,0.15952277234956772,0.13151007980868418,0.18753546489045125,0.1582862684283583,0.13327279437792286,0.1879944281946014,5,-0.00010873280105836748,-0.00011236882134242022,-0.00010509678077431475
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,10,total_decrease,5,5,5.702908639903001,5.130990353119749,6.274826926686252,5.688735533251424,5.1640300971245985,6.266755103789345,5,0.00010873280105836748,0.00010509678077431475,0.00011236882134242022
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,10,recovery_after,5,5,0.39816872874653464,0.354539503266488,0.4417979542265813,0.3969574427927824,0.35640782894520745,0.4421205108062035,5,-0.5547133432909942,-0.5957275587416803,-0.5136991278403081
setting_source_horizon,MatrixFactorizationInput,MF input kappa=1e+02,Muon,30,loss_after,5,2,1.0486618882338277,0.5087088946510377,1.5886148818166177,0.973214382577791,0.5598404689444381,1.691814520379504,5,-1.257933141690171e-07,-1.4603778236059303e-06,1.2087911952678959e-06
