problem_family,setting,kappa,lr,algo,runs,median_final_loss,median_recovery,median_nrG,median_stA,median_condition_score,median_relative_update_fro_norm,median_mean_relative_layer_update_norm,median_delta_loss
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=10 num_factors=10 input_columns_multiplier=2 lr=3e-03,10.0,0.003,Adam,5,0.003037435957606774,0.9921770148038559,2.835627930177656,2.787845370442408,1.0796556133396396,0.0033448434929810155,0.01859574414190837,6.364047233853353e-06
MatrixFactorizationInput,overlap MF d=20 rank=10 kappa=10 num_factors=10 input_columns_multiplier=2 lr=3e-03,10.0,0.003,Muon,5,0.0030766072107876407,0.9957750765122163,4.337906628293402,4.355056853096746,1.0264582691435276,0.0033448434929810146,0.01508481428732664,3.634442351333053e-06
MatrixSensing,overlap MS d=20 rank=10 kappa=1 measurement_multiplier=0.5 lr=1e-02,1.0,0.01,Adam,5,0.1727483602657192,0.9802957854079353,14.499115503862788,45.67751330211436,0.3154388199298345,0.20207725960730769,0.20207725960730769,0.011434516671378597
MatrixSensing,overlap MS d=20 rank=10 kappa=1 measurement_multiplier=0.5 lr=1e-02,1.0,0.01,Muon,5,0.17094973088217358,0.9789163637816531,14.236805262616292,45.67751330211436,0.31091747562451094,0.20207725960730757,0.20207725960730757,0.011786982611462854
MatrixSensing,overlap MS d=20 rank=10 kappa=1 measurement_multiplier=0.5 lr=3e-02,1.0,0.03,Adam,5,0.08673213677843762,0.9425584145356339,14.426938763266458,45.67751330211436,0.31387839930554357,0.40785109226283695,0.40785109226283695,0.02906888271479527
MatrixSensing,overlap MS d=20 rank=10 kappa=1 measurement_multiplier=0.5 lr=3e-02,1.0,0.03,Muon,5,0.08479487579295969,0.9405982140983296,13.663540721048147,45.67751330211436,0.29870058582133086,0.407851092262837,0.407851092262837,0.02961391551941131
MatrixSensing,overlap MS d=20 rank=10 kappa=1 measurement_multiplier=0.5 lr=3e-03,1.0,0.003,Adam,5,0.21171956500320335,0.9968450810217427,14.534849911305177,45.67751330211436,0.3155658107253877,0.06517229609240519,0.06517229609240519,0.003637894568438077
MatrixSensing,overlap MS d=20 rank=10 kappa=1 measurement_multiplier=0.5 lr=3e-03,1.0,0.003,Muon,5,0.21104617255728983,0.9959557909169419,14.447944282621608,45.67751330211436,0.31424005490483203,0.06517229609240517,0.06517229609240517,0.0037703874684690553
MatrixSensing,overlap MS d=20 rank=10 kappa=10 measurement_multiplier=2 lr=1e-02,10.0,0.01,Adam,5,0.044105599251192375,0.9333694586617478,12.557033142789656,100.59125758005499,0.12401411658514437,0.20652542553279116,0.20652542553279116,0.0033931154949176784
MatrixSensing,overlap MS d=20 rank=10 kappa=10 measurement_multiplier=2 lr=1e-02,10.0,0.01,Muon,5,0.04427315035155143,0.9535957288724587,11.337522352754494,100.59125758005499,0.11257582058199844,0.20652542553279118,0.20652542553279118,0.0033566097786009927
MatrixSensing,overlap MS d=20 rank=10 kappa=10 measurement_multiplier=2 lr=3e-02,10.0,0.03,Adam,5,0.020002249868023476,0.8236494384064725,12.13788080715149,100.59125758005499,0.1192983883271439,0.42374515179630695,0.42374515179630695,0.007909696936347702
MatrixSensing,overlap MS d=20 rank=10 kappa=10 measurement_multiplier=2 lr=3e-02,10.0,0.03,Muon,5,0.02164795497994116,0.8816281858678907,9.090659652080575,100.59125758005499,0.09037226366163903,0.423745151796307,0.423745151796307,0.0075519291615772435
MatrixSensing,overlap MS d=20 rank=10 kappa=10 measurement_multiplier=2 lr=3e-03,10.0,0.003,Adam,5,0.05630838982106228,0.9854945335594687,12.725108761603613,100.59125758005499,0.12623941867117755,0.06574916866412497,0.06574916866412497,0.0011182723638996084
MatrixSensing,overlap MS d=20 rank=10 kappa=10 measurement_multiplier=2 lr=3e-03,10.0,0.003,Muon,5,0.056062329446674386,0.9911298284782739,12.3888886921171,100.59125758005499,0.12332571932451038,0.06574916866412502,0.06574916866412502,0.0011125683148641846
