metric,problem_family,n_pairs,muon_lower_pairs,muon_higher_pairs,geomean_ratio_muon_over_adam,ratio_ci95_low,ratio_ci95_high,mean_delta_muon_minus_adam,delta_ci95_low,delta_ci95_high,ratio_ci95_below_one,delta_ci95_below_zero
loss_mean_rel_speed,All,90,51,39,0.8385947993051204,0.753474202183538,0.93333153993014,0.007295086424452309,0.0011902385529764144,0.013399934295928204,True,False
loss_mean_rel_speed,MatrixFactorizationInput,30,20,10,0.8032986628596526,0.6048249361964224,1.066901682014219,0.024278983289410576,0.007613186176041814,0.04094478040277934,False,False
loss_mean_rel_speed,MatrixSensing,45,16,29,1.0092264514171967,0.9951962188854309,1.0234544815502393,-0.0009093166605571036,-0.0027134093661193644,0.0008947760450051574,False,False
loss_mean_rel_speed,SmallMLPDigits,15,15,0,0.5243158978205573,0.4376793185975507,0.6281017837174899,-0.002059498050435985,-0.0036294504180962835,-0.000489545682775687,True,True
median_relative_update_fro_norm,All,90,38,28,1.0,0.9999999999999999,1.0,-7.19910242530375e-18,-1.636189608739855e-17,1.963691236791051e-18,False,False
median_relative_update_fro_norm,MatrixFactorizationInput,30,10,11,1.0,0.9999999999999999,1.0,1.4456028966473392e-19,-6.028630633683683e-19,8.919836426978362e-19,False,False
median_relative_update_fro_norm,MatrixSensing,45,22,15,1.0,0.9999999999999999,1.0,-1.1873218457796812e-17,-2.922026583682397e-17,5.473828921230344e-18,False,False
median_relative_update_fro_norm,SmallMLPDigits,15,6,2,0.9999999999999999,0.9999999999999998,1.0,-7.864079757761525e-18,-2.5614816200656492e-17,9.886656685133441e-18,False,False
median_mean_relative_layer_update_norm,All,90,46,36,0.9780312629134897,0.9599913701095304,0.9964101564027793,0.00044004145322354275,-0.00044484128672080505,0.0013249241931678904,True,False
median_mean_relative_layer_update_norm,MatrixFactorizationInput,30,24,6,0.8956589226537924,0.8667299075669181,0.9255535071834542,-0.0028413311433041,-0.0036478570442576327,-0.002034805242350567,True,True
median_mean_relative_layer_update_norm,MatrixSensing,45,22,15,1.0,0.9999999999999999,1.0,-1.1873218457796812e-17,-2.922026583682397e-17,5.473828921230344e-18,False,False
median_mean_relative_layer_update_norm,SmallMLPDigits,15,0,15,1.0910159764322656,1.0571833189821749,1.125931368247894,0.00832291100594949,0.0063099550479489945,0.010335866963949985,False,False
relative_update_fro_norm_mean_abs_speed,All,90,30,37,0.9999999999999982,0.9999999999999887,1.0000000000000078,-6.279196410154005e-19,-4.2968006374669136e-18,3.040961355436113e-18,False,False
relative_update_fro_norm_mean_abs_speed,MatrixFactorizationInput,30,8,16,0.9999999999999917,0.9999999999999625,1.0000000000000207,3.6234657761960214e-19,5.394964886380958e-20,6.707435063753947e-19,False,False
relative_update_fro_norm_mean_abs_speed,MatrixSensing,45,16,18,1.0000000000000016,0.9999999999999982,1.000000000000005,-1.4648776019359704e-18,-8.78592081009855e-18,5.85616560622661e-18,False,False
relative_update_fro_norm_mean_abs_speed,SmallMLPDigits,15,6,3,1.0000000000000013,0.9999999999999973,1.0000000000000053,-9.75781955236954e-20,-2.645828075071917e-18,2.4506716840245264e-18,False,False
mean_relative_layer_update_norm_mean_abs_speed,All,90,46,33,0.9207613938455478,0.8649579722631504,0.9801650156228227,5.8966585750967015e-05,-0.0005396765895292701,0.0006576097610312041,True,False
mean_relative_layer_update_norm_mean_abs_speed,MatrixFactorizationInput,30,30,0,0.6491154809042216,0.6149156637969543,0.6852173921668863,-0.0020047163578520892,-0.0026153768693651367,-0.0013940558463390418,True,True
mean_relative_layer_update_norm_mean_abs_speed,MatrixSensing,45,16,18,1.0000000000000016,0.9999999999999982,1.000000000000005,-1.4648776019359704e-18,-8.78592081009855e-18,5.85616560622661e-18,False,False
mean_relative_layer_update_norm_mean_abs_speed,SmallMLPDigits,15,0,15,1.446234363361215,1.3354794076688612,1.5661745301021066,0.004363232230209985,0.0021951257729258306,0.006531338687494139,False,False
update_normalized_rank_plane_mean_speed,All,90,41,49,1.9267703750143896,1.4712088356577258,2.523397078684202,-10.115357839053114,-15.750922499899396,-4.479793178206832,False,True
update_normalized_rank_plane_mean_speed,MatrixFactorizationInput,30,30,0,0.49422298385337676,0.4271699648157082,0.5718013387816566,-31.779546214116138,-45.86099072336669,-17.698101704865586,True,True
update_normalized_rank_plane_mean_speed,MatrixSensing,45,0,45,6.062849039393493,4.936046691946603,7.446878193929416,1.4780930120060718,1.213935495941054,1.7422505280710896,False,False
