group_type,problem_family,setting,checkpoint_source,comparison,metric,n_pairs,geomean_ratio,ratio_ci95_low,ratio_ci95_high,ratio_ci95_above_one,ratio_ci95_below_one,numerator_higher_rate
family,SmallMLPDigits,All,All,PolarMuon/FreshAdamSign,stUpdate,210,6.510209321398058,6.127504085911909,6.916817159838851,True,False,1.0
family,SmallMLPDigits,All,All,PolarMuon/GD,delta_loss,210,0.5175535769929986,0.5022880354170947,0.5332830690179953,False,True,0.0
family,SmallMLPDigits,All,All,PolarMuon/GD,update_grad_inner,210,0.5169992985807343,0.5017135753577697,0.532750732412152,False,True,0.0
family,SmallMLPDigits,All,All,PolarMuon/GD,update_grad_cosine,210,0.5169992985807342,0.5017135753577697,0.5327507324121519,False,True,0.0
family,SmallMLPDigits,All,All,PolarMuon/GD,nrUpdate,210,3.576817513049637,3.3742498960272442,3.7915459482480767,True,False,1.0
family,SmallMLPDigits,All,All,PolarMuon/GD,stUpdate,210,10.009941823737698,9.367516104870836,10.696425198832877,True,False,1.0
family_source,MatrixFactorizationInput,All,Adam,FreshAdamSign/GD,delta_loss,90,0.7247597050174428,0.7130678118910416,0.7366433055279098,False,True,0.0
family_source,MatrixFactorizationInput,All,Adam,FreshAdamSign/GD,update_grad_inner,90,0.728530742996597,0.7169395740353504,0.7403093129645031,False,True,0.0
family_source,MatrixFactorizationInput,All,Adam,FreshAdamSign/GD,update_grad_cosine,90,0.728530742996597,0.7169395740353504,0.7403093129645031,False,True,0.0
family_source,MatrixFactorizationInput,All,Adam,FreshAdamSign/GD,nrUpdate,90,1.258982562132574,1.211284260281285,1.3085591415064064,True,False,0.9333333333333333
family_source,MatrixFactorizationInput,All,Adam,FreshAdamSign/GD,stUpdate,90,1.0863788749943781,1.0634366598443172,1.1098160375690171,True,False,0.9666666666666667
family_source,MatrixFactorizationInput,All,Adam,PolarMuon/FreshAdamSign,delta_loss,90,0.5103304932613201,0.4942909221128041,0.5268905430007207,False,True,0.0
family_source,MatrixFactorizationInput,All,Adam,PolarMuon/FreshAdamSign,update_grad_inner,90,0.5076310047837475,0.49197140928530536,0.5237890498395145,False,True,0.0
family_source,MatrixFactorizationInput,All,Adam,PolarMuon/FreshAdamSign,update_grad_cosine,90,0.5076310047837475,0.49197140928530536,0.5237890498395145,False,True,0.0
family_source,MatrixFactorizationInput,All,Adam,PolarMuon/FreshAdamSign,nrUpdate,90,3.413544788559501,3.2221248691428057,3.6163365781046317,True,False,1.0
family_source,MatrixFactorizationInput,All,Adam,PolarMuon/FreshAdamSign,stUpdate,90,4.537777419011254,4.422025371326025,4.6565594213933075,True,False,1.0
family_source,MatrixFactorizationInput,All,Adam,PolarMuon/GD,delta_loss,90,0.3698669777574805,0.3591112429269713,0.38094485742200085,False,True,0.0
family_source,MatrixFactorizationInput,All,Adam,PolarMuon/GD,update_grad_inner,90,0.3698247930832127,0.3597361268724505,0.3801963921948127,False,True,0.0
family_source,MatrixFactorizationInput,All,Adam,PolarMuon/GD,update_grad_cosine,90,0.36982479308321264,0.3597361268724505,0.3801963921948126,False,True,0.0
family_source,MatrixFactorizationInput,All,Adam,PolarMuon/GD,nrUpdate,90,4.297593363854936,4.16583804908511,4.433515778441306,True,False,1.0
family_source,MatrixFactorizationInput,All,Adam,PolarMuon/GD,stUpdate,90,4.929745527440339,4.9038702784977986,4.955757307014772,True,False,1.0
family_source,MatrixFactorizationInput,All,Init,FreshAdamSign/GD,delta_loss,30,0.5053402765553914,0.4932256877000347,0.5177524234390387,False,True,0.0
family_source,MatrixFactorizationInput,All,Init,FreshAdamSign/GD,update_grad_inner,30,0.5039906127271595,0.49061863234008635,0.5177270510611709,False,True,0.0
family_source,MatrixFactorizationInput,All,Init,FreshAdamSign/GD,update_grad_cosine,30,0.5039906127271595,0.4906186323400863,0.5177270510611708,False,True,0.0
family_source,MatrixFactorizationInput,All,Init,FreshAdamSign/GD,nrUpdate,30,1.4590444972724375,1.3967499799193495,1.5241173263835668,True,False,1.0
family_source,MatrixFactorizationInput,All,Init,FreshAdamSign/GD,stUpdate,30,1.1141035034421025,1.0824573872891352,1.1466748076711335,True,False,1.0
family_source,MatrixFactorizationInput,All,Init,PolarMuon/FreshAdamSign,delta_loss,30,0.4520316860629103,0.4387456097327735,0.46572009080462423,False,True,0.0
family_source,MatrixFactorizationInput,All,Init,PolarMuon/FreshAdamSign,update_grad_inner,30,0.4542092071688141,0.44081252217325795,0.46801302934819006,False,True,0.0
family_source,MatrixFactorizationInput,All,Init,PolarMuon/FreshAdamSign,update_grad_cosine,30,0.4542092071688141,0.44081252217325795,0.46801302934819006,False,True,0.0
family_source,MatrixFactorizationInput,All,Init,PolarMuon/FreshAdamSign,nrUpdate,30,2.546476107909153,2.352823458263564,2.756067628184005,True,False,1.0
family_source,MatrixFactorizationInput,All,Init,PolarMuon/FreshAdamSign,stUpdate,30,4.360927783101043,4.188613038123686,4.5403313594090475,True,False,1.0
family_source,MatrixFactorizationInput,All,Init,PolarMuon/GD,delta_loss,30,0.22842981724683106,0.2183996464748539,0.23892063128146387,False,True,0.0
family_source,MatrixFactorizationInput,All,Init,PolarMuon/GD,update_grad_inner,30,0.22891717662732802,0.21877857718066462,0.23952561731742816,False,True,0.0
family_source,MatrixFactorizationInput,All,Init,PolarMuon/GD,update_grad_cosine,30,0.22891717662732802,0.21877857718066462,0.23952561731742816,False,True,0.0
family_source,MatrixFactorizationInput,All,Init,PolarMuon/GD,nrUpdate,30,3.7154219526805825,3.4852571276329907,3.9607867600391407,True,False,1.0
family_source,MatrixFactorizationInput,All,Init,PolarMuon/GD,stUpdate,30,4.858524921410872,4.7722038565988925,4.946407387716623,True,False,1.0
family_source,MatrixFactorizationInput,All,Muon,FreshAdamSign/GD,delta_loss,90,0.5781964193313515,0.5707616954979127,0.5857279876428193,False,True,0.0
family_source,MatrixFactorizationInput,All,Muon,FreshAdamSign/GD,update_grad_inner,90,0.5735565630697205,0.56575268150686,0.5814680898447696,False,True,0.0
family_source,MatrixFactorizationInput,All,Muon,FreshAdamSign/GD,update_grad_cosine,90,0.5735565630697205,0.56575268150686,0.5814680898447696,False,True,0.0
family_source,MatrixFactorizationInput,All,Muon,FreshAdamSign/GD,nrUpdate,90,1.534222023399582,1.4642387694457522,1.607550125158405,True,False,0.9666666666666667
family_source,MatrixFactorizationInput,All,Muon,FreshAdamSign/GD,stUpdate,90,1.1627885505674782,1.1312027267884763,1.1952563243631942,True,False,1.0
family_source,MatrixFactorizationInput,All,Muon,PolarMuon/FreshAdamSign,delta_loss,90,0.4577117738876687,0.44565721055807656,0.47009240059876706,False,True,0.0
family_source,MatrixFactorizationInput,All,Muon,PolarMuon/FreshAdamSign,update_grad_inner,90,0.4659159141595419,0.45409370718850456,0.47804590909472305,False,True,0.0
family_source,MatrixFactorizationInput,All,Muon,PolarMuon/FreshAdamSign,update_grad_cosine,90,0.465915914159542,0.45409370718850467,0.47804590909472305,False,True,0.0
family_source,MatrixFactorizationInput,All,Muon,PolarMuon/FreshAdamSign,nrUpdate,90,2.541820767934873,2.379821363618488,2.714847809619367,True,False,1.0
family_source,MatrixFactorizationInput,All,Muon,PolarMuon/FreshAdamSign,stUpdate,90,4.1652491325832655,4.0340089717155,4.300758986440155,True,False,1.0
family_source,MatrixFactorizationInput,All,Muon,PolarMuon/GD,delta_loss,90,0.26464730874765124,0.2551773075705321,0.27446875544768334,False,True,0.0
family_source,MatrixFactorizationInput,All,Muon,PolarMuon/GD,update_grad_inner,90,0.26722913040483376,0.2575984029816599,0.2772199179433883,False,True,0.0
family_source,MatrixFactorizationInput,All,Muon,PolarMuon/GD,update_grad_cosine,90,0.26722913040483387,0.25759840298166004,0.2772199179433884,False,True,0.0
family_source,MatrixFactorizationInput,All,Muon,PolarMuon/GD,nrUpdate,90,3.89971740170012,3.7342621262143516,4.072503562715831,True,False,1.0
family_source,MatrixFactorizationInput,All,Muon,PolarMuon/GD,stUpdate,90,4.843304001628941,4.798163418149112,4.8888692626570975,True,False,1.0
family_source,MatrixSensing,All,Adam,FreshAdamSign/GD,delta_loss,90,0.7986613607696074,0.7973665753838203,0.7999582486628821,False,True,0.0
family_source,MatrixSensing,All,Adam,FreshAdamSign/GD,update_grad_inner,90,0.7949443534235231,0.7938099081037219,0.7960804199956802,False,True,0.0
family_source,MatrixSensing,All,Adam,FreshAdamSign/GD,update_grad_cosine,90,0.7949443534235232,0.7938099081037219,0.7960804199956804,False,True,0.0
family_source,MatrixSensing,All,Adam,FreshAdamSign/GD,nrUpdate,90,1.0138335071522804,1.0110108127378212,1.0166640823961601,True,False,0.8333333333333334
family_source,MatrixSensing,All,Adam,FreshAdamSign/GD,stUpdate,90,1.1600675294292655,1.1167024030656936,1.2051166623637608,True,False,0.7333333333333333
family_source,MatrixSensing,All,Adam,PolarMuon/FreshAdamSign,delta_loss,90,1.0562356713630088,1.0541395937335563,1.058335916885836,True,False,1.0
family_source,MatrixSensing,All,Adam,PolarMuon/FreshAdamSign,update_grad_inner,90,1.0576525474480174,1.0555231390258617,1.0597862517307381,True,False,1.0
family_source,MatrixSensing,All,Adam,PolarMuon/FreshAdamSign,update_grad_cosine,90,1.0576525474480174,1.0555231390258617,1.059786251730738,True,False,1.0
family_source,MatrixSensing,All,Adam,PolarMuon/FreshAdamSign,nrUpdate,90,1.3953201379343403,1.392649169622947,1.397996228908265,True,False,1.0
family_source,MatrixSensing,All,Adam,PolarMuon/FreshAdamSign,stUpdate,90,4.129637069564326,4.006878020095631,4.256157098067289,True,False,1.0
family_source,MatrixSensing,All,Adam,PolarMuon/GD,delta_loss,90,0.8435746185841804,0.8419080720000114,0.8452444640766382,False,True,0.0
family_source,MatrixSensing,All,Adam,PolarMuon/GD,update_grad_inner,90,0.8407749204778063,0.8392101562541744,0.8423426023104036,False,True,0.0
family_source,MatrixSensing,All,Adam,PolarMuon/GD,update_grad_cosine,90,0.8407749204778063,0.8392101562541744,0.8423426023104036,False,True,0.0
family_source,MatrixSensing,All,Adam,PolarMuon/GD,nrUpdate,90,1.4146223090421757,1.4093617083544523,1.4199025455121344,True,False,1.0
family_source,MatrixSensing,All,Adam,PolarMuon/GD,stUpdate,90,4.790657872728997,4.487485362799895,5.114312582229968,True,False,1.0
family_source,MatrixSensing,All,Init,FreshAdamSign/GD,delta_loss,30,0.7988743386236209,0.7976068415281147,0.8001438499306452,False,True,0.0
family_source,MatrixSensing,All,Init,FreshAdamSign/GD,update_grad_inner,30,0.7976403048762747,0.7964186365845768,0.7988638471490002,False,True,0.0
family_source,MatrixSensing,All,Init,FreshAdamSign/GD,update_grad_cosine,30,0.7976403048762749,0.7964186365845769,0.7988638471490004,False,True,0.0
family_source,MatrixSensing,All,Init,FreshAdamSign/GD,nrUpdate,30,1.0359146528171945,1.0333138895336715,1.038521962000976,True,False,1.0
family_source,MatrixSensing,All,Init,FreshAdamSign/GD,stUpdate,30,1.4725704129991162,1.433977784135442,1.512201684873224,True,False,1.0
family_source,MatrixSensing,All,Init,PolarMuon/FreshAdamSign,delta_loss,30,1.0353514556111738,1.0339597887646108,1.0367449955833967,True,False,1.0
family_source,MatrixSensing,All,Init,PolarMuon/FreshAdamSign,update_grad_inner,30,1.0356610092431122,1.034252577934244,1.0370713585348736,True,False,1.0
family_source,MatrixSensing,All,Init,PolarMuon/FreshAdamSign,update_grad_cosine,30,1.035661009243112,1.0342525779342437,1.0370713585348734,True,False,1.0
family_source,MatrixSensing,All,Init,PolarMuon/FreshAdamSign,nrUpdate,30,1.4145769916462956,1.4116225151133173,1.4175376517952836,True,False,1.0
family_source,MatrixSensing,All,Init,PolarMuon/FreshAdamSign,stUpdate,30,5.56257174170296,5.408455361505066,5.721079737816622,True,False,1.0
family_source,MatrixSensing,All,Init,PolarMuon/GD,delta_loss,30,0.8271157093443795,0.8260651007981787,0.8281676540786317,False,True,0.0
