source_warmup_steps,target_warmup_steps,score,score_family,points,spearman_score_vs_target_residual,spearman_ci95_low,spearman_ci95_high,pearson_score_vs_target_residual,pearson_ci95_low,pearson_ci95_high,top5_residual_risk_overlap_fraction,threshold_below_one_accuracy,target_observed_below_one_fraction,predicted_below_one_fraction
5000,10000,theory_sign_composite,baseline,21,0.3220779220779221,-0.15984562487207046,0.6800224926040944,0.4523251037547287,-0.007572321509878739,0.7542804835835133,0.4,,1.0,
5000,10000,source_observed_drift_positive_control,positive_control,21,0.9623376623376624,0.9017343449265632,0.9858433611592096,0.9728304459821127,0.9284960756677233,0.9898213900365432,0.8,1.0,1.0,1.0
10000,2000,condition_score_v2_calibrated_residual,primary_candidate,21,0.6090909090909091,0.20915041754588923,0.8344662529996034,0.4700128326421212,0.014893632668428696,0.7638022529341119,0.6,1.0,1.0,1.0
10000,2000,early_layer_prior,baseline,21,0.23896103896103899,-0.24634707695622532,0.6284583353861927,0.042061255449808904,-0.4244487815594691,0.49092487150125735,0.2,,1.0,
10000,2000,legacy_scaled_jvp_ratio,baseline,21,-0.509090909090909,-0.7843952343094218,-0.06621277990606086,-0.45563877042418083,-0.7560740391863121,0.00339853606763892,0.2,1.0,1.0,1.0
10000,2000,theory_sign_composite,baseline,21,0.3987012987012987,-0.07295839649723174,0.724615658517858,0.3937646907581003,-0.07878069978895479,0.7218226223103159,0.4,,1.0,
10000,2000,source_observed_drift_positive_control,positive_control,21,0.9142857142857143,0.7848388606275799,0.9672814107234875,0.9303963343943016,0.8230306824843767,0.9735686410158473,0.8,1.0,1.0,1.0
10000,5000,condition_score_v2_calibrated_residual,primary_candidate,21,0.5506493506493506,0.12348719039626006,0.8056490186355248,0.3983874085866374,-0.07332956238837707,0.7244383838046176,0.4,1.0,1.0,1.0
10000,5000,early_layer_prior,baseline,21,0.34025974025974026,-0.1398825936592136,0.6908491118898822,0.11210585695997413,-0.36497456035064646,0.5425562464140413,0.2,,1.0,
10000,5000,legacy_scaled_jvp_ratio,baseline,21,-0.3363636363636363,-0.6885422832657003,0.14419350007926854,-0.3147207986665468,-0.6755967750246695,0.167813010541335,0.2,1.0,1.0,1.0
10000,5000,theory_sign_composite,baseline,21,0.01948051948051948,-0.44280059166761476,0.4735797657854547,0.20028625979711134,-0.2841228711945559,0.6032385271269692,0.4,,1.0,
10000,5000,source_observed_drift_positive_control,positive_control,21,0.9688311688311689,0.9182413594964967,0.9883083071614664,0.971470816536904,0.925002189071771,0.9893074196766024,0.8,1.0,1.0,1.0
