seed,geometry,step,target_first_order_head_gain,actual_head_loss_decrease,head_batch_loss_after,tail_loss,tail_loss_increase,tail_accuracy,tail_accuracy_drop,tail_margin,tail_margin_drop,tail_output_drift_fro,tail_output_drift_rms,cumulative_condition_proxy,condition_score_tail,nrG,stA_tail,tail_eval_examples
11,frobenius,2,0.002624490471467425,0.002559444017770196,0.1278784842904871,12.193111935431443,0.023301417432529448,0.2,0.0,-11.149850148428298,0.037838629790115874,1.6260756048885532,0.03636015589084893,3.1371598393439273,2.6722527368285256,3.3241899173925082,1.2438103431788938,200
11,frobenius,3,0.0021400670743757485,0.0020756636655439864,0.10228899716574573,12.201350648504533,0.03154013050562021,0.2,0.0,-11.162679243874223,0.050667725236040795,2.3888141823475406,0.05341550897344676,4.697962760830024,2.436105759719535,3.0399734546799597,1.2437820301654865,200
11,frobenius,4,0.001941003883623405,0.0018978855187485738,0.08972521504802139,12.206074605878122,0.03626408787920887,0.2,0.0,-11.17141695496034,0.05940543632215878,2.9482739508246447,0.06592540970335779,6.182354137114421,2.2034177579874847,2.764363407708305,1.2437625831470451,200
11,frobenius,5,0.0025889724214283255,0.0025389600174452465,0.12237983669889077,12.213721544949903,0.04391102695099036,0.2,0.0,-11.181307819783028,0.06929630114484553,3.1799697198443497,0.0711062845996293,7.445160178035323,1.5946790969863223,1.9842179944754943,1.2437551779301055,200
11,frobenius,6,0.0021033298968771946,0.002045536230692868,0.09635067043131,12.223441419472927,0.053630901474013726,0.2,0.0,-11.195794883064222,0.08378336442603995,3.7537204992791917,0.08393574204922723,8.943142135153748,2.2439499438523454,2.787174573409577,1.2437411863339092,200
11,frobenius,7,0.002695784163436037,0.0026322183350585004,0.12106820267382169,12.233648220571375,0.06383770257246191,0.2,0.0,-11.210270689425299,0.09825917078711655,4.313252093034161,0.0964472488411763,10.379580379075247,2.0633548286002785,2.5832244086196487,1.2437259372135885,200
11,frobenius,8,0.0030390438440732748,0.0029125093432076365,0.1384847047546897,12.25026620075999,0.08045568276107673,0.2,0.0,-11.235254673030395,0.12324315439221323,5.4857646679981,0.1226654270621031,11.971064624586461,2.5328221037103984,3.1793545375501058,1.24371130493936,200
11,spectral,0,0.0,0.0,,12.169810517998913,0.0,0.2,0.0,-11.112011518638182,0.0,0.0,0.0,0.0,,,,200
11,spectral,1,0.003382128301249787,0.003311825274921576,0.16579458978756778,12.179628023046567,0.009817505047653441,0.2,0.0,-11.129617967366196,0.017606448728013646,0.7277083961510838,0.01627205441591169,1.502457194570718,2.2573776215173122,2.8480502272439328,1.243827445383054,200
11,spectral,2,0.002624490471467425,0.0025843721663814656,0.12694051782976284,12.187685116213034,0.01787459821412085,0.2,0.0,-11.143467764282418,0.03145624564423599,1.278347575065107,0.02858472076717593,3.1453785460806536,2.6991905672472347,3.357301272694041,1.243749051050935,200
11,spectral,3,0.0021400670743757485,0.0020978784010041857,0.1018478409826318,12.194485157599829,0.024674639600915427,0.2,0.0,-11.155396190301294,0.04338467166311233,1.8464525127852374,0.04128793335813092,4.698091356467569,2.410917071539634,3.0097022893009004,1.243672034076507,200
11,spectral,4,0.001941003883623405,0.0019109921057291618,0.08950386407024348,12.200065071387064,0.03025455338815064,0.2,0.0,-11.164868454001171,0.05285693536298908,2.248381521956941,0.050275339224501545,6.166684599647658,2.156766113914212,2.7059774894999364,1.2436071426565536,200
11,spectral,5,0.0025889724214283255,0.0025552492035469387,0.1206772182399783,12.206756184922277,0.036945666923363873,0.2,0.0,-11.175163656671579,0.06315213803339681,2.5536579676249826,0.057101528068934176,7.42776597974894,1.590326247238154,1.9794435696106985,1.2435525835884715,200
11,spectral,6,0.0021033298968771946,0.0020671347344859287,0.09487705423401305,12.215119242271044,0.04530872427213062,0.2,0.0,-11.18853627730926,0.07652475867107711,3.006150354968757,0.0672195654429526,8.920401988833795,2.2279622556167653,2.767131519347682,1.243498545888992,200
11,spectral,7,0.002695784163436037,0.0026546214065421153,0.12031983377397376,12.223296849815071,0.05348633181615803,0.2,0.0,-11.201530960576473,0.08951944193829142,3.4829215650706984,0.07788049379798036,10.336898777975485,2.006463153648718,2.512487309802662,1.2434697154100673,200
11,spectral,8,0.0030390438440732748,0.0029680972487405033,0.1379585541327769,12.236021712972533,0.06621119497362038,0.2,0.0,-11.22153134046235,0.10951982182416842,4.21791398716394,0.09431542398545749,11.902600624717413,2.4514222728910853,3.079609655357036,1.2434206759496638,200
12,frobenius,0,0.0,0.0,,11.559537830893193,0.0,0.185,0.0,-10.60277562592741,0.0,0.0,0.0,0.0,,,,200
12,frobenius,1,0.002214197994667425,0.0021539855981464184,0.10855591413522483,11.563031089592384,0.0034932586991907044,0.185,0.0,-10.606644423729557,0.003868797802146773,0.7087539788017679,0.01584822075924198,1.455020019791051,2.1170832579927503,2.6077647970781883,1.2323152954802663,200
12,frobenius,2,0.0028726149252578477,0.0027266888783463172,0.13930456957066917,11.55754144426393,-0.0019963866292638244,0.185,0.0,-10.596112183949423,-0.006663441977988072,1.366215460594325,0.030549506418000964,3.092398244877523,2.681007451987324,3.3425697850652316,1.232299556285156,200
